time,phase,stage,elapsed,action,queue_0,queue_1,queue_2,queue_3,queue_4,queue_5,queue_6,queue_7,reward,accepted,switch_reason
0.0,0,green,0.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
1.0,0,green,1.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
2.0,0,green,2.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
3.0,0,green,3.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
4.0,0,green,4.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
5.0,0,green,5.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
6.0,0,green,6.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
7.0,0,green,7.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
8.0,0,green,8.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
9.0,0,green,9.0,0,0,0,0,0,0,0,0,0,0.0,False,initial
10.0,0,green,10.0,2,0,0,0,0,0,0,0,0,-0.2,True,policy
11.0,0,all_red,0.0,1,0,0,0,0,0,0,0,0,0.0,False,policy
12.0,2,green,0.0,3,0,0,0,0,0,0,0,0,0.0,False,policy
13.0,2,green,1.0,3,0,0,0,0,0,0,0,0,0.0,False,policy
14.0,2,green,2.0,1,0,0,0,0,0,0,0,0,0.0,False,policy
15.0,2,green,3.0,1,0,0,0,0,0,0,0,0,-0.2,True,policy
16.0,2,all_red,0.0,0,0,0,0,0,0,0,0,0,0.0,False,policy
17.0,1,green,0.0,1,0,0,0,0,0,0,0,0,0.0,False,policy
18.0,1,green,1.0,1,0,0,0,0,0,0,0,0,0.0,False,policy
19.0,1,green,2.0,1,0,0,0,0,0,0,0,0,0.0,False,policy
20.0,1,green,3.0,0,0,0,0,0,0,0,0,0,-0.2,True,policy
21.0,1,all_red,0.0,1,0,0,0,0,0,0,0,0,0.0,False,policy
22.0,0,green,0.0,3,0,0,0,0,0,0,0,0,0.0,False,policy
23.0,0,green,1.0,0,0,0,0,0,0,0,0,0,0.0,False,policy
24.0,0,green,2.0,0,0,0,0,0,0,0,0,0,0.0,False,policy
25.0,0,green,3.0,0,0,0,0,0,0,0,0,0,0.0,False,policy
26.0,0,green,4.0,0,0,0,0,0,0,0,0,0,-0.00419166676729219,False,policy
27.0,0,green,5.0,0,0,0,0,0,1,1,0,0,-0.01474583386152517,False,policy
28.0,0,green,6.0,0,0,0,0,0,1,1,1,0,-0.019062500735162757,False,policy
29.0,0,green,7.0,2,0,0,0,0,1,1,1,0,-0.2233791671693325,True,policy
30.0,0,all_red,0.0,1,0,0,0,0,1,1,1,0,-0.03402083414839581,False,policy
31.0,2,green,0.0,3,0,0,0,0,2,1,2,0,-0.03516250073444098,False,policy
32.0,2,green,1.0,3,0,0,0,0,2,0,2,0,-0.04257916698697954,False,policy
33.0,2,green,2.0,3,1,0,0,0,2,0,2,0,-0.05015833416255191,False,policy
34.0,2,green,3.0,3,1,0,0,1,2,0,2,0,-0.2562000018311665,True,policy
35.0,2,all_red,0.0,3,1,1,0,1,2,0,2,0,-0.06701666701119394,False,policy
36.0,3,green,0.0,3,1,2,0,2,2,0,2,0,-0.05862083409447223,False,policy
37.0,3,green,1.0,3,1,2,0,3,0,0,0,1,-0.05069583507720381,False,policy
38.0,3,green,2.0,2,1,2,0,3,0,0,0,1,-0.05366250111255795,False,policy
39.0,3,green,3.0,2,1,2,0,3,0,1,0,1,-0.264529168093577,True,policy
40.0,3,all_red,0.0,1,1,2,1,3,0,1,0,2,-0.07390833478420973,False,policy
41.0,2,green,0.0,0,1,2,1,3,1,1,1,2,-0.07195000145584345,False,policy
42.0,2,green,1.0,0,1,2,1,3,1,0,1,0,-0.0764541678596288,False,policy
43.0,2,green,2.0,0,1,2,1,3,1,0,1,0,-0.08580833361484111,False,policy
44.0,2,green,3.0,0,1,2,2,3,1,0,2,0,-0.2920875003561378,True,policy
45.0,2,all_red,0.0,0,1,2,2,3,1,0,2,0,-0.10627916539087892,False,policy
46.0,0,green,0.0,1,2,2,2,3,1,1,3,1,-0.10210833372548223,False,policy
47.0,0,green,1.0,1,2,0,2,0,1,2,3,1,-0.10411250153556466,False,policy
48.0,0,green,2.0,1,2,0,2,0,1,2,3,1,-0.10882916804403067,False,policy
49.0,0,green,3.0,1,2,0,2,0,1,2,3,1,-0.3135458342730999,True,policy
50.0,0,all_red,0.0,1,2,0,2,0,1,2,3,1,-0.12457500221207737,False,policy
51.0,1,green,0.0,1,2,1,2,2,1,2,3,1,-0.1171208350919187,False,policy
52.0,1,green,1.0,2,0,1,0,2,1,2,3,1,-0.1163500003516674,False,policy
53.0,1,green,2.0,2,0,1,0,2,1,2,3,2,-0.12420416753739119,False,policy
54.0,1,green,3.0,2,0,1,0,3,1,2,3,2,-0.3305333341471851,True,policy
55.0,1,all_red,0.0,1,0,1,0,3,1,2,3,2,-0.1400249999947846,False,policy
56.0,2,green,0.0,3,1,1,1,3,1,2,4,2,-0.13752916678786278,False,policy
57.0,2,green,1.0,0,1,1,1,3,1,0,4,0,-0.14014583649113774,False,policy
58.0,2,green,2.0,0,1,1,1,3,1,0,4,0,-0.1543374978005886,False,policy
