episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,queue_heuristic,3001,balanced,balanced,13.01063829787234,74.0,6.115,17,135,-57.48377931655995,141,6,0,1,0,0,300.0,-5.732812648406252,-1.7374250026434315,-41.013541665510274,-9.0,45,1,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,queue_heuristic,3002,balanced,balanced,14.575471698113208,102.0,7.725,21,152,-72.45767509706344,159,7,0,2,0,0,300.0,-7.242187641444616,-2.9404874943618773,-53.27499996125698,-9.0,45,2,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,queue_heuristic,3003,balanced,balanced,10.864705882352942,76.5,6.156666666666666,14,162,-56.15777509333712,170,8,0,1,0,0,300.0,-5.771875141886994,-1.5265249999254586,-40.05937495152466,-8.8,44,3,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,queue_heuristic,3004,balanced,balanced,7.849624060150376,68.0,3.48,12,122,-36.90437512418356,133,11,0,1,0,0,300.0,-3.2625000772532076,-0.6887500005272157,-24.153125046403147,-8.8,44,3,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,queue_heuristic,3005,balanced,balanced,10.491620111731844,81.0,6.26,15,169,-59.558612575222675,179,10,0,2,0,0,300.0,-5.868750125984661,-1.6492374976900464,-43.24062495154794,-8.8,44,3,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,queue_heuristic,3001,ns_heavy,ns_heavy,10.535714285714286,59.5,6.391666666666667,17,175,-46.86117512345519,182,7,0,1,0,0,300.0,-5.9921876535518095,-1.5471124965159107,-30.721874973387457,-8.600000000000001,43,4,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,queue_heuristic,3002,ns_heavy,ns_heavy,14.77578475336323,75.5,10.983333333333333,27,199,-73.29719183185153,223,24,0,2,0,0,300.0,-10.29687519534491,-3.6680250065728615,-50.53229162993375,-8.8,44,4,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,queue_heuristic,3003,ns_heavy,ns_heavy,12.258771929824562,92.5,9.316666666666666,24,212,-70.10875845226542,228,16,0,1,0,0,300.0,-8.734375181375071,-2.9316750045036324,-49.64270826638676,-8.8,44,4,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,queue_heuristic,3004,ns_heavy,ns_heavy,10.42964824120603,58.5,6.918333333333333,19,187,-51.77085425904444,199,12,0,1,0,0,300.0,-6.485937624471262,-1.605750001100386,-34.87916663347278,-8.8,44,6,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,queue_heuristic,3005,ns_heavy,ns_heavy,10.329166666666667,62.0,8.263333333333334,27,223,-56.67815019117623,240,17,0,2,0,0,300.0,-7.746875151642598,-2.3031500036544466,-38.2281250358792,-8.400000000000002,42,6,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
