episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,fixed,2001,balanced,balanced,8.304964539007091,40.0,3.9033333333333333,13,140,-29.218691735280306,141,1,0,1,0,0,300.0,-3.6593750825850293,-0.5926500003166439,-18.366666652378626,-6.600000000000003,33,0,141,0,de047434a50090ca81dd25bb34a11d41fc361c383cc5f9c168e1231800213118
1,dqn,2001,balanced,balanced,18.361702127659573,96.5,8.631666666666666,24,130,-63.508383449968065,141,11,0,1,0,0,300.0,-8.092187649104744,-2.8953624965019102,-48.12083330436144,-4.400000000000001,22,16,141,0,de047434a50090ca81dd25bb34a11d41fc361c383cc5f9c168e1231800213118
1,fixed,2002,balanced,balanced,10.39240506329114,55.0,5.473333333333334,14,154,-41.2686667844544,158,4,0,1,0,0,300.0,-5.131250142818317,-1.0707499994088725,-28.46666664222721,-6.600000000000003,33,0,158,0,1abbd5f7e75e62bb62479c90368cfe5756e3097ed5e0caf1d32363533c132bf2
1,dqn,2002,balanced,balanced,23.120253164556964,104.5,12.176666666666666,40,137,-74.21907930184311,158,21,0,1,0,0,300.0,-11.415625115507282,-4.824287498194462,-53.57916668814141,-4.400000000000001,22,15,158,0,1abbd5f7e75e62bb62479c90368cfe5756e3097ed5e0caf1d32363533c132bf2
1,fixed,2003,balanced,balanced,9.302158273381295,55.0,4.31,13,137,-34.26716261084875,139,2,0,1,0,0,300.0,-4.040625079884194,-0.7827875010458232,-22.843750029918738,-6.600000000000003,33,0,139,0,f835d6246102c20b64a9722a7fea16ba8c2a36d5ab04d65a5e05486ad6edaf43
1,dqn,2003,balanced,balanced,23.906474820143885,102.0,11.076666666666666,34,124,-75.68310427105826,139,15,0,1,0,0,300.0,-10.384375162655488,-5.178937502869665,-55.5197916055331,-4.600000000000001,23,15,139,0,f835d6246102c20b64a9722a7fea16ba8c2a36d5ab04d65a5e05486ad6edaf43
1,fixed,2004,balanced,balanced,11.39367816091954,55.0,6.611666666666666,16,163,-48.39847928859746,174,11,0,1,0,0,300.0,-6.198437600280158,-1.6458749997102133,-33.954166688607074,-6.600000000000003,33,0,174,0,ed64fc71599f1b558d589387a36fafc988e3999a777f7660c5d4402961d07091
1,dqn,2004,balanced,balanced,18.82758620689655,88.0,10.92,25,163,-64.14622090119009,174,11,0,1,0,0,300.0,-10.237500107730739,-3.6066374977592197,-46.10208329570014,-4.200000000000001,21,16,174,0,ed64fc71599f1b558d589387a36fafc988e3999a777f7660c5d4402961d07091
1,fixed,2005,balanced,balanced,9.226027397260275,52.0,4.49,11,142,-35.900320899984955,146,4,0,1,0,0,300.0,-4.209375084144995,-0.8076125006751678,-24.283333315164782,-6.600000000000003,33,0,146,0,9cc03b227d85f42f53edb51fae2165ed73985bf083281190bb9b9c7af9793223
1,dqn,2005,balanced,balanced,17.746575342465754,97.5,8.636666666666667,22,137,-76.86127925512916,146,9,0,1,0,0,300.0,-8.096875117975287,-2.9789875068476244,-61.38541663030628,-4.400000000000001,22,16,146,0,9cc03b227d85f42f53edb51fae2165ed73985bf083281190bb9b9c7af9793223
