traffic_scenario,seed,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,phase_changes,episode_reward,unfinished,not_inserted
balanced,2001,10.056737588652481,56.5,4.728333333333333,11.0,-10.0,-11.0,-34.28969171468776,10.0,0.0
balanced,2002,12.727848101265824,49.5,6.703333333333332,26.0,-17.0,-11.0,-32.950412517388706,17.0,0.0
balanced,2003,14.60431654676259,47.0,6.766666666666667,21.0,-13.0,-10.0,-41.415941660209505,13.0,0.0
balanced,2004,7.433908045977011,33.0,4.308333333333334,9.0,0.0,-12.0,-15.747741612592634,0.0,0.0
balanced,2005,8.520547945205479,45.5,4.1466666666666665,11.0,-5.0,-11.0,-40.96095835514421,5.0,0.0
ew_heavy,2001,13.10047846889952,18.5,9.126666666666667,19.0,-20.0,-13.0,-31.548133162826673,20.0,0.0
ew_heavy,2002,15.702764976958523,17.5,11.358333333333334,24.0,-2.0,-12.0,-30.785333189183476,2.0,0.0
ew_heavy,2003,12.55699481865285,4.5,8.076666666666664,8.0,-5.0,-13.0,-21.690970774096833,5.0,0.0
ew_heavy,2004,11.118644067796613,-21.5,8.746666666666666,23.0,6.0,-14.0,4.324700156459556,-6.0,0.0
ew_heavy,2005,13.372448979591837,-15.5,8.736666666666666,19.0,-11.0,-13.0,-7.661812453534296,11.0,0.0
heavy,2001,6.391041162227605,66.0,8.79833333333334,26.0,-13.0,-8.0,-43.932141398784665,13.0,0.0
heavy,2002,3.2888127853881315,71.5,4.801666666666662,17.0,3.0,-7.0,-37.492362422381746,-3.0,0.0
heavy,2003,7.181818181818183,68.0,9.74333333333334,33.0,-15.0,-9.0,-40.58256697407617,15.0,0.0
heavy,2004,4.744008714596951,74.0,7.258333333333333,14.0,10.0,-8.0,-32.58289588569076,-10.0,0.0
heavy,2005,12.860975609756096,88.0,17.576666666666668,30.0,-29.0,-6.0,-60.09492087293833,29.0,0.0
left_heavy,2001,5.505043786719874,-39.5,4.188333333333334,11.0,2.0,-14.0,22.92974193211417,6.0,-8.0
left_heavy,2002,9.880625000000002,-32.0,7.231666666666667,30.0,9.0,-14.0,6.364120881645789,-1.0,-8.0
left_heavy,2003,6.386590038314175,-36.5,4.363333333333335,12.0,-1.0,-14.0,6.2258416886761125,7.0,-6.0
left_heavy,2004,7.509798219319045,-26.5,6.473333333333333,27.0,16.0,-14.0,1.855721102161553,-5.0,-11.0
left_heavy,2005,1.5465116279069768,-37.0,0.8866666666666667,2.0,2.0,-13.0,17.490745872849942,-2.0,0.0
low,2001,4.279411764705882,27.5,0.4849999999999999,0.0,0.0,-10.0,-10.4935916464703,0.0,0.0
low,2002,9.236111111111112,23.5,1.1083333333333332,2.0,-5.0,-11.0,-16.315674952199352,5.0,0.0
low,2003,10.387755102040817,31.0,1.6966666666666668,4.0,-3.0,-12.0,-21.137258333825592,3.0,0.0
low,2004,5.949999999999999,18.5,0.9916666666666667,0.0,-4.0,-10.0,-15.23350413709775,4.0,0.0
low,2005,8.703703703703702,26.5,0.7833333333333333,1.0,-2.0,-9.0,-14.915420830936652,2.0,0.0
ns_heavy,2001,6.308673469387756,3.5,4.121666666666666,9.0,-6.0,-13.0,-12.086329119918823,6.0,0.0
ns_heavy,2002,-0.8840909090909079,-58.0,-0.6483333333333334,-2.0,12.0,-13.0,32.21987502539713,-12.0,0.0
ns_heavy,2003,7.509569377990431,-9.5,5.231666666666667,8.0,-11.0,-14.0,0.28601234659444685,11.0,0.0
ns_heavy,2004,4.781746031746028,2.0,4.016666666666669,11.0,-12.0,-10.0,-4.034520823533214,12.0,0.0
ns_heavy,2005,1.5408163265306118,-24.0,1.0066666666666677,1.0,5.0,-13.0,2.0493248677317837,-5.0,0.0
