traffic_scenario,controller,avg_waiting_time_mean,avg_waiting_time_std,avg_waiting_time_count,max_waiting_time_mean,max_waiting_time_std,max_waiting_time_count,avg_queue_mean,avg_queue_std,avg_queue_count,max_queue_mean,max_queue_std,max_queue_count,throughput_mean,throughput_std,throughput_count,phase_changes_mean,phase_changes_std,phase_changes_count,episode_reward_mean,episode_reward_std,episode_reward_count,unfinished_mean,unfinished_std,unfinished_count,not_inserted_mean,not_inserted_std,not_inserted_count
balanced,dqn,20.392518332344544,2.8880213309968363,5,97.7,6.3304818142065615,5,10.288333333333332,1.5857823165729763,5,29.0,7.681145747868608,5,138.2,14.889593681494468,5,22.0,0.7071067811865476,5,-70.88361343583774,6.5130524521566455,5,13.4,4.774934554525329,5,0.0,0.0,5
balanced,fixed,9.723846686771868,1.1910267804620878,5,51.4,6.5038450166036395,5,4.957666666666666,1.0898888832251559,5,13.4,1.816590212458495,5,147.2,10.940749517286282,5,33.0,0.0,5,-37.810664263833175,7.315863176945638,5,4.4,3.9115214431215892,5,0.0,0.0,5
ew_heavy,dqn,32.60138232550745,3.9610473365024084,5,98.0,6.698880503487132,5,22.927333333333333,3.932823342643863,5,55.0,9.848857801796104,5,176.8,16.037456157383566,5,20.0,0.7071067811865472,5,-98.87125672258902,11.758199528421343,5,33.4,5.941380311005179,5,0.0,0.0,5
ew_heavy,fixed,19.431116063127583,3.6758656176139213,5,97.3,16.928526220554463,5,13.718333333333334,3.3641552101200354,5,36.4,4.159326868617085,5,183.2,10.568822072492278,5,33.0,0.0,5,-81.39894683795268,20.62287169491897,5,27.0,9.66953980290686,5,0.0,0.0,5
heavy,dqn,38.72419707973711,3.1153393819746715,5,196.3,18.30505394692952,5,54.94833333333334,5.680837306242806,5,116.2,3.7013511046643477,5,301.0,17.84656829757475,5,25.4,1.1401754250991383,5,-190.9081760529278,17.093370122152265,5,124.4,12.05404496424333,5,0.0,0.0,5
heavy,fixed,31.830865788979715,3.363776136131423,5,122.8,13.155797201234138,5,45.312666666666665,7.041337921320226,5,92.2,9.093954035511727,5,309.8,6.379655163094628,5,33.0,0.0,5,-147.97119854215345,19.628469758699147,5,115.6,22.277791632026723,5,0.0,0.0,5
left_heavy,dqn,31.570827991914523,4.2507497256457585,5,112.7,15.939730236111275,5,20.424,4.306374732107429,5,47.0,14.212670403551895,5,157.0,15.98436736314578,5,19.2,0.44721359549995815,5,-105.62483590238976,18.35563725915413,5,35.6,3.435112807463534,5,3.6,8.049844718999243,5
left_heavy,fixed,25.405114257462508,2.1382273423320037,5,147.0,13.06713434537198,5,15.795333333333332,2.2549098897985065,5,30.6,3.3615472627943226,5,151.4,9.914635646356352,5,33.0,0.0,5,-116.59807019787927,11.307214440914393,5,34.6,5.412947441089743,5,10.2,11.009087155618309,5
low,dqn,17.213368903116802,1.504028320469511,5,55.7,5.368891878218447,5,2.2613333333333334,0.6609246469068081,5,6.6,1.1401754250991378,5,35.8,8.927485648266257,5,22.6,1.1401754250991376,5,-34.06494086853462,5.362543113154998,5,3.4,2.073644135332772,5,0.0,0.0,5
low,fixed,9.5019725668045,1.2333508226008476,5,30.3,8.948463555270257,5,1.2483333333333335,0.37044080348807273,5,5.2,1.6431676725154984,5,38.6,9.60728889958036,5,33.0,0.0,5,-18.445850888428687,3.5522748537941626,5,0.6,0.8944271909999159,5,0.0,0.0,5
ns_heavy,dqn,22.555459916023825,6.17627025682435,5,76.8,31.78167711119097,5,16.473,6.392626438153397,5,43.6,11.392980294900891,5,186.6,10.714476188783099,5,20.4,1.51657508881031,5,-74.27875924111707,23.26037997206531,5,28.0,15.779733838059501,5,0.0,0.0,5
ns_heavy,fixed,18.70411705671104,5.705946562870754,5,94.0,28.55039404281489,5,13.727333333333334,5.81565984600582,5,38.2,10.401922899156675,5,189.0,13.946325680981355,5,33.0,0.0,5,-77.96563170037135,26.03296290239226,5,25.6,13.29661611087573,5,0.0,0.0,5
