,,waiting_improvement_pct,waiting_improvement_pct,waiting_improvement_pct,queue_improvement_pct,queue_improvement_pct,queue_improvement_pct,throughput_change_pct,throughput_change_pct,throughput_change_pct
,,mean,std,count,mean,std,count,mean,std,count
family,steps,,,,,,,,,
approach,20000,10.338530078090097,1.1987461216125002,3,-1.0459852275434594,4.474073620854209,3,0.4745414903167779,1.4979027940707883,3
approach,50000,22.20135703276132,3.542573701930214,3,12.111031689301901,4.566021626735612,3,3.995126330639986,1.6869727556025809,3
approach,100000,26.605374749604607,3.3111512616696133,3,16.204999035592326,3.593397913736775,3,4.674874951904575,1.7238300765177248,3
approach,150000,28.471181249093178,3.210098811948844,3,19.36258325107504,3.697600602824919,3,5.7137360523278105,1.2986832498451455,3
default,20000,-108.93281871833669,41.3018649275395,3,-101.12177632549323,42.071348736991936,3,-28.882903680902917,2.851556939053117,3
default,50000,-24.620093219059687,3.0388886582271564,3,-24.17350261524669,3.3300639670593473,3,-23.893805309734518,1.1860763864408101,3
default,100000,-41.34088030523498,19.622666614192454,3,-37.495716895287984,19.03040233250326,3,-24.25933051173529,5.442429933481415,3
default,200000,-37.537321783588744,15.241584449791024,3,-32.26068506983443,8.552441372910131,3,-23.989996152366306,3.7360206273032173,3
nstep,20000,-213.6304076614493,,1,-180.460873412982,,1,-38.764909580607934,,1
nstep,50000,-71.19100016413147,,1,-55.86643520882264,,1,-25.41362062331667,,1
nstep,100000,-35.04761529209601,,1,-29.26410020763129,,1,-15.505963832243172,,1
nstep,200000,-19.576586176039715,,1,-18.0700500357398,,1,-12.524047710657957,,1
queue,20000,-43.0811172392652,,1,-35.81980326083252,,1,-15.986918045402088,,1
queue,50000,-25.243542586611436,,1,-28.790973144082503,,1,-17.256637168141594,,1
queue,100000,3.719749295261533,,1,-2.6941012287688504,,1,-5.771450557906887,,1
switch,20000,-113.94619475542551,50.14494681465034,3,-104.71720162928163,49.17454790587503,3,-29.819161215852258,3.6118604702428105,3
switch,50000,-37.3428625559459,6.523284467937202,3,-33.13466535053381,4.378954863519672,3,-24.118250609208676,2.0684684603820362,3
switch,100000,-39.253244490006445,21.695153066944894,3,-32.71804123126495,17.03115943902118,3,-16.063870719507506,3.9571280607361197,3
switch,200000,-21.019071921382295,4.94557057991798,3,-21.28606601086942,4.311073328721684,3,-18.15441836603823,1.688178976458384,3
temporal,20000,-28.414963261301356,10.83179105447788,3,-29.83015078797779,13.289048115888873,3,-14.665897139925619,3.311946305262686,3
temporal,50000,-19.07682035480358,5.997133662846715,3,-28.309903899610806,6.840490824220562,3,-9.663973323072986,2.5037227882070656,3
temporal,100000,-3.643782454236337,4.980528920622147,3,-13.573981415296629,5.6940158246684796,3,-4.527382326535852,1.2645102463310471,3
