  family  training_seed  steps  waiting_improvement_pct  queue_improvement_pct  throughput_change_pct  all_primary_better
approach             22 150000                    32.14                  23.58                   7.02                True
approach             33 100000                    29.47                  19.49                   6.08                True
approach             22 100000                    27.36                  16.76                   5.19                True
approach             11 150000                    27.07                  17.86                   4.42                True
approach             33 150000                    26.20                  16.65                   5.69                True
approach             22  50000                    26.14                  17.17                   5.79                True
approach             11 100000                    22.98                  12.37                   2.75                True
approach             11  50000                    21.19                  10.86                   3.75                True
approach             33  50000                    19.27                   8.30                   2.44                True
approach             22  20000                    11.67                   3.39                   2.17                True
approach             33  20000                     9.99                  -0.97                  -0.65               False
approach             11  20000                     9.35                  -5.56                  -0.10               False
   queue             11 100000                     3.72                  -2.69                  -5.77               False
temporal             22 100000                     2.11                  -7.30                  -3.08               False
temporal             11 100000                    -6.42                 -18.42                  -5.41               False
temporal             33 100000                    -6.61                 -15.00                  -5.10               False
temporal             22  50000                   -15.37                 -26.38                  -8.60               False
  switch             11 200000                   -15.54                 -16.45                 -16.22               False
temporal             11  50000                   -15.87                 -22.64                  -7.87               False
temporal             22  20000                   -17.11                 -17.11                 -12.64               False
 default             11 100000                   -19.04                 -16.48                 -18.22               False
   nstep             11 200000                   -19.58                 -18.07                 -12.52               False
 default             11  50000                   -21.11                 -20.35                 -25.26               False
  switch             11 100000                   -21.19                 -18.03                 -11.50               False
  switch             33 200000                   -22.38                 -22.66                 -18.93               False
  switch             22 200000                   -25.14                 -24.74                 -19.32               False
   queue             11  50000                   -25.24                 -28.79                 -17.26               False
temporal             33  50000                   -26.00                 -35.91                 -12.52               False
 default             22  50000                   -26.35                 -26.45                 -23.30               False
 default             33  50000                   -26.40                 -25.72                 -23.12               False
 default             22 200000                   -26.57                 -26.36                 -21.66               False
temporal             33  20000                   -29.42                 -28.76                 -12.87               False
  switch             11  50000                   -29.90                 -28.68                 -24.16               False
 default             33 200000                   -31.10                 -28.35                 -22.01               False
  switch             33 100000                   -33.26                 -28.74                 -18.60               False
   nstep             11 100000                   -35.05                 -29.26                 -15.51               False
temporal             11  20000                   -38.71                 -43.62                 -18.49               False
  switch             33  50000                   -40.07                 -33.29                 -26.16               False
  switch             22  50000                   -42.06                 -37.43                 -22.03               False
   queue             11  20000                   -43.08                 -35.82                 -15.99               False
 default             22 100000                   -49.01                 -42.43                 -25.78               False
 default             11 200000                   -54.94                 -42.07                 -28.30               False
 default             33 100000                   -55.97                 -53.57                 -28.78               False
  switch             22  20000                   -61.36                 -51.99                 -27.43               False
  switch             22 100000                   -63.32                 -51.39                 -18.08               False
 default             22  20000                   -65.60                 -55.61                 -26.88               False
   nstep             11  50000                   -71.19                 -55.87                 -25.41               False
 default             11  20000                  -113.34                -109.18                 -27.63               False
  switch             11  20000                  -119.26                -112.83                 -28.05               False
 default             33  20000                  -147.85                -138.58                 -32.15               False
  switch             33  20000                  -161.22                -149.33                 -33.97               False
   nstep             11  20000                  -213.63                -180.46                 -38.76               False
