#{"t_start": 1789708312.118484, "env_id": "None"}
r,l,t
-139.150225,300,3.267264
-128.0054,300,4.216956
-163.486196,300,5.208685
-166.017933,300,6.154433
-104.067088,300,6.767434
-102.448975,300,7.400033
-144.990625,300,8.320903
-126.639959,300,9.016641
-164.070875,300,9.792621
-152.276746,300,10.618335
-117.020459,300,11.267904
-148.000479,300,12.37071
-103.623646,300,13.079796
-93.995392,300,13.666625
-147.405929,300,14.51965
-109.842875,300,14.99946
-91.03965,300,15.41821
-71.602154,300,16.082073
-162.161213,300,17.132879
-136.185421,300,18.392555
-127.729171,300,19.116427
-170.401909,300,20.310012
-118.581558,300,21.392552
-188.550146,300,22.600442
-120.92335,300,23.529776
-93.8691,300,24.359524
-173.528925,300,25.448568
-69.694858,300,26.050291
-124.115442,300,27.11733
-111.845021,300,28.015592
-128.257934,300,28.957495
-113.032279,300,29.885507
-145.345883,300,31.282171
-157.828896,300,32.279362
-118.673063,300,33.449368
-123.517867,300,34.406984
-143.190341,300,35.472941
-126.068996,300,36.450284
-138.912496,300,37.524068
-122.733309,300,38.393633
-151.50075,300,39.71543
-136.066617,300,40.749044
-102.258634,300,41.667117
-75.423534,300,42.471278
-163.084967,300,43.901972
-108.961846,300,45.737256
-167.388038,300,48.449218
-60.958063,300,49.897381
-86.522067,300,51.283138
-125.725754,300,53.181378
-123.090083,300,54.734132
-130.197592,300,56.153863
-147.406796,300,57.428895
-110.977884,300,58.56957
-162.642367,300,59.953112
-126.874429,300,61.050764
-182.584088,300,63.163585
-140.6873,300,64.832738
-124.226721,300,66.016725
-51.83725,300,66.786772
-166.182404,300,68.313881
-100.844875,300,69.179357
-92.771596,300,70.063416
-66.287875,300,71.227284
-67.386233,300,72.159892
-146.717596,300,73.38841
-130.165013,300,74.660496
-118.769579,300,75.751404
-106.1598,300,77.430213
-123.970137,300,79.207278
-135.567396,300,80.724468
-134.537408,300,81.974369
-87.037933,300,83.296163
-93.396509,300,84.545447
-160.465963,300,86.413789
-42.033554,300,87.344592
-119.464808,300,88.57957
-110.952754,300,90.163584
-172.309363,300,92.009479
-147.582909,300,93.535744
-66.305571,300,94.501596
-109.937392,300,95.659422
-170.134346,300,97.572963
-135.322284,300,99.184222
-144.890254,300,100.613306
-113.544279,300,101.927976
-83.839496,300,103.114394
-100.422358,300,104.760183
-136.577938,300,106.31139
-131.432279,300,107.972693
-149.687034,300,109.366594
-111.805029,300,110.104964
-143.114917,300,111.182685
-131.780034,300,112.71104
-166.901304,300,114.381005
-128.185888,300,115.546129
-154.549954,300,116.774237
-155.065313,300,118.368451
-162.399771,300,120.64398
-124.331105,300,122.640594
-118.593429,300,125.030508
-115.313213,300,127.331541
-155.802646,300,129.462197
-149.325063,300,131.88132
-114.026442,300,134.280484
-130.6685,300,136.731446
-159.081109,300,139.04074
-76.190596,300,140.746779
-191.130608,300,143.644763
-85.561359,300,145.770574
-142.010763,300,148.078407
-138.029109,300,150.164046
-184.660888,300,152.866315
-96.935008,300,154.999406
-119.540396,300,156.814361
-100.888434,300,158.675951
-99.173263,300,160.863335
-143.5278,300,163.251542
-117.050688,300,165.447208
-63.54285,300,167.103369
-129.983492,300,169.075703
-89.642709,300,171.356075
-117.377617,300,173.382289
-110.483738,300,175.24687
-155.617713,300,177.597736
-144.306321,300,180.035024
-142.919367,300,182.824447
-112.959467,300,184.930182
-58.371713,300,185.796777
-196.595379,300,187.453063
-74.51335,300,188.382165
-42.034121,300,189.098352
-135.356234,300,190.645143
-131.061588,300,191.909023
-141.984475,300,192.972448
-181.199759,300,194.475714
-91.266509,300,195.631593
-113.961313,300,196.673542
-151.533113,300,198.558316
-123.163354,300,200.677879
-155.344025,300,203.043957
-94.845525,300,204.845064
-112.304584,300,206.227737
-95.744292,300,208.051079
-146.327538,300,209.840175
-85.083575,300,210.617657
-140.156729,300,211.980976
-124.014017,300,213.305496
-146.840492,300,214.405385
-135.04898,300,215.507005
-106.374609,300,216.38864
-143.646459,300,217.513275
-144.080217,300,218.932419
-132.518496,300,220.205774
-133.308054,300,221.238214
-179.077592,300,222.719364
-140.374196,300,224.323215
-190.190913,300,226.473915
-181.253059,300,229.47203
-125.445059,300,231.45786
-54.506458,300,232.609386
-144.576417,300,234.237644
-87.564371,300,235.71575
-125.583517,300,237.468684
-119.962317,300,239.789984
-65.790846,300,241.214267
-116.606783,300,243.263708
-130.621125,300,245.470765
-116.341333,300,247.305404
-146.845642,300,248.888045
-81.956221,300,250.071411
-153.297425,300,252.137355
-149.020209,300,254.290679
-120.798192,300,255.802038
-91.644463,300,257.127234
-131.146267,300,259.169187
-80.94435,300,260.454802
-166.033979,300,262.469396
-113.032896,300,264.331866
-185.998146,300,267.117051
-114.652292,300,268.353482
-105.214163,300,269.360232
-118.279338,300,270.588719
-163.921446,300,272.070958
-124.739538,300,273.497837
-111.033825,300,274.623718
-110.892571,300,275.919121
-105.094109,300,277.287139
-158.230109,300,278.796849
-170.554134,300,280.341015
-114.996067,300,281.630678
-78.719979,300,282.772634
-123.419158,300,284.072453
-88.260496,300,284.909034
-52.787067,300,285.632793
-116.832309,300,286.869997
-85.137467,300,287.903372
-95.960646,300,288.97924
-128.752817,300,290.384414
-168.10065,300,292.201628
-123.331792,300,293.319713
-107.6697,300,294.512057
-50.128625,300,295.31958
-101.858375,300,296.464202
-42.387846,300,297.249301
-132.258008,300,298.393071
-169.278254,300,299.914375
-77.383746,300,300.99865
-146.378629,300,302.466276
-140.135033,300,303.818534
-137.625563,300,305.522437
-144.360146,300,307.135529
-169.1681,300,308.980113
-101.476363,300,310.260752
-101.996938,300,311.338695
-123.1886,300,312.774498
-107.170896,300,314.031424
-73.349038,300,315.181352
-101.183584,300,316.459576
-126.498042,300,317.850598
-41.080263,300,318.601215
-103.694204,300,319.740913
-103.949229,300,321.003883
-130.530583,300,322.206806
-63.966383,300,322.908629
-106.803429,300,324.232766
-84.0342,300,325.564102
-110.80745,300,326.850051
-155.365329,300,328.290082
-145.76385,300,329.989009
-60.610075,300,330.907243
-117.845163,300,332.282564
-90.649959,300,333.51371
-126.252154,300,334.81834
-136.953138,300,336.47637
-118.411421,300,338.016112
-55.433621,300,338.968706
-115.449613,300,340.517794
-33.896354,300,341.568533
-157.833088,300,343.015066
-139.772971,300,344.329843
-111.229508,300,345.697388
-128.856738,300,347.210473
-136.42075,300,348.782401
-116.997804,300,349.828552
-111.43865,300,351.03762
-111.853646,300,351.8673
-160.358092,300,353.31271
-113.784104,300,354.512518
-130.035784,300,355.915955
-104.942255,300,356.849097
-125.62985,300,357.845855
-114.067234,300,359.249528
-55.800338,300,360.057005
-166.551496,300,361.598304
-104.849192,300,362.698812
-142.982555,300,364.190343
-124.974379,300,365.774213
-129.004246,300,367.578527
-73.503121,300,368.382454
-128.361921,300,369.948604
-132.733659,300,371.442348
-95.938838,300,372.428788
-131.053283,300,373.595721
-129.251288,300,374.447643
-149.304313,300,375.807213
-132.260071,300,377.08115
-75.29395,300,377.99808
-96.952429,300,379.072891
-97.056833,300,379.946629
-96.592287,300,380.777744
-139.166217,300,382.129752
-128.636225,300,383.382141
-128.743383,300,384.608811
-149.054692,300,385.947378
-143.453842,300,387.024421
-129.65785,300,388.194095
-102.400813,300,389.440446
-123.627125,300,390.890193
-100.4497,300,392.093977
-131.398642,300,393.59677
-118.867538,300,395.433639
-107.667263,300,397.165578
-168.003783,300,400.138378
