episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,772,random,balanced,30.76590909090909,98.5,22.561666666666667,61,179,-89.7885088875023,220,41,0,1,0,0,300.0,-67.41875055013224,-3.7903833309952475,-12.379375006374893,-6.200000000000003,31,7,220,0,9cd712ab07f30a75a07166f5ce69084fb96cb827400a8d804407af148ac02bef
2,dqn,367,random,heavy,39.73701298701299,121.0,40.79666666666667,76,227,-137.4770879734082,308,81,0,3,0,0,300.0,-109.17500046314672,-8.058754174924252,-14.243333335337226,-6.000000000000003,30,6,308,0,b832bd9de988279a63337ec4f32da220792aa1c8794fee8fde1614aae91094fc
3,dqn,660,random,ew_heavy,41.31609195402299,122.5,35.945,96,176,-117.12920131414651,261,85,0,2,0,0,300.0,-87.19375133374706,-8.222949993880324,-15.512499986519103,-6.200000000000003,31,8,261,0,2ed79e64f524e5b7b8ab5f02f5934bd2a3de309d398f331ac9f1771fc1cdf4be
4,dqn,200,random,balanced,20.816568047337277,99.5,11.728333333333333,29,148,-58.82899704345836,169,21,0,1,0,0,300.0,-40.53750120103359,-1.4273291649376916,-10.864166677487077,-6.000000000000003,30,5,169,0,1a929c4a0049f47981d25fa1a2b191be186d33cdb21b427a50830d3143d5a26b
5,dqn,945,random,heavy,22.88064516129032,77.5,11.821666666666667,36,142,-55.134896735581435,155,13,0,1,0,0,300.0,-37.29375092405826,-1.6763541635031287,-9.964791648020038,-6.200000000000003,31,5,155,0,606d141bf0543a08ade33eddf46543c422db0ee504e984233d4ad7d5c4e41238
6,dqn,89,random,low,51.91213389121339,135.0,41.35666666666667,89,148,-133.90282894629783,239,91,0,2,0,0,300.0,-100.74374977964908,-9.90803750048654,-17.251041666162216,-6.000000000000003,30,9,239,0,80952ea77ad04adeba23ba0f608c640f7dc7003cdc2da1321fc69155ace8e900
7,dqn,265,random,heavy,40.6699604743083,142.0,34.29833333333333,85,166,-108.66839184709166,253,87,0,1,0,0,300.0,-79.57500017248094,-8.31672500233908,-14.576666672271667,-6.200000000000003,31,10,253,0,ccd0cb61ae3d35e7e1c4643a6e856ca7165cee8ab4d167d07231c1abd30b2526
8,dqn,654,random,ns_heavy,30.94685039370079,111.5,26.201666666666668,70,202,-108.01749224282895,254,52,0,1,0,0,300.0,-83.1375005855225,-4.974366668142469,-14.105624989164069,-5.8000000000000025,29,8,254,0,766ff4111426a40427dbd142d1061bfbab5c451dad7ee5ad1a14ce8847c36e0a
9,dqn,17,random,heavy,35.37162162162162,152.0,17.45,40,109,-74.2912172931981,148,39,0,1,0,0,300.0,-47.756250626873225,-4.1564250006842505,-15.778541665640644,-6.600000000000003,33,9,148,0,2eff2af0c12cfb2480e3d6c0691b366ff4fdb48e75c2b144f5d01e7863a95103
10,dqn,460,random,ns_heavy,32.10573476702509,88.0,29.858333333333334,62,233,-118.83193816069328,279,46,0,2,0,0,300.0,-95.24375068442896,-4.428395823662142,-12.359791652602151,-6.800000000000003,34,7,279,0,193042abca6c4ac65f7cd67cd4f8404afef5a8c7e3cf64485d2ff78581240b2b
11,dqn,148,random,balanced,38.5609243697479,125.5,30.591666666666665,67,192,-115.59035820738131,238,46,0,1,0,0,300.0,-89.84374988963827,-5.489316667972161,-14.257291649770925,-6.000000000000003,30,7,238,0,c7c282b923a371314d119956770922f3bf09aeabf5f788ce7b2f6677b27ee084
12,dqn,988,random,balanced,36.49079754601227,165.0,39.653333333333336,106,234,-148.90717540849374,326,92,0,2,0,0,300.0,-117.89375041192397,-8.195300005915488,-16.818124990654173,-6.000000000000003,30,7,326,0,e74279ee7b9ff1537d15af84d708b1df6a1a1a62f5eccf9e033dab4e660996c1
13,dqn,329,random,heavy,32.95618556701031,119.5,21.311666666666667,61,136,-88.85595463546129,194,58,0,2,0,0,300.0,-66.04375049192458,-4.148662498981139,-13.463541644555521,-5.200000000000002,26,8,194,0,53bb8aa11525e1d29038e52c7fcb55607c8a6ff0f9df2cb1cd07e7138924a19b
14,dqn,852,random,ns_heavy,40.644067796610166,127.5,47.96,102,233,-148.63002134518314,354,121,0,5,0,0,300.0,-116.3937505343929,-10.871687499071408,-14.964583311718881,-6.400000000000003,32,4,354,0,b715e90854fa60c064da66d6bbad42ef7493a7965e21cdc987e6eb760ed6e792
15,dqn,320,random,ns_heavy,29.96904761904762,87.0,20.97833333333333,58,175,-91.31161689903453,210,35,0,2,0,0,300.0,-70.38750021951273,-3.2320333359144566,-11.692083343607381,-6.000000000000003,30,6,210,0,369ce49c5cf015ff48b3b62a178d177f6836e84570e9aa472b9acda7f487140e
16,dqn,837,random,ew_heavy,28.526422764227643,101.0,23.391666666666666,66,184,-87.0341752170607,246,62,0,2,0,0,300.0,-65.1062502283603,-3.663966667072236,-11.663958321628158,-6.600000000000003,33,6,246,0,1c89ea06e90130116aad0f4ed67f79b753b52be265eece744718846d0fff1159
17,dqn,53,random,heavy,51.38139534883721,204.0,36.82666666666667,98,120,-107.10087598833577,215,95,0,2,0,0,300.0,-68.61875096010044,-12.631500009157012,-19.450625019078164,-6.400000000000003,32,7,215,0,c3eaef5acade4eb3a2b0762e90de93c31a64ca1ef003787bfd05546e36f72abc
18,dqn,52,random,low,32.98918918918919,122.0,20.343333333333334,42,151,-98.01910090100648,185,34,0,1,0,0,300.0,-72.04375091940165,-3.897224998997263,-16.478124982607557,-5.600000000000002,28,7,185,0,75e73a14d8c3db5e1847137b89cb5e961f772f8f00c7a9ba203bcecc5553251c
19,dqn,270,random,left_heavy,46.22781065088758,198.0,26.041666666666668,51,124,-105.29509587527939,169,45,24,30,0,0,300.0,-69.41875002346933,-10.003637509376128,-19.872708342433928,-6.000000000000003,30,6,193,24,bbbc3af943cbcd65d0a6648c14110c33d2597fb24c3cdf3aadb5f5d9ea28298e
20,dqn,556,random,ew_heavy,30.62797619047619,108.5,17.151666666666667,56,135,-73.7126714102422,168,33,0,2,0,0,300.0,-50.70625057956204,-2.6745458337674806,-13.931874996912665,-6.400000000000003,32,8,168,0,d2e0babe22c2fe9a7444df9afb30c9dc3b62dbd8afaa0a05bdb6d03369b837ac
21,dqn,165,random,left_heavy,38.757234726688104,102.5,40.178333333333335,84,213,-139.4034213554499,311,98,0,2,0,0,300.0,-110.09375053970143,-8.55737916083672,-13.352291654911824,-7.400000000000004,37,6,311,0,1c7ae3683120b7d3050b469acfbe6f13e5e620cd52d7ed0cb8d7c6ae4983f121
22,dqn,608,random,ew_heavy,31.835227272727273,122.5,28.015,64,205,-107.43702074122486,264,59,0,2,0,0,300.0,-81.33124993322417,-5.030562491327144,-14.27520831667352,-6.800000000000003,34,6,264,0,928b1135c5956601902d0fbd9854528f3e563a12ac44cb113f11503328323a6a
23,dqn,518,random,ns_heavy,37.252918287937746,145.0,31.913333333333334,81,173,-113.85077539444535,257,84,0,3,0,0,300.0,-85.72500037541613,-7.366400010344661,-14.35937500868458,-6.400000000000003,32,8,257,0,678ff2126c9a95469b5d7f8ea607527e4ce5172454fabfe138e5191446511ff8
24,dqn,51,random,ew_heavy,23.37853107344633,136.5,13.793333333333333,30,155,-76.02928782250167,177,22,0,3,0,0,300.0,-50.86250030295923,-2.5007458363928876,-16.46604168314951,-6.200000000000003,31,5,177,0,d62a0f2a9b85b1016e860b9b7456fc61faa88d2a897b3f57f7cb267c92f99a7f
25,dqn,345,random,ns_heavy,29.215962441314552,89.5,20.743333333333332,50,173,-85.62507548833524,213,40,0,1,0,0,300.0,-63.64375049434602,-3.3523666654320556,-11.628958328557207,-7.0000000000000036,35,4,213,0,2f5c2b85f44a25b451c881b4089094232b3ce5f590c19e421b477402e8e147b0
26,dqn,478,random,ns_heavy,22.24581005586592,97.0,13.273333333333333,38,157,-66.88570879471588,179,22,0,1,0,0,300.0,-49.00625045457855,-1.5884166696538153,-9.491041670483531,-6.800000000000003,34,6,179,0,dfa7fa02fc82a2fe0de5e00deef8c87e7516c1273d00579ebfd98af746207585
27,dqn,911,random,heavy,31.84375,127.5,22.078333333333333,66,150,-94.13196756379982,208,58,0,2,0,0,300.0,-69.43750089220703,-4.145508335287013,-14.348958336305813,-6.200000000000003,31,7,208,0,7ba0de31f540462bf19026bdcbb4897d2d5767d413c8a1ceb105611bacea1fb5
28,dqn,330,random,left_heavy,36.69781931464174,135.5,39.26833333333333,75,226,-138.1229917534532,321,95,7,20,0,0,300.0,-108.10000006761402,-8.92111668974612,-15.301874996093083,-5.8000000000000025,29,7,328,7,6957e43172dda788521429215769e45b2de9e989bb5e0f3843b7b1ed6cffa4bd
29,dqn,327,random,ew_heavy,33.229651162790695,129.5,19.051666666666666,45,134,-75.76921738234444,172,38,0,2,0,0,300.0,-50.118750708177686,-4.147550002342176,-14.902916671824643,-6.600000000000003,33,6,172,0,3467bc0f21b9c701fe63a1cfd1e002335ad031bd7302bdcfb6b0257fc1d88879
30,dqn,217,random,heavy,39.983695652173914,108.0,36.785,79,195,-129.93887529856224,276,81,0,2,0,0,300.0,-101.43750031013042,-7.655541653616098,-14.84583333481568,-6.000000000000003,30,5,276,0,ef77270ba31ebdc2fd2e16f8603233975b84a3fed569188187a0c24f7c1d9633
31,dqn,469,random,balanced,35.04382470119522,125.0,29.32,68,182,-111.37495055180554,251,69,0,3,0,0,300.0,-83.35625056549907,-5.895783322379429,-15.122916663927025,-7.0000000000000036,35,5,251,0,26e7585b4bc1e77a17851f4eb31aafe400dd998867a330b5cdedd7e58afc74b8
32,dqn,798,random,ew_heavy,17.37116564417178,111.0,9.438333333333333,26,146,-55.03941687724653,163,17,0,1,0,0,300.0,-35.387500217184424,-1.1312916673217843,-11.920624992740336,-6.600000000000003,33,6,163,0,29c7427026772cee900c4a8db273955ffad288a3575959829cf4b9ff2db78d9b
33,dqn,355,random,ew_heavy,39.18721461187214,139.0,28.606666666666666,62,174,-115.28465526063157,219,45,0,2,0,0,300.0,-86.5000010766089,-5.375487503257319,-16.00916668076533,-7.400000000000004,37,8,219,0,5293f30bc2385bd8d7d52ab1786ecc37a67840a2fa644a1a9defb7a36a9e19a3
34,dqn,421,random,balanced,28.228658536585368,111.5,15.431666666666667,39,135,-71.35821348027602,164,29,0,2,0,0,300.0,-48.73125100089237,-2.6977958236522674,-13.729166655731383,-6.200000000000003,31,5,164,0,6723b92e81733115583a69e705a27a821de3916b512008a3c1ac05bc5507f26e
35,dqn,641,random,heavy,47.74629629629629,130.0,42.975,92,168,-141.09056767936787,270,102,0,4,0,0,300.0,-103.55625102715567,-12.185149984261807,-18.549166667950377,-6.800000000000003,34,5,270,0,90094cde7db2a3714e78a6463d6778ef266c9f15dbb6e5fcadbe07dd529a4cf4
36,dqn,104,random,heavy,25.658227848101266,101.5,13.513333333333334,32,130,-66.01814634026523,158,28,0,1,0,0,300.0,-47.73125052358955,-1.8721041677010355,-10.614791648974647,-5.8000000000000025,29,6,158,0,5284a70c0b981cc4da06b70d42388da55b10dc1c92e41d8e39091cf1d447936b
37,dqn,588,random,balanced,37.898916967509024,124.5,34.99333333333333,87,182,-118.77978814663288,277,95,0,2,0,0,300.0,-88.73750067362562,-7.846662481570823,-15.395624991436485,-6.800000000000003,34,5,277,0,d057c0363e435dfa4098e38fddcaf1ffa0ea589e700f050de5781227fcafa676
38,dqn,370,random,ew_heavy,23.368715083798882,86.5,13.943333333333333,37,145,-69.25045931458227,179,34,0,2,0,0,300.0,-48.83125099958852,-2.0606666706989927,-11.55854164429476,-6.800000000000003,34,5,179,0,9070a2d6aeb5bfb454861b4cbd9992f7910e2b77cee26c5bd648cbb65d175a3b
39,dqn,594,random,left_heavy,42.6,133.5,29.115,60,132,-110.80618759691785,205,73,17,26,0,0,300.0,-77.30625010607764,-8.782020834438303,-17.517916656401948,-7.200000000000004,36,8,222,17,c34de4432a582ccd4715db37a9da27baee6e7bc3a2968b493c862daaddf342c2
40,dqn,915,random,low,36.4125,116.0,24.275,57,158,-99.50546345359685,200,42,0,1,0,0,300.0,-73.75000095320866,-4.46483749263498,-14.690625007753258,-6.600000000000003,33,8,200,0,db06061a6a6a3432d05d68f771f72ec7959656ff74bd78012c28635048386852
41,dqn,225,random,low,33.41737288135593,123.5,26.288333333333334,62,183,-109.4884712372288,236,53,0,3,0,0,300.0,-82.41250038472936,-5.368054153405682,-15.507916699093768,-6.200000000000003,31,9,236,0,9f7bb34fd285c1e657f3e36641e7d1a93919963549e882f08d811f7a04a4b578
42,dqn,390,random,left_heavy,41.685267857142854,141.0,31.126666666666665,65,152,-118.0964423454388,224,72,15,21,0,0,300.0,-86.96875070827082,-7.482483323176716,-17.045208313991324,-6.600000000000003,33,5,239,15,13685e5a39c2777152cfdb3187b107934b09eaadacdf207b4e1e901cecd4c997
43,dqn,401,random,ew_heavy,33.34728033472803,155.0,26.566666666666666,78,169,-112.08984671601438,239,70,0,2,0,0,300.0,-83.85625089798123,-5.61026250050272,-15.823333317530324,-6.800000000000003,34,10,239,0,6484a516f5fb9d85b9df0ec9b8c93bc6d465dc5b65be19b597c32b52f1f814c5
44,dqn,188,random,ew_heavy,26.006802721088434,99.0,25.486666666666668,71,236,-99.97305896140534,294,58,0,3,0,0,300.0,-76.9875006461516,-3.811183330187486,-12.374374985066238,-6.800000000000003,34,5,294,0,cd5e1cf1aa4de7cd5fc938361d98febf02194717de52bf1b2d090f8d7577d587
45,dqn,387,random,ew_heavy,40.06053811659193,121.0,29.778333333333332,68,176,-128.35981302182407,223,47,0,1,0,0,300.0,-99.68125052331015,-5.727729175917193,-16.350833322596735,-6.600000000000003,33,6,223,0,9911706c11cde52b7c41fd7d169a6292297bd57d5ab612b5a47a98e72932f91b
46,dqn,67,random,heavy,21.37142857142857,69.5,12.466666666666667,28,152,-64.24975904859966,175,23,0,1,0,0,300.0,-45.80000072019175,-1.493508333879436,-9.95624999452848,-7.0000000000000036,35,7,175,0,1f68dacc099006291099fe5bfa1e1dfc0e4418400e1b79180f3c0ca0922027b3
47,dqn,247,random,ns_heavy,40.01320754716981,160.5,35.345,83,187,-146.9828380615611,265,78,0,3,0,0,300.0,-112.88125056494027,-8.066170831948691,-18.835416664672056,-7.200000000000004,36,7,265,0,75df0c7bce323381c22c0eb08f7e34c3bf86a6be1a1f8707454dbbb370ed9761
