#{"t_start": 1789711133.5474188, "env_id": "None"}
r,l,t
-141.797054,300,2.982037
-92.345242,300,3.666221
-140.49718,300,4.701433
-126.805979,300,5.502268
-78.002018,300,6.000239
-101.474196,300,6.579317
-79.489767,300,7.256247
-113.364463,300,8.083162
-109.860534,300,8.899757
-116.086013,300,9.901668
-90.337838,300,10.599978
-146.145288,300,11.91628
-87.227001,300,12.599493
-93.760626,300,13.243708
-146.195988,300,14.382444
-110.545983,300,15.105625
-84.355768,300,15.749163
-76.806034,300,16.432364
-89.522183,300,17.25001
-111.550297,300,18.465247
-88.275896,300,19.296411
-157.266047,300,20.616476
-95.263776,300,21.476724
-130.751967,300,22.36397
-74.264955,300,23.081843
-56.698826,300,23.666287
-122.49881,300,24.665039
-34.025796,300,25.265656
-111.692647,300,26.083362
-90.68198,300,26.705417
-78.675405,300,27.264218
-128.008413,300,28.081406
-109.170467,300,28.964516
-103.626584,300,29.816634
-92.377134,300,30.61614
-103.351851,300,31.413522
-82.559485,300,32.128028
-95.409534,300,32.785724
-88.918889,300,33.566169
-74.606267,300,34.214809
-150.202588,300,35.098485
-107.950155,300,35.847309
-94.361659,300,36.532314
-75.094189,300,37.13034
-115.599705,300,38.03209
-94.45678,300,38.698948
-139.8283,300,39.749575
-55.580946,300,40.342221
-66.21408,300,41.166159
-84.025772,300,42.247571
-85.923251,300,42.980521
-84.508768,300,43.747539
-130.172689,300,44.630357
-82.299701,300,45.269124
-129.466576,300,46.330078
-98.612485,300,47.046014
-165.465964,300,47.997395
-121.499876,300,48.880147
-86.432442,300,49.527017
-41.789034,300,50.064364
-103.890934,300,50.814094
-73.775305,300,51.429925
-60.305738,300,51.913645
-39.705484,300,52.479392
-50.094809,300,53.013374
-94.511626,300,53.796395
-98.953738,300,54.563008
-51.844713,300,55.163788
-78.131872,300,55.865021
-79.793663,300,56.531526
-109.393609,300,57.284656
-63.452955,300,57.962665
-80.950622,300,58.786427
-50.595155,300,59.563886
-128.837934,300,60.663179
-39.642713,300,61.281026
-84.489083,300,62.145664
-105.686876,300,63.160747
-121.841018,300,64.164824
-126.061426,300,65.180649
-59.157442,300,65.847296
-90.556621,300,66.726186
-149.668301,300,67.962883
-89.67968,300,68.895362
-110.383226,300,69.950104
-79.750784,300,71.062678
-61.517026,300,71.816652
-54.390076,300,72.689399
-84.464872,300,73.782273
-86.688709,300,74.859608
-97.062109,300,75.836417
-38.720459,300,76.465641
-87.145609,300,77.525506
-94.418914,300,78.844944
-128.923143,300,80.298656
-88.070438,300,81.413675
-105.986318,300,82.460573
-104.729529,300,83.66404
-115.509801,300,85.002072
-38.842317,300,85.920108
-64.594913,300,87.162369
-95.206284,300,88.294801
-68.622492,300,89.279888
-96.57538,300,90.422142
