#{"t_start": 1789709092.8588629, "env_id": "None"}
r,l,t
-150.726425,300,5.546651
-211.789434,300,8.066318
-119.517804,300,9.177242
-172.657975,300,10.599534
-140.399275,300,11.830312
-238.344458,300,13.668938
-161.899938,300,15.049282
-147.132263,300,16.22774
-190.600021,300,17.835268
-192.026479,300,19.375566
-216.956275,300,21.121953
-188.292679,300,22.653166
-187.676687,300,24.393198
-190.529571,300,25.82371
-176.788792,300,27.220083
-155.956025,300,28.285168
-190.379775,300,29.929218
-164.229583,300,31.331691
-163.333388,300,32.891526
-144.347546,300,34.404817
-191.259046,300,35.690169
-149.447725,300,37.018202
-162.251709,300,38.689929
-145.654629,300,39.885255
-192.427871,300,41.853644
-128.470875,300,43.570493
-212.753921,300,46.233466
-189.212279,300,48.185503
-162.253063,300,50.112096
-216.837196,300,52.380152
-177.091596,300,54.492829
-173.8495,300,55.932277
-201.559571,300,57.913659
-221.895442,300,60.804326
-156.693304,300,62.219468
-106.286675,300,63.444876
-190.736987,300,65.51707
-162.736817,300,67.29651
-175.850729,300,69.353255
-216.073088,300,71.951565
-142.128071,300,73.488047
-174.60935,300,74.93314
-139.108604,300,76.304028
-190.589588,300,78.235606
-190.133046,300,80.325099
-209.226576,300,82.652705
-98.883138,300,83.908815
-180.812679,300,86.158606
-124.737375,300,87.601637
-212.547958,300,89.27491
-187.638775,300,91.117912
-184.478075,300,92.927891
-250.046304,300,95.832575
-226.47445,300,98.622922
-201.940129,300,101.270271
-177.699721,300,103.378259
-117.419925,300,105.043089
-180.230409,300,107.646758
-152.680904,300,109.872421
-211.820454,300,112.949759
-183.828471,300,115.290598
-177.774158,300,117.236547
-121.517217,300,118.810788
-176.16995,300,120.931288
-175.154367,300,123.059111
-186.706629,300,126.002926
-156.281854,300,128.064123
-215.517783,300,130.804673
-195.156142,300,133.583077
-217.761879,300,136.445167
-143.191213,300,138.417261
-151.329013,300,140.704043
-178.252292,300,143.489249
-134.481204,300,145.651766
-135.799783,300,147.395128
-119.643646,300,149.047588
-133.01855,300,151.209053
-201.100442,300,153.784701
-114.5067,300,155.424206
-187.03875,300,158.078849
-174.839092,300,160.012678
-183.601609,300,162.110671
-101.010633,300,163.370784
-194.076171,300,165.323026
-196.855308,300,167.739487
-139.471333,300,169.309586
-182.063163,300,171.091431
-198.9398,300,173.358888
-205.804517,300,175.838825
-170.101683,300,177.657967
-159.769475,300,179.585557
-168.925784,300,181.528078
-163.00388,300,183.559222
-202.735042,300,186.257323
-185.550921,300,188.246792
-122.616933,300,189.753698
-198.061458,300,191.98693
-148.213021,300,193.701482
-152.209634,300,195.44514
-169.523454,300,197.286188
-168.141379,300,199.299016
-202.501959,300,201.634281
-190.778775,300,203.919551
-174.221696,300,205.616753
-173.715125,300,207.547414
-159.167967,300,209.205778
-162.395179,300,210.860585
-202.931542,300,212.851014
-164.070783,300,214.404118
-197.623271,300,216.290689
-170.908054,300,218.36823
-213.725371,300,220.537055
-171.643442,300,222.313553
-191.750534,300,224.372566
-137.421263,300,226.235117
-159.705254,300,228.416353
-172.858509,300,230.080821
-176.319338,300,231.847382
-158.510584,300,233.585726
-152.333183,300,235.191036
-111.997742,300,236.780427
-122.974617,300,238.522113
-155.601613,300,240.276336
-167.114204,300,242.305573
-242.44245,300,245.233414
-171.636146,300,247.725836
-153.817859,300,249.583432
-149.660267,300,251.224117
-142.826775,300,253.079559
-204.559654,300,255.517558
-170.66605,300,257.511005
-174.148283,300,259.631442
-160.084392,300,261.612534
-196.452113,300,263.890884
-143.251908,300,265.895668
-221.727838,300,268.188363
-180.580571,300,270.370302
-223.918838,300,272.797213
-206.691163,300,275.448392
-123.158413,300,277.007118
-162.715146,300,279.165452
-131.641655,300,280.933223
-159.751255,300,282.872503
-173.924721,300,284.685712
-199.436284,300,287.140346
-161.728383,300,289.032115
-191.254417,300,290.991102
-176.602192,300,292.893794
-167.052634,300,294.685152
-142.480963,300,296.666154
-164.020617,300,298.710621
-180.894692,300,300.975556
-178.019875,300,303.420014
-176.172692,300,306.104551
-178.608146,300,308.239124
-147.011054,300,309.98813
-168.104113,300,312.471367
-208.824321,300,314.928432
-180.121325,300,316.478972
-173.508233,300,318.423205
-139.712504,300,320.31413
-164.620742,300,322.493914
-169.132646,300,324.670916
-125.858375,300,326.539617
-136.938042,300,328.454742
-173.351809,300,330.8323
-166.292434,300,333.513362
-152.493267,300,335.803521
-167.378121,300,338.476179
-181.860208,300,340.931726
-201.996888,300,343.440197
-201.405005,300,346.327187
-153.612429,300,348.748118
-191.750133,300,351.507723
-147.707638,300,353.583823
-214.318538,300,356.278847
-120.509067,300,357.961832
-223.848717,300,360.678235
-137.208934,300,362.574251
-182.226842,300,364.979977
-177.916338,300,367.144437
-179.590746,300,369.52402
-149.704754,300,371.577699
-149.9014,300,373.889575
-192.126863,300,376.321923
-202.249429,300,378.887597
-106.311254,300,380.382445
-128.444371,300,382.253994
-212.301471,300,384.62944
-138.805471,300,386.612079
-189.620888,300,389.562513
-146.614604,300,391.756176
-204.773404,300,394.741592
-168.623113,300,397.521821
-156.773567,300,400.424095
-144.592663,300,402.70009
-204.316734,300,405.453743
-157.880938,300,408.247638
-133.176288,300,410.826061
-180.928817,300,413.097376
-175.0758,300,415.727391
-89.609454,300,417.465931
-162.077446,300,420.226939
-172.995784,300,423.041991
-173.711179,300,425.38924
-169.462604,300,427.993801
-106.022429,300,429.954234
-175.843942,300,432.38453
-208.419354,300,435.179574
-186.1096,300,437.355471
-176.696646,300,439.707826
-171.750646,300,442.221902
-169.955663,300,444.523275
-181.833067,300,447.449069
-150.053958,300,449.33663
-126.846488,300,451.228662
-237.138654,300,454.192671
-165.328413,300,456.347275
-191.8344,300,458.937272
-198.887642,300,461.621436
-139.960509,300,463.331678
-104.545888,300,465.046808
-173.698513,300,467.632856
-140.573092,300,469.485642
-149.599259,300,471.584551
-161.342917,300,474.026539
-176.455809,300,475.785427
-223.809967,300,478.579222
-219.878954,300,481.332807
-119.005925,300,483.076249
-157.756788,300,485.17906
-191.214246,300,487.458551
-176.025063,300,489.865234
-110.3231,300,491.687851
-202.94853,300,494.505222
-120.703829,300,496.209757
-219.900483,300,498.719118
-142.611238,300,500.647224
-156.366309,300,503.061568
-172.875213,300,505.20134
-108.033683,300,507.050354
-138.963325,300,508.981065
-167.83785,300,511.335694
-217.191063,300,514.310925
-175.592684,300,516.587569
-103.825079,300,518.32721
-160.043342,300,520.543833
-133.414475,300,522.27703
-209.461871,300,524.710211
-138.093304,300,526.714181
-226.255517,300,529.288441
-162.797013,300,531.704672
-209.463829,300,534.368285
-165.476171,300,536.768275
-113.400821,300,538.252843
-105.6564,300,539.791615
-179.798675,300,541.681738
-185.174579,300,543.684352
-148.872609,300,545.69186
-189.941871,300,547.685329
-157.011642,300,550.099232
-170.469058,300,552.233645
-92.115742,300,553.586341
-218.496084,300,556.298281
-155.518383,300,558.232283
-170.735492,300,560.353484
-141.617267,300,562.293792
-120.220029,300,564.148222
-168.311392,300,566.494707
-166.25458,300,568.04151
-170.169758,300,570.081808
-150.778946,300,572.272509
-128.705742,300,574.000549
-219.056692,300,576.694419
-153.819117,300,578.483819
-171.378021,300,580.340084
-218.170834,300,583.559763
-229.745188,300,586.08297
-127.8204,300,587.87984
-168.779509,300,589.760443
-190.001496,300,591.409368
-121.038617,300,592.771419
-184.192525,300,595.037943
-163.094296,300,596.541225
-198.924829,300,598.648993
-191.576255,300,600.435513
-158.528959,300,602.62945
-120.4035,300,603.869918
-155.228467,300,605.327861
-219.487046,300,608.025334
-127.775129,300,609.968828
-104.504963,300,611.617056
-108.890342,300,613.389133
-143.027292,300,615.389652
-176.175679,300,617.188025
-188.773854,300,619.726266
-175.536838,300,621.919261
-171.340767,300,624.895269
-194.406859,300,628.367215
-127.293521,300,629.998539
-179.12245,300,632.558209
-184.053679,300,635.867663
-166.0205,300,638.816747
-199.289421,300,642.027048
-120.112729,300,643.777905
-151.1245,300,646.233555
-137.022088,300,648.847422
-160.901438,300,651.079062
-123.364842,300,652.656105
-134.767559,300,654.477935
-125.564458,300,656.414325
-124.123134,300,658.031474
-161.324413,300,660.154921
-114.661333,300,661.82309
-140.068192,300,663.84025
-203.432116,300,666.705665
-153.419517,300,668.479885
-116.582709,300,670.210713
-174.037929,300,672.639168
-205.012642,300,675.246041
-161.0522,300,677.657372
-126.347759,300,679.608313
-180.046538,300,681.852602
-168.752405,300,685.808053
-110.262129,300,688.739184
-135.39255,300,691.819398
-154.213659,300,695.128914
-205.392742,300,699.187306
-156.304842,300,702.88835
-148.627554,300,706.072638
-167.977796,300,709.581939
-116.085142,300,711.323869
-130.001417,300,712.551471
-159.510575,300,714.688422
-162.827113,300,716.668661
-143.658154,300,718.376504
-188.981942,300,721.338387
-149.355,300,725.485442
-215.199658,300,730.459893
-150.215567,300,733.853329
-144.861759,300,737.449892
-177.744521,300,743.452998
-156.407046,300,747.446168
-120.013058,300,749.627347
-148.112934,300,752.760622
-160.723134,300,756.429638
-211.715629,300,760.448265
-134.731004,300,763.221556
-122.101663,300,766.370302
-159.455142,300,769.320534
-166.817138,300,772.559545
-108.290888,300,774.83097
-197.110317,300,778.104634
-185.530584,300,781.980476
-71.584575,300,784.317676
-164.721242,300,787.425644
-158.335571,300,790.806182
-148.025429,300,793.789188
-146.765054,300,798.082241
-121.698988,300,801.340867
-109.788838,300,803.437983
-147.141084,300,805.621088
-153.241134,300,807.885925
-160.549208,300,810.326671
-138.236583,300,812.753851
-193.90585,300,815.753021
-179.110701,300,818.138461
-143.407813,300,820.621978
-165.034204,300,823.138534
-140.329621,300,825.244771
-136.181783,300,827.732128
-165.274013,300,829.73963
-191.571854,300,832.365769
-192.798825,300,835.231882
-145.124746,300,837.596265
-121.080546,300,839.229179
-181.420125,300,842.181212
-153.454621,300,844.16289
-123.062379,300,846.220629
-106.252333,300,847.908065
-176.733338,300,850.445705
-161.043204,300,852.552077
-120.92815,300,854.466616
-123.445575,300,856.487422
-150.368534,300,858.786843
-141.064263,300,860.566577
-164.051359,300,862.955486
-198.980363,300,866.294699
-130.979758,300,868.186363
-178.087846,300,871.07369
-159.003142,300,873.630205
-119.617096,300,875.952123
-138.984479,300,877.969509
-191.276379,300,881.13192
-194.66035,300,884.84648
-120.385517,300,887.181633
-65.442754,300,888.762991
-165.107167,300,891.795028
-173.68365,300,894.578773
-155.503829,300,896.72659
-129.368554,300,898.971097
-158.560704,300,901.220104
-112.200925,300,902.971971
-175.002504,300,905.796767
-113.070738,300,907.884681
-100.083146,300,909.998977
-159.748163,300,912.57786
-177.766821,300,915.123476
-168.819046,300,917.971179
-133.572309,300,920.140017
-165.624188,300,922.441752
-92.825963,300,924.313154
-127.445888,300,926.799113
-180.641121,300,929.679997
-159.490934,300,931.826141
-205.804438,300,934.610222
-160.294217,300,937.030819
-141.372775,300,939.420042
-200.798854,300,942.528842
-161.599129,300,945.001187
-67.960246,300,946.661373
-131.612721,300,948.957805
-143.429296,300,951.059382
-155.929984,300,953.441459
-140.413859,300,955.745913
-100.819792,300,957.827997
-159.269438,300,960.350351
-114.474109,300,962.414667
-149.727325,300,964.38101
-145.524854,300,966.561569
-168.92765,300,969.292436
-139.019317,300,971.220544
-163.705188,300,973.745048
-162.425067,300,977.104317
-183.278113,300,980.079968
-176.576496,300,982.980597
-131.865742,300,984.970199
-112.099692,300,987.111708
-135.591921,300,989.248572
-164.794646,300,991.621289
-218.869525,300,994.727282
-191.236213,300,997.609169
-105.06055,300,998.850266
-180.690396,300,1000.97595
-178.834263,300,1003.292799
-155.287292,300,1005.335331
-170.448188,300,1007.710462
-117.690179,300,1009.703182
-139.335288,300,1011.728544
-179.548171,300,1014.131603
-130.356346,300,1016.187848
-71.334804,300,1018.18917
-108.933338,300,1020.630641
-121.982463,300,1050.061639
-195.552204,300,1378.545046
-174.028946,300,1380.843114
-152.894925,300,1383.128645
-105.664596,300,1386.471745
-145.8133,300,1388.950635
-128.206509,300,1391.430565
-141.874371,300,1393.952587
-169.839546,300,1396.856444
-151.480263,300,1399.792724
-119.119304,300,1402.139512
-128.053042,300,1404.531252
-141.607354,300,1407.197811
-104.7464,300,1409.199424
-199.45205,300,1411.961778
-181.655904,300,1414.561888
-160.927296,300,1416.963558
-157.382604,300,1419.329308
-134.90345,300,1421.082386
-82.358125,300,1422.78881
-141.523684,300,1424.795072
-126.487234,300,1426.45087
-155.608717,300,1428.470767
-148.938221,300,1430.500568
-119.814017,300,1432.532561
-104.374692,300,1434.288654
-103.498888,300,1435.925097
-123.816875,300,1438.041683
-134.946054,300,1439.816719
-155.419396,300,1442.161328
-143.093079,300,1444.308721
-110.904754,300,1445.943481
-166.326038,300,1448.470418
-132.630296,300,1450.251288
-179.374804,300,1452.651533
-141.258567,300,1454.694951
-71.103513,300,1456.224441
-137.697425,300,1458.321771
