#{"t_start": 1789709340.635321, "env_id": "None"}
r,l,t
-95.418184,300,5.666548
-169.518597,300,8.152946
-64.391838,300,9.202978
-114.304742,300,10.802885
-86.261217,300,12.005671
-151.916417,300,13.82347
-109.623626,300,15.432368
-90.120755,300,16.590345
-135.120459,300,18.234034
-126.553897,300,19.756109
-147.796051,300,21.445301
-131.735129,300,23.012077
-135.607542,300,24.663526
-133.390517,300,26.270857
-122.901855,300,27.99679
-105.909301,300,29.325948
-136.002151,300,31.363295
-104.27445,300,33.041759
-126.0615,300,35.213345
-77.83878,300,36.853685
-101.54243,300,38.626139
-76.614097,300,40.1323
-109.165639,300,42.022829
-81.742939,300,43.528875
-98.067063,300,45.455234
-82.527213,300,46.991729
-155.874942,300,49.504497
-102.483918,300,51.417348
-127.566339,300,53.284033
-163.761221,300,55.618924
-123.330622,300,57.828349
-90.719301,300,59.711321
-129.182626,300,62.03123
-177.750817,300,65.179844
-78.314934,300,66.858949
-61.228818,300,68.286404
-119.078093,300,70.48752
-109.957384,300,72.648479
-116.659968,300,74.83522
-146.185421,300,77.654526
-74.812096,300,79.273286
-81.942151,300,80.950909
-73.67113,300,82.535664
-143.354947,300,85.119941
-129.896767,300,87.795545
-123.772055,300,90.673276
-52.26358,300,92.322065
-154.200708,300,95.119474
-81.995318,300,97.090176
-96.706859,300,99.637761
-129.291363,300,102.213607
-107.165467,300,104.240792
-195.207334,300,107.625845
-164.04288,300,110.440466
-158.381201,300,113.083699
-98.512192,300,114.990118
-58.275996,300,116.458725
-125.339818,300,118.645476
-105.738134,300,120.730881
-169.440968,300,123.78019
-138.363355,300,126.105263
-111.687138,300,128.243019
-38.804884,300,129.663833
-101.578605,300,131.689565
-87.696226,300,133.48585
-141.454539,300,136.129746
-82.157405,300,138.093059
-177.63943,300,141.152468
-138.804026,300,143.809939
-120.430168,300,146.4984
-94.53103,300,148.555143
-109.524434,300,151.016742
-106.515526,300,153.677235
-79.621447,300,155.833076
-65.469647,300,157.581212
-61.298313,300,159.368961
-60.238155,300,161.428683
-131.245705,300,164.032093
-49.111767,300,165.809728
-125.459513,300,168.450738
-98.500059,300,171.056054
-128.454417,300,173.834444
-36.821696,300,175.434145
-121.827064,300,178.011251
-134.682764,300,180.831445
-87.539155,300,182.772149
-99.717359,300,185.048236
-123.043955,300,187.864061
-150.260859,300,190.702977
-87.309701,300,192.712621
-97.010909,300,194.86044
-107.317713,300,197.010395
-98.528475,300,199.468143
-135.316601,300,202.007396
-111.282022,300,204.156949
-75.804414,300,205.839327
-144.488738,300,208.523592
-105.110184,300,210.678064
-76.527851,300,212.628118
-129.209014,300,215.103786
-117.223826,300,217.4865
-139.92715,300,220.031266
-119.734368,300,222.77758
-93.824334,300,224.880227
-87.218676,300,227.079002
-104.147472,300,229.272877
-89.455134,300,231.322431
-121.941663,300,233.78979
-96.532384,300,235.787755
-113.041576,300,237.914031
-125.827314,300,240.249063
-132.312463,300,242.927064
-122.258189,300,245.688076
-124.251246,300,248.294882
-111.241976,300,250.472281
-122.189763,300,252.887977
-114.171072,300,255.057653
-119.419763,300,257.357253
-99.346851,300,259.223225
-47.195263,300,260.858901
-51.334043,300,262.552898
-60.10461,300,264.13428
-57.190555,300,265.896034
-141.357176,300,268.15851
-154.251767,300,270.969196
-146.400276,300,273.589854
-116.18678,300,275.805395
-82.275726,300,277.584521
-103.463005,300,279.477406
-138.919147,300,281.87301
-104.327871,300,284.093935
-113.707459,300,286.290603
-100.302184,300,288.256485
-127.554551,300,290.679112
-80.332451,300,292.590767
-131.85678,300,295.051404
-116.618505,300,297.27735
-162.266305,300,299.667944
-144.663942,300,301.98112
-43.569442,300,303.686657
-114.089284,300,305.863679
-77.330488,300,307.609181
-97.629655,300,309.69169
-82.395438,300,311.572267
-120.955442,300,314.069105
-98.500751,300,316.224682
-115.29278,300,318.311657
-127.399751,300,320.233505
-84.229084,300,321.833886
-98.063447,300,323.617745
-117.289943,300,325.688062
-105.98053,300,327.749093
-117.930014,300,329.961209
-127.874209,300,332.13485
-92.834642,300,334.599254
-53.352221,300,336.134488
-133.553889,300,338.583324
-123.769518,300,340.919082
-37.447809,300,342.256252
-97.490651,300,343.809121
-68.910588,300,345.500968
-116.541109,300,347.434605
-137.390363,300,349.365866
-96.770313,300,351.098721
-103.137397,300,352.594564
-115.707847,300,354.841268
-124.27888,300,356.408787
-99.999426,300,357.975414
-119.457342,300,360.122537
-101.53233,300,362.19237
-122.978689,300,364.782005
-137.639138,300,367.266128
-102.789305,300,369.140751
-148.993534,300,371.400034
-72.118172,300,373.06228
-137.527418,300,375.851483
-71.31063,300,378.180531
-168.180188,300,381.688826
-37.419755,300,383.53209
-121.358318,300,386.18412
-104.104072,300,388.844123
-126.513751,300,391.827834
-78.957059,300,394.025598
-112.843997,300,396.580044
-119.943014,300,399.202832
-125.030947,300,401.903942
-36.090942,300,403.49642
-90.39083,300,405.280039
-127.03041,300,407.67712
-92.627447,300,409.586944
-137.418821,300,411.924504
-96.405868,300,413.797722
-116.378576,300,416.288878
-102.436938,300,418.786756
-73.61533,300,420.828933
-67.346884,300,422.675668
-129.616509,300,425.121394
-135.927392,300,427.385005
-51.400209,300,428.965115
-90.474713,300,430.666749
-128.040318,300,432.990409
-31.902467,300,434.907765
-102.527576,300,438.454569
-104.596197,300,442.089797
-94.41298,300,445.146363
-103.928292,300,448.52668
-41.118613,300,451.240891
-117.996197,300,454.851285
-130.413346,300,458.831529
-83.449393,300,461.68345
-86.622621,300,463.781984
-104.284276,300,465.502962
