#{"t_start": 1789708854.3192565, "env_id": "None"}
r,l,t
-175.0944,300,4.64682
-226.676729,300,6.440603
-196.849896,300,8.064473
-152.444617,300,9.008391
-173.451571,300,9.954563
-180.857509,300,11.21025
-173.074559,300,12.654787
-180.200921,300,14.064625
-148.294959,300,14.804604
-205.964679,300,16.404083
-187.628138,300,17.834512
-223.2366,300,19.57279
-194.21275,300,20.804414
-252.584737,300,22.964995
-221.260621,300,24.10399
-165.507108,300,25.281458
-173.256779,300,26.470185
-170.652667,300,27.706583
-180.033438,300,28.839628
-123.537167,300,30.074142
-190.154479,300,31.987041
-204.579296,300,33.677145
-166.631434,300,35.231951
-143.32985,300,36.518789
-165.144259,300,38.004509
-157.746034,300,39.391446
-180.825721,300,40.725629
-241.174788,300,42.886299
-146.572221,300,44.010604
-184.371784,300,45.969594
-213.802679,300,47.672288
-146.6735,300,48.779346
-175.241279,300,50.178756
-176.00265,300,51.329161
-190.838692,300,53.1041
-136.196704,300,54.301987
-180.333988,300,55.885248
-154.177529,300,57.215729
-196.757338,300,58.86202
-176.346321,300,60.407967
-172.867746,300,62.401399
-219.949663,300,63.917489
-214.225117,300,65.623791
-194.855534,300,67.372989
-163.032713,300,68.751987
-146.466992,300,69.961358
-177.903471,300,71.567805
-108.773484,300,72.648211
-129.092342,300,73.752845
-190.508421,300,75.384675
-163.88815,300,76.638813
-156.501983,300,77.93255
-112.515663,300,79.384333
-149.953333,300,80.757781
-182.703909,300,82.58104
-115.661846,300,83.531004
-194.042484,300,85.1588
-115.251275,300,86.252273
-185.668871,300,87.930794
-199.387167,300,89.303576
-138.040467,300,90.647371
-126.5062,300,91.900752
-152.432984,300,93.36773
-166.083117,300,94.715433
-179.330138,300,95.983385
-186.423517,300,97.652692
-174.106117,300,99.634937
-144.658604,300,101.038873
-178.921658,300,102.466524
-208.647121,300,104.642665
-157.50195,300,105.922248
-181.787975,300,108.08446
-154.796154,300,109.82967
-231.633183,300,112.467812
-183.709263,300,114.732879
-224.809242,300,116.899305
-169.341479,300,118.953828
-192.131071,300,121.067208
-176.764629,300,122.70109
-178.553383,300,124.499949
-154.303154,300,125.928885
-193.641317,300,127.678757
-177.950858,300,128.842742
-114.519317,300,130.04711
-141.720559,300,131.277787
-195.749463,300,133.007874
-214.341,300,135.582342
-144.778038,300,136.886143
-156.299504,300,138.731508
-138.31685,300,140.040467
-161.090196,300,141.644744
-197.009367,300,143.048424
-194.661467,300,144.831776
-152.781037,300,146.319941
-182.529229,300,148.164401
-192.915829,300,150.224665
-179.8718,300,151.580775
-174.461967,300,153.247553
-216.348821,300,155.275578
-141.468733,300,156.430333
-142.491892,300,158.172076
-181.820092,300,160.346405
-198.118217,300,162.252417
-197.400871,300,164.093532
-183.308925,300,166.184533
-213.332908,300,167.843428
-180.234342,300,169.57573
-168.812434,300,171.330398
-219.931925,300,173.618055
-165.374417,300,175.012872
-94.929121,300,176.096506
-191.319296,300,178.456393
-188.170788,300,180.630231
-180.788096,300,182.820647
-158.144833,300,184.327074
-200.670421,300,185.934034
-145.945675,300,187.26582
-194.142284,300,188.862241
-167.818588,300,190.794545
-216.916775,300,192.439366
-170.600063,300,194.225311
-120.794158,300,195.227309
-208.424596,300,196.995868
-221.811955,300,199.436544
-163.168254,300,200.821658
-169.967713,300,202.961601
-221.9633,300,205.021928
-210.60235,300,206.982576
-179.087984,300,208.679002
-204.596633,300,210.627628
-131.734767,300,211.871722
-167.83365,300,213.670881
-184.50185,300,215.645011
-186.319346,300,217.445159
-195.775988,300,219.076879
-203.063513,300,220.871962
-207.075146,300,223.158242
-168.468038,300,224.981215
-191.496212,300,227.821579
-137.770963,300,229.143275
-197.434783,300,231.125251
-188.220088,300,233.281623
-165.016884,300,235.299238
-177.188463,300,237.295965
-169.981775,300,239.108226
-137.597396,300,240.792706
-162.657392,300,242.372785
-181.553975,300,244.082241
-188.062038,300,246.317842
-209.15015,300,248.483641
-204.650684,300,251.01097
-173.118738,300,252.607623
-134.869838,300,254.216817
-146.006871,300,255.976449
-195.043179,300,258.33661
-173.180404,300,260.673787
-168.1171,300,262.824579
-214.6421,300,265.193517
-144.909038,300,266.635206
-188.009842,300,268.112393
-160.984638,300,269.558012
-174.316579,300,271.023898
-202.691204,300,273.140728
-170.523092,300,274.901793
-221.101675,300,277.374486
-192.987575,300,279.272939
-143.500504,300,280.663764
-170.485983,300,282.976372
-183.87335,300,285.060946
-172.566837,300,286.803457
-215.933238,300,289.520518
-101.240213,300,290.616004
-127.766579,300,292.334182
-150.4204,300,293.966711
-179.365808,300,295.877692
-165.043671,300,297.81678
-122.639925,300,299.585332
-154.778,300,301.085436
-122.8318,300,302.562334
-166.534134,300,304.115879
-169.541313,300,305.875202
-139.259454,300,307.525685
-123.904229,300,309.013272
-162.744646,300,310.97526
-189.804821,300,313.417002
-84.595292,300,314.611676
-168.339125,300,316.893143
-214.638492,300,319.251865
-223.439796,300,321.781353
-151.012655,300,323.704446
-152.926954,300,325.411178
-172.036117,300,327.329139
-169.99698,300,329.161031
-153.838738,300,330.721934
-163.326355,300,332.708465
-216.572225,300,334.932953
-138.794292,300,337.124465
-206.272675,300,340.148901
-148.119829,300,342.454483
-130.176904,300,344.695692
-161.83785,300,347.071095
-197.051529,300,349.514855
-163.697305,300,352.084359
-154.307554,300,353.913547
-126.300954,300,355.618687
-206.195629,300,358.25618
-168.0377,300,360.595101
-140.791,300,363.273149
-188.704329,300,365.855748
-208.610246,300,368.647463
-177.125796,300,371.86073
-150.228421,300,373.97726
-139.427763,300,375.837689
-168.481538,300,379.321316
-166.9092,300,381.866386
-157.254571,300,383.99388
-146.170625,300,386.24751
-153.999846,300,388.949739
-170.427846,300,391.347075
-105.48545,300,393.292761
-178.069971,300,395.596575
-191.673,300,397.951743
-180.833917,300,399.789562
-183.773929,300,401.736755
-141.2634,300,403.351226
-223.767025,300,406.15329
-115.809308,300,407.94364
-180.638813,300,410.28335
-166.574271,300,412.566777
-164.270642,300,414.4024
-170.179746,300,416.247989
-149.678146,300,418.3063
-169.177213,300,420.416057
-125.023908,300,422.23067
-177.987909,300,424.135689
-156.962171,300,426.053268
-187.846104,300,428.242538
-180.846609,300,430.235032
-135.492029,300,431.647842
-106.586013,300,433.067583
-141.5217,300,434.917391
-187.270263,300,437.009183
-184.551734,300,438.698605
-154.325696,300,440.613154
-153.576104,300,442.658383
-144.391363,300,444.441843
-156.905267,300,446.525798
-184.881717,300,448.959107
-211.640821,300,451.358843
-182.297392,300,453.274791
-136.858583,300,454.968342
-191.557938,300,456.917116
-108.659967,300,458.030117
-141.473171,300,459.640897
-126.123075,300,461.218849
-146.152988,300,462.524439
-104.617954,300,464.01287
-122.0104,300,465.618513
-91.802033,300,467.064008
-174.208963,300,469.074114
-167.236554,300,471.274786
-157.740884,300,473.588852
-227.074992,300,476.729373
-159.410854,300,479.038062
-172.552275,300,481.421682
-176.883125,300,483.9829
-175.321921,300,486.112986
-177.21235,300,488.356466
-133.211742,300,490.429907
-175.480725,300,492.990839
-177.347029,300,495.180421
-147.638588,300,497.223031
-163.330459,300,499.523366
-114.280708,300,501.241652
-132.040938,300,503.19175
-125.880659,300,504.788844
-182.368242,300,506.945632
-96.954721,300,508.648858
-183.665134,300,510.642228
-129.974471,300,512.308997
-115.278371,300,514.290114
-144.211983,300,516.379076
-188.518954,300,519.040923
-169.438963,300,521.396111
-177.304525,300,523.649814
-191.907971,300,526.277464
-166.159954,300,528.26727
-162.854509,300,530.187228
-161.336084,300,532.12081
-181.582954,300,534.561194
