#{"t_start": 1789709725.1321623, "env_id": "None"}
r,l,t
-141.797054,300,8.185205
-92.345242,300,9.941363
-140.49718,300,12.189854
-126.805979,300,14.106503
-78.002018,300,15.470415
-101.474196,300,16.791476
-79.489767,300,18.230318
-113.364463,300,19.466214
-109.860534,300,20.84269
-116.086013,300,22.36362
-90.337838,300,23.653055
-146.145288,300,25.678024
-87.227001,300,26.840138
-93.760626,300,27.937527
-146.195988,300,29.796216
-110.545983,300,31.300077
-84.334059,300,32.563163
-78.05313,300,34.063156
-88.875496,300,35.900445
-110.952671,300,37.953912
-87.490996,300,39.731324
-157.161001,300,42.040754
-93.995476,300,43.886843
-125.576259,300,45.939706
-74.795518,300,47.655608
-58.021159,300,49.079812
-122.49881,300,52.855878
-32.866551,300,54.850826
-108.910789,300,57.874118
-89.342113,300,60.426149
-79.158747,300,62.778774
-125.735088,300,66.436567
-107.475105,300,69.860009
-103.729292,300,73.426049
-99.208129,300,76.566609
-95.45428,300,78.776553
-84.160868,300,80.143859
-95.916859,300,81.675123
-87.02538,300,83.071434
-73.393755,300,84.310305
-149.266055,300,86.063111
-112.956605,300,87.911374
-97.402368,300,91.299747
-77.650251,300,94.337729
-115.370034,300,98.31054
-95.574301,300,101.397482
-135.319858,300,105.39052
-56.109967,300,107.960616
-68.985697,300,111.262948
-87.554939,300,114.332932
-83.637263,300,116.242072
-90.569401,300,118.612929
-132.636313,300,121.67885
-81.423409,300,124.319569
-122.255893,300,127.78588
-97.872093,300,130.500068
-169.231413,300,135.001659
-119.02836,300,138.227573
-85.298809,300,140.582684
-38.398763,300,142.312603
-106.602671,300,145.175385
-75.994005,300,147.369416
-69.824634,300,149.610828
-45.468205,300,151.775683
-51.997534,300,153.625968
-95.11298,300,156.200439
-96.302209,300,159.119806
-63.702055,300,161.558517
-84.429134,300,165.375652
-79.276563,300,168.791615
-109.393609,300,171.231083
-71.615709,300,172.927269
-83.730918,300,174.698094
-55.057284,300,176.579904
-137.615834,300,179.049817
-37.885084,300,180.375984
-84.41603,300,182.403983
-106.395443,300,184.750812
-127.398505,300,187.527849
-132.611701,300,190.404967
-54.669397,300,191.945123
-98.007825,300,193.824561
-158.206746,300,196.354654
-106.258135,300,198.373954
-112.854822,300,200.523735
-80.713509,300,202.449799
-65.274888,300,204.089439
-52.609813,300,205.996195
-96.762159,300,208.311474
-98.906922,300,210.345371
-118.142196,300,212.550546
-40.082334,300,213.99903
-91.443588,300,215.932785
-100.375484,300,218.041719
-135.329434,300,220.565578
-112.337892,300,222.724014
-118.331705,300,224.807471
-133.373584,300,227.255618
-162.777984,300,230.073708
-50.526538,300,231.877732
-99.939235,300,234.258856
-117.543076,300,236.68793
-104.702313,300,238.962748
-112.70165,300,241.291381
-99.847817,300,243.797643
-127.212989,300,246.097997
-124.925005,300,248.628381
-57.840109,300,250.797462
-127.147792,300,253.908427
-75.135951,300,256.322602
-90.875796,300,258.791713
-75.947043,300,261.157603
-120.692555,300,263.894788
-79.330426,300,265.924044
-58.704026,300,267.575558
-70.721097,300,269.28658
-85.762501,300,271.398617
-82.624801,300,273.552567
-91.232264,300,275.857121
-33.646834,300,277.525802
-74.852372,300,279.590186
-78.487175,300,281.585602
-105.946088,300,283.664666
-70.304676,300,285.478862
-106.870376,300,287.933232
-145.595167,300,290.658454
-145.408551,300,293.791728
-100.329438,300,296.09336
-31.620025,300,297.660139
-188.60913,300,300.921882
-43.057688,300,302.603842
-37.045725,300,304.141006
-125.970638,300,306.538879
-124.433146,300,309.221597
-105.942063,300,311.654936
-155.405155,300,314.810392
-54.208172,300,316.606862
-57.202759,300,318.350307
-102.490318,300,320.546082
-129.959689,300,323.041679
-138.402342,300,325.899886
-72.164938,300,328.00216
-72.857909,300,329.795695
-103.600051,300,332.020718
-114.492455,300,334.295351
-52.224301,300,335.772983
-90.333822,300,337.726021
-101.881517,300,339.867835
-119.114251,300,342.242294
-104.479889,300,344.913632
-97.78763,300,347.048759
-118.395256,300,349.855457
-113.69361,300,352.308663
-85.302122,300,354.436288
-130.698576,300,356.802172
-149.850909,300,359.477361
-100.982435,300,361.490938
-144.414106,300,363.898839
-172.972255,300,366.653768
-94.042947,300,368.624061
-36.842509,300,369.883597
-108.641881,300,372.011482
-64.435234,300,373.75384
-102.403751,300,375.847795
-98.141931,300,378.028527
-48.71458,300,379.60596
-92.622505,300,381.759549
-96.719085,300,383.825635
-86.504717,300,386.744558
-100.895747,300,416.400935
-34.223971,300,418.673811
-165.151668,300,746.766112
-99.929217,300,749.14756
-82.836801,300,751.427093
-64.72083,300,754.365005
-99.777122,300,757.120895
-53.236409,300,759.004759
-164.446264,300,762.053954
-89.97713,300,764.429006
-170.982375,300,767.541598
-69.807179,300,769.535182
-72.784534,300,771.493773
-78.637101,300,773.768699
-143.350093,300,776.51998
-96.711692,300,778.905783
-84.839963,300,780.934474
-76.322951,300,782.784957
-77.869484,300,784.969108
-128.285946,300,787.494442
-154.306134,300,790.099044
-88.861476,300,791.89056
-59.049272,300,793.610804
-97.47608,300,795.560183
-53.061126,300,797.018155
-29.731984,300,798.352422
-116.856388,300,800.447457
-46.417471,300,802.110377
-70.992359,300,803.800316
-106.668097,300,805.864873
-164.766409,300,808.648017
-89.968951,300,810.626592
-75.825701,300,812.352752
-32.276925,300,813.706922
-57.795784,300,815.420728
-26.625825,300,816.763743
-73.083167,300,818.415898
-134.652442,300,820.731131
-59.43153,300,822.372482
-111.294293,300,824.653154
-98.122539,300,826.73576
-113.533376,300,829.222348
-112.439005,300,831.897212
-120.339438,300,834.512192
-64.472043,300,836.429604
-75.629239,300,838.362628
-92.423622,300,840.535605
-73.629918,300,842.37992
-52.34748,300,844.347599
-77.729447,300,846.398223
-92.194772,300,848.478791
-30.238925,300,849.783864
-68.630226,300,851.29748
-89.258492,300,853.338516
-97.163872,300,855.47149
-26.791159,300,856.820507
-68.543672,300,858.790739
-62.747413,300,860.716568
-83.799051,300,862.51567
-125.275309,300,864.762089
-121.671488,300,866.950404
-39.666996,300,868.396668
-88.987342,300,870.451524
-63.735088,300,872.31319
-91.457488,300,874.369062
-123.132784,300,876.786151
-77.690326,300,878.556402
-30.357417,300,879.863416
-98.067414,300,881.922861
-21.591629,300,883.116101
-101.346188,300,885.22272
-91.080793,300,887.182323
-58.481563,300,889.061913
-115.253017,300,891.361487
-132.511246,300,893.57062
-89.632509,300,895.401936
-79.242763,300,897.36758
-45.258555,300,898.808955
-100.84563,300,900.721881
-79.23158,300,902.426478
-119.954018,300,904.5344
-72.553859,300,906.193011
-82.243684,300,908.220076
-114.463772,300,910.443762
-36.406867,300,911.8153
-143.002055,300,914.700072
-61.267788,300,916.427946
-99.998431,300,918.542955
-90.17568,300,920.673159
-83.213647,300,922.689625
-52.76568,300,924.275277
-97.867889,300,926.518038
-127.979797,300,928.677143
-54.481014,300,930.239081
-97.132618,300,932.275077
-87.269247,300,934.340779
-123.877176,300,937.210124
-105.521775,300,940.183599
-31.159254,300,942.03896
-58.317671,300,944.333016
-34.735717,300,946.332234
-48.738246,300,948.348207
-97.674009,300,951.055949
-83.260176,300,1022.177547
-78.151109,300,1024.64968
-122.855976,300,1249.761914
-61.288964,300,1251.01634
-104.324201,300,1252.501752
-68.85133,300,1253.597399
-90.376438,300,1255.186434
-51.434847,300,1256.570838
-76.563547,300,1257.743846
-80.625788,300,1260.533108
-79.465388,300,1262.536052
-139.861934,300,1265.912927
-39.00278,300,1267.858243
-62.099863,300,1270.359087
-55.311405,300,1272.63021
-105.644168,300,1275.527683
-61.111613,300,1277.848172
-91.492189,300,1280.881818
-27.145513,300,1282.710119
-44.718497,300,1284.906591
-131.040526,300,1288.186807
-108.938897,300,1291.301099
-112.710084,300,1295.758414
-142.848726,300,1299.225029
-186.691842,300,1303.36635
-98.567722,300,1306.145174
-81.889676,300,1308.623958
-116.904788,300,1311.524299
-52.764076,300,1313.804369
-72.354201,300,1316.177418
-126.108863,300,1319.12605
-71.730464,300,1321.593278
-108.200701,300,1324.61073
-85.068684,300,1326.413694
-53.659738,300,1327.743247
-53.084496,300,1328.92437
-54.586992,300,1330.306178
-84.487388,300,1331.789564
-32.249392,300,1333.045965
-123.276068,300,1334.951954
-89.613851,300,1336.699741
-126.073105,300,1338.397535
-118.456821,300,1340.179214
-82.463305,300,1341.485315
-122.33668,300,1343.121947
-117.039204,300,1344.592051
-45.789517,300,1345.781221
-119.808896,300,1347.420479
-151.752468,300,1349.181945
-74.000384,300,1350.363144
-114.560755,300,1351.731171
-152.653755,300,1353.395123
-90.004284,300,1354.643844
-88.012467,300,1355.791893
-102.549363,300,1357.030984
-120.337534,300,1358.773189
-164.145917,300,1359.803453
-84.636317,300,1360.50079
-52.09118,300,1361.064451
-37.975138,300,1361.524403
-43.69763,300,1362.082795
