episode_dqn,controller_dqn,seed,traffic_scenario,realized_scenario_dqn,avg_waiting_time_dqn,max_waiting_time_dqn,avg_queue_dqn,max_queue_dqn,throughput_dqn,episode_reward_dqn,departed_dqn,unfinished_dqn,pending_dqn,max_pending_dqn,collisions_dqn,teleports_dqn,duration_dqn,reward_queue_dqn,reward_waiting_dqn,reward_max_waiting_dqn,reward_switching_dqn,phase_changes_dqn,forced_changes_dqn,scheduled_dqn,not_inserted_dqn,route_sha256_dqn,model_index,model_source,episode_fixed,controller_fixed,realized_scenario_fixed,avg_waiting_time_fixed,max_waiting_time_fixed,avg_queue_fixed,max_queue_fixed,throughput_fixed,episode_reward_fixed,departed_fixed,unfinished_fixed,pending_fixed,max_pending_fixed,collisions_fixed,teleports_fixed,duration_fixed,reward_queue_fixed,reward_waiting_fixed,reward_max_waiting_fixed,reward_switching_fixed,phase_changes_fixed,forced_changes_fixed,scheduled_fixed,not_inserted_fixed,route_sha256_fixed
1,dqn,4001,balanced,balanced,6.756024096385542,56.5,3.738333333333333,12,165,-26.41820443433753,166,1,0,2,0,0,300.0,-14.018750262446702,-0.2404958334802359,-4.958958338410594,-7.200000000000004,36,3,166,0,95ec035b0e993a6950aedeb61eebd9f6ea36175c234d0010a678bf03f31b609b,0,results\heldout_approach\dqn_s11\episodes.csv,1,fixed,balanced,12.430722891566266,79.0,6.878333333333333,19,162,-40.28808794929574,166,4,0,2,0,0,300.0,-25.793750446289778,-0.5657958328949464,-7.32854167011101,-6.600000000000003,33,0,166,0,95ec035b0e993a6950aedeb61eebd9f6ea36175c234d0010a678bf03f31b609b
2,dqn,4002,balanced,balanced,7.098765432098766,54.0,3.8333333333333335,10,160,-26.99866280834102,162,2,0,1,0,0,300.0,-14.375000303145498,-0.2151208337993012,-4.808541671396233,-7.600000000000004,38,2,162,0,0f7508729155c84a8c98610cdc856cd19376da808cc5b392d2b541399eef6fc1,0,results\heldout_approach\dqn_s11\episodes.csv,2,fixed,balanced,12.466049382716047,49.0,6.7316666666666665,15,154,-38.11082154779215,162,8,0,1,0,0,300.0,-25.24375071376562,-0.4512375002166664,-5.81583333380986,-6.600000000000003,33,0,162,0,0f7508729155c84a8c98610cdc856cd19376da808cc5b392d2b541399eef6fc1
3,dqn,4003,balanced,balanced,7.433139534883721,75.0,4.261666666666667,10,171,-29.95743373561054,172,1,0,2,0,0,300.0,-15.9812504039146,-0.2722250001585053,-6.103958331537434,-7.600000000000004,38,2,172,0,3b57fa9e203c30f8252bd8f3f341c56718de35e302347585af20dabad50821ea,0,results\heldout_approach\dqn_s11\episodes.csv,3,fixed,balanced,14.703488372093023,94.5,8.43,17,162,-48.66912556726237,172,10,0,2,0,0,300.0,-31.612500539515167,-0.8839166671525169,-9.5727083605947,-6.600000000000003,33,0,172,0,3b57fa9e203c30f8252bd8f3f341c56718de35e302347585af20dabad50821ea
4,dqn,4004,balanced,balanced,8.306010928961749,51.0,5.066666666666666,13,181,-32.68092544369503,183,2,0,1,0,0,300.0,-19.00000044796616,-0.3344666670971492,-5.74645832863171,-7.600000000000004,38,2,183,0,8b16f95aa57df271d3c2f7e1c3e206d2dd26ecf7ee0011b1a7847490c80d69a4,0,results\heldout_approach\dqn_s11\episodes.csv,4,fixed,balanced,10.811475409836063,46.5,6.595,19,179,-37.13184645781586,183,4,0,1,0,0,300.0,-24.73125063115731,-0.4199708332802402,-5.380624993378298,-6.600000000000003,33,0,183,0,8b16f95aa57df271d3c2f7e1c3e206d2dd26ecf7ee0011b1a7847490c80d69a4
5,dqn,4005,balanced,balanced,5.94551282051282,60.5,3.0933333333333333,11,154,-23.586941935861965,156,2,0,1,0,0,300.0,-11.600000276695935,-0.1919416664350138,-4.794999992731027,-7.000000000000004,35,3,156,0,9a0d10699959e91d5d6303823f463117309f9d3d1b844a80541e964ad330c5e3,0,results\heldout_approach\dqn_s11\episodes.csv,5,fixed,balanced,11.176282051282053,44.0,5.8116666666666665,16,153,-34.033183664688124,156,3,0,1,0,0,300.0,-21.79375033918768,-0.3683916672358464,-5.2710416582645845,-6.600000000000003,33,0,156,0,9a0d10699959e91d5d6303823f463117309f9d3d1b844a80541e964ad330c5e3
6,dqn,4006,balanced,balanced,6.45679012345679,54.0,3.486666666666667,12,159,-26.101221150028124,162,3,0,1,0,0,300.0,-13.07500032428652,-0.2099708332993032,-5.6162499924423175,-7.200000000000004,36,3,162,0,b44c8944d5c45d05d2d3ce547fd74e06d81f9a1e83b0a81001cc68b32e3e5882,0,results\heldout_approach\dqn_s11\episodes.csv,6,fixed,balanced,10.49074074074074,50.5,5.665,16,159,-32.763296399841046,162,3,0,1,0,0,300.0,-21.24375056894496,-0.3276708333687566,-4.591874997527341,-6.600000000000003,33,0,162,0,b44c8944d5c45d05d2d3ce547fd74e06d81f9a1e83b0a81001cc68b32e3e5882
7,dqn,4007,balanced,balanced,7.443181818181818,59.0,4.366666666666666,12,172,-30.45811707650862,176,4,0,1,0,0,300.0,-16.37500041909516,-0.3083250004667208,-6.374791656946765,-7.400000000000004,37,3,176,0,6805323b3f3c3ec9793c58e9f80c708c466b21be71315a156073027779864964,0,results\heldout_approach\dqn_s11\episodes.csv,7,fixed,balanced,11.755681818181818,52.5,6.8966666666666665,15,168,-39.7425131142881,176,8,0,1,0,0,300.0,-25.86250061634928,-0.5279291668484802,-6.752083331090399,-6.600000000000003,33,0,176,0,6805323b3f3c3ec9793c58e9f80c708c466b21be71315a156073027779864964
8,dqn,4008,balanced,balanced,5.651315789473684,37.5,2.8633333333333333,8,148,-21.940241900944223,152,4,0,1,0,0,300.0,-10.737500234507024,-0.1523250003308932,-4.050416666106322,-7.000000000000004,35,4,152,0,26b29045f35906102ad7e8824e0952085ac30b54a2fc53c2316918e48be699b0,0,results\heldout_approach\dqn_s11\episodes.csv,8,fixed,balanced,9.546052631578949,39.0,4.836666666666667,14,148,-29.208296298411028,152,4,0,1,0,0,300.0,-18.137500465847552,-0.2672541675281535,-4.2035416650353,-6.600000000000003,33,0,152,0,26b29045f35906102ad7e8824e0952085ac30b54a2fc53c2316918e48be699b0
9,dqn,4009,balanced,balanced,8.298076923076923,43.5,4.315,12,152,-27.8685628713276,156,4,0,1,0,0,300.0,-16.18125037383288,-0.2298125000605068,-4.257499997434207,-7.200000000000004,36,3,156,0,9a08381ecd11c776405252003ffaff50b81f144631b04524098945c5c6e503be,0,results\heldout_approach\dqn_s11\episodes.csv,9,fixed,balanced,13.23076923076923,59.5,6.88,16,152,-40.060292240417056,156,4,0,1,0,0,300.0,-25.800000580959026,-0.5427916656699379,-7.11749999378808,-6.600000000000003,33,0,156,0,9a08381ecd11c776405252003ffaff50b81f144631b04524098945c5c6e503be
10,dqn,4010,balanced,balanced,6.796666666666667,42.0,3.398333333333333,9,145,-24.055562759157336,150,5,0,2,0,0,300.0,-12.74375025415793,-0.1978541668635444,-4.513958338135855,-6.600000000000003,33,3,150,0,c086e5fd584bf47a828efbce5adc36a0b11d08b092f69131e6ea6546d2ecdf8b,0,results\heldout_approach\dqn_s11\episodes.csv,10,fixed,balanced,9.596666666666666,50.5,4.798333333333333,13,148,-29.490067065927004,150,2,0,2,0,0,300.0,-17.993750399909914,-0.283816666785424,-4.61249999923166,-6.600000000000003,33,0,150,0,c086e5fd584bf47a828efbce5adc36a0b11d08b092f69131e6ea6546d2ecdf8b
