episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,4001,balanced,balanced,7.484939759036145,75.5,4.141666666666667,11,160,-28.483512847904795,166,6,0,2,0,0,300.0,-15.531250352039933,-0.27684583390291656,-5.875416661961939,-6.800000000000003,34,5,166,0,95ec035b0e993a6950aedeb61eebd9f6ea36175c234d0010a678bf03f31b609b
2,dqn,4002,balanced,balanced,6.842592592592593,37.0,3.695,12,159,-24.82422532268173,162,3,0,1,0,0,300.0,-13.856250317767262,-0.19485000009954107,-3.7731250048149394,-7.0000000000000036,35,5,162,0,0f7508729155c84a8c98610cdc856cd19376da808cc5b392d2b541399eef6fc1
3,dqn,4003,balanced,balanced,7.90406976744186,51.5,4.531666666666666,10,167,-29.471325309678644,172,5,0,2,0,0,300.0,-16.993750314228237,-0.25486666707947736,-4.822708328370938,-7.400000000000004,37,3,172,0,3b57fa9e203c30f8252bd8f3f341c56718de35e302347585af20dabad50821ea
4,dqn,4004,balanced,balanced,9.295081967213115,59.5,5.671666666666667,17,180,-34.019712922941096,183,3,0,1,0,0,300.0,-21.268750420305878,-0.3761708336511217,-5.374791668984113,-7.0000000000000036,35,5,183,0,8b16f95aa57df271d3c2f7e1c3e206d2dd26ecf7ee0011b1a7847490c80d69a4
5,dqn,4005,balanced,balanced,6.842948717948718,49.0,3.558333333333333,10,154,-25.632271114926713,156,2,0,1,0,0,300.0,-13.343750278931111,-0.2145625002020098,-5.073958335793578,-7.0000000000000036,35,2,156,0,9a0d10699959e91d5d6303823f463117309f9d3d1b844a80541e964ad330c5e3
6,dqn,4006,balanced,balanced,6.567901234567901,42.0,3.546666666666667,11,159,-24.762966952620623,162,3,0,1,0,0,300.0,-13.300000284798443,-0.17296666673719294,-3.490000001084991,-7.800000000000004,39,3,162,0,b44c8944d5c45d05d2d3ce547fd74e06d81f9a1e83b0a81001cc68b32e3e5882
7,dqn,4007,balanced,balanced,7.400568181818182,42.5,4.341666666666667,11,172,-28.375621247757216,176,4,0,1,0,0,300.0,-16.281250421889126,-0.23603750020265568,-4.458333325665448,-7.400000000000004,37,4,176,0,6805323b3f3c3ec9793c58e9f80c708c466b21be71315a156073027779864964
8,dqn,4008,balanced,balanced,5.315789473684211,36.5,2.6933333333333334,7,149,-20.84044185161328,152,3,0,1,0,0,300.0,-10.10000017983839,-0.12460833342483969,-3.215833338350058,-7.400000000000004,37,3,152,0,26b29045f35906102ad7e8824e0952085ac30b54a2fc53c2316918e48be699b0
9,dqn,4009,balanced,balanced,8.304487179487179,42.0,4.318333333333333,11,151,-28.546696188023628,156,5,0,1,0,0,300.0,-16.19375035073608,-0.2441958330360648,-4.50875000425149,-7.600000000000004,38,2,156,0,9a08381ecd11c776405252003ffaff50b81f144631b04524098945c5c6e503be
10,dqn,4010,balanced,balanced,6.27,40.0,3.135,10,148,-22.674787769975964,150,2,0,2,0,0,300.0,-11.756250268314034,-0.15416250019043212,-3.7643750014714916,-7.0000000000000036,35,3,150,0,c086e5fd584bf47a828efbce5adc36a0b11d08b092f69131e6ea6546d2ecdf8b
11,dqn,4011,balanced,balanced,7.503012048192771,44.5,4.151666666666666,13,162,-27.099771184278506,166,4,0,1,0,0,300.0,-15.568750347476453,-0.22664583433870575,-4.104375002463348,-7.200000000000004,36,2,166,0,edf60eb3c42454204085762906d8be51f07c0b4e4525179fec3466e835abed70
12,dqn,4012,balanced,balanced,5.57516339869281,43.0,2.8433333333333333,9,152,-21.599046072585036,153,1,0,1,0,0,300.0,-10.662500234786421,-0.1519625002634711,-3.5845833375351526,-7.200000000000004,36,2,153,0,17167382fc6c9fb4d3154367d71c185cd21f571128acaf9eea328561909d65dc
13,dqn,4013,balanced,balanced,7.621527777777778,49.5,3.658333333333333,10,143,-25.007558677036286,144,1,0,1,0,0,300.0,-13.718750341795385,-0.22693333369024915,-4.6618750015506505,-6.400000000000003,32,3,144,0,9dc82fb650529fbd2a1c4137265c58d255745ee2d42748fc03b22570f42a11b8
14,dqn,4014,balanced,balanced,8.445945945945946,90.5,5.208333333333333,12,184,-34.577421293904635,185,1,0,2,0,0,300.0,-19.531250450760126,-0.4092958338638707,-7.03687500928063,-7.600000000000004,38,2,185,0,5e72b29ce6aef295b7278c524527ff84e6a39c2056b74ddd3c0795df9c10da20
15,dqn,4015,balanced,balanced,7.531976744186046,58.0,4.318333333333333,10,167,-29.48084625302582,172,5,0,1,0,0,300.0,-16.193750416394323,-0.28772083368385193,-5.999375002947635,-7.0000000000000036,35,2,172,0,7d67b47bf06dda1afa53016c7f78892d0fc04c7ecfc1783ce90e292256d4b835
16,dqn,4016,balanced,balanced,6.163888888888889,38.5,3.6983333333333333,11,179,-25.16547534419005,180,1,0,1,0,0,300.0,-13.868750345893204,-0.1740166665265859,-3.322708331770264,-7.800000000000004,39,3,180,0,25e2144043f2597634e45bb84450fd518198dda3e1dcb004c56d89fc606a2b1c
17,dqn,4017,balanced,balanced,8.513422818791947,56.0,4.2283333333333335,12,143,-29.345412828245724,149,6,0,1,0,0,300.0,-15.856250330340117,-0.2877041665917204,-5.801458331313922,-7.400000000000004,37,3,149,0,cab230d66fd23445ced67fe8e7cbef201d1f8ec8ac08f4fee96f629c29180df5
18,dqn,4018,balanced,balanced,8.445121951219512,61.0,4.616666666666666,14,161,-30.775796163594347,164,3,0,1,0,0,300.0,-17.312500330153853,-0.32225416637957083,-6.14104166706093,-7.0000000000000036,35,6,164,0,ebd9740e3c5f2bd3843ab36d1054a937487036e5a6e147cedb0e0eebc79b11a0
19,dqn,4019,balanced,balanced,7.905487804878049,38.5,4.321666666666666,12,160,-27.770342032767804,164,4,0,1,0,0,300.0,-16.206250364892185,-0.23430000016742267,-3.729791667708197,-7.600000000000004,38,3,164,0,59e0ab425a71114984104e57337109d00700dfb77f52889b6462b68b2034078b
20,dqn,4020,balanced,balanced,6.753246753246753,39.5,3.466666666666667,12,152,-24.48605032545966,154,2,0,1,0,0,300.0,-13.00000032177195,-0.1720916668789868,-3.3139583368087187,-8.000000000000004,40,2,154,0,0810985b1a432cfe294cccbaf8f0d47af1759c91bf460ee46329529af65b120b
21,dqn,4021,balanced,balanced,7.482638888888889,47.0,3.591666666666667,12,137,-25.072246182511297,144,7,0,1,0,0,300.0,-13.46875034738332,-0.2199541665257129,-4.383541668602264,-7.0000000000000036,35,3,144,0,9aee2cdd3e9e28bf7f56afde994da08873d861ad0e7a9f390229d9f2ca0ded19
22,dqn,4022,balanced,balanced,8.67741935483871,54.0,4.483333333333333,13,155,-29.171771137403265,155,0,0,1,0,0,300.0,-16.812500305473804,-0.3059374998658315,-5.0533333320636284,-7.0000000000000036,35,3,155,0,300cae4c6306bb6a14766f4fc251ad0c98a92bce48c90a2d12bc9e5a491efb64
23,dqn,4023,balanced,balanced,7.890804597701149,71.0,4.576666666666667,13,171,-31.9208462333736,174,3,0,1,0,0,300.0,-17.16250041825697,-0.35022083331932674,-7.208124981797298,-7.200000000000004,36,5,174,0,90571d2225793ce35aa73126b31ae71caecae43fba0892b178fbac96acbf1128
24,dqn,4024,balanced,balanced,6.583333333333333,48.0,3.6866666666666665,9,165,-25.259883632935104,168,3,0,1,0,0,300.0,-13.825000296812505,-0.18696666656105668,-3.8479166695615272,-7.400000000000004,37,4,168,0,48c8c2abdd5392aaf268ebd371e6f1915c9f280133b311ae4f1603c7ed0dbba9
25,dqn,4025,balanced,balanced,7.59748427672956,66.0,4.026666666666666,10,155,-28.017475232369904,159,4,0,1,0,0,300.0,-15.100000238511711,-0.2841416665629366,-5.83333332729526,-6.800000000000003,34,3,159,0,1015a7bf4e660c08472e40c5437da2e6debd5ac13570cb5edb92682a0fa04abe
26,dqn,4026,balanced,balanced,8.297687861271676,58.0,4.785,12,172,-30.90679201496751,173,1,0,1,0,0,300.0,-17.94375034607947,-0.32012499991324167,-5.442916668974795,-7.200000000000004,36,4,173,0,108fa032d0fb4193250c4212c18d29ae21ab4aed5e75d035afad7a58ee4deacc
27,dqn,4027,balanced,balanced,6.263698630136986,44.0,3.0483333333333333,8,142,-22.540079433404756,146,4,0,1,0,0,300.0,-11.431250265799463,-0.1565375000274798,-3.9522916675778115,-7.0000000000000036,35,2,146,0,5f31afb6b76642b195dc4c904238cd393f79afcc6d984f047127a533cc8da3c1
28,dqn,4028,balanced,balanced,7.931372549019608,53.0,4.045,11,152,-26.79657533480569,153,1,0,1,0,0,300.0,-15.168750335928053,-0.23011666631573466,-4.39770833256189,-7.0000000000000036,35,4,153,0,01ebae7ffde9abac11d92f1256a41ae5523a1d150cedf7ea46812f70ce6f5ada
29,dqn,4029,balanced,balanced,8.7,45.5,4.93,16,162,-30.911587977302407,170,8,0,2,0,0,300.0,-18.487500478047878,-0.3045041664598102,-4.719583332794719,-7.400000000000004,37,3,170,0,3ff03a6dc4687135b563530b7313d1d293b78218c9fe848badcca8d0de510fd6
30,dqn,4030,balanced,balanced,6.807453416149069,63.0,3.655,12,157,-26.04898361962841,161,4,0,2,0,0,300.0,-13.70625029085204,-0.22669166697742182,-4.716041661798954,-7.400000000000004,37,4,161,0,d8cf3e62a69aac5f10a17f5a9ce1ef5f8489dc0161e5e1f59d2522eb006093d7
31,dqn,4001,ns_heavy,ns_heavy,8.997630331753555,82.5,6.328333333333333,13,201,-40.597921267869246,211,10,0,2,0,0,300.0,-23.731250448152423,-0.622504166346334,-9.444166653370491,-6.800000000000003,34,7,211,0,49661176c787b94a3f7c7d6ec581e971443314fe1aa7d6d5c7576cf41bd083a7
32,dqn,4002,ns_heavy,ns_heavy,10.742009132420092,112.0,7.841666666666667,15,210,-46.68657117112816,219,9,0,1,0,0,300.0,-29.406250330153853,-0.7044874989594976,-9.575833342014807,-7.0000000000000036,35,4,219,0,359b53678ec225481dcd48743e73462f7f928d9eab339420a3e07b0b22462dae
33,dqn,4003,ns_heavy,ns_heavy,13.121338912133892,96.5,10.453333333333333,23,230,-58.386046762840195,239,9,0,2,0,0,300.0,-39.20000093476847,-1.396254164661514,-11.189791663410151,-6.600000000000003,33,6,239,0,ec52978b783cd054b40e8a8e0b13f8108983635dd8e0a5872c5e5387d541b988
34,dqn,4004,ns_heavy,ns_heavy,9.459401709401709,122.5,7.378333333333333,17,219,-49.71185486817335,234,15,0,3,0,0,300.0,-27.668750699143857,-0.8095625010791989,-14.033541667950349,-7.200000000000004,36,7,234,0,aaa1b8656750d941b65e59a17e3be92e327285d61629e214c2e59f77ffcd0999
35,dqn,4005,ns_heavy,ns_heavy,8.678571428571429,65.5,6.075,13,200,-37.50741712448434,210,10,0,1,0,0,300.0,-22.781250458676368,-0.508249999347754,-7.417916666460227,-6.800000000000003,34,8,210,0,ce98c8d35e0adfed311e50171e1b2fc62732ea3578f217c26a4fa0efcbf9c199
36,dqn,4006,ns_heavy,ns_heavy,11.615384615384615,115.5,8.556666666666667,19,209,-51.668254773670185,221,12,0,2,0,0,300.0,-32.087500628549606,-0.9649208334762084,-11.615833311644389,-7.0000000000000036,35,6,221,0,5004be780a20ddcd2dc0674f1b6b44035a678e38f90bf189f65263d4081e3a97
37,dqn,4007,ns_heavy,ns_heavy,8.55841121495327,95.0,6.105,13,208,-40.801096225179954,214,6,0,1,0,0,300.0,-22.89375039516017,-0.5798458348952409,-10.727499995124525,-6.600000000000003,33,8,214,0,a522cf538787597f3be58178ff05e06c3847418e6eac5700cf50946692b1b624
38,dqn,4008,ns_heavy,ns_heavy,8.79064039408867,85.5,5.95,16,201,-38.596408856918416,203,2,0,2,0,0,300.0,-22.31250052759424,-0.5341166668127699,-9.349791662511413,-6.400000000000003,32,6,203,0,a59ed68ae77c774bf9d3d1a8c84fa4a3165d0c3816201081ba9181a1ee03c737
