episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,4001,balanced,balanced,8.349397590361447,69.5,4.62,12,163,-29.88486702226802,166,3,0,2,0,0,300.0,-17.325000366196036,-0.3277833333588206,-5.632083322713155,-6.600000000000003,33,5,166,0,95ec035b0e993a6950aedeb61eebd9f6ea36175c234d0010a678bf03f31b609b
2,dqn,4002,balanced,balanced,7.345679012345679,52.5,3.966666666666667,9,159,-26.911887833747443,162,3,0,1,0,0,300.0,-14.87500033667311,-0.2529291671387909,-4.98395832993556,-6.800000000000003,34,4,162,0,0f7508729155c84a8c98610cdc856cd19376da808cc5b392d2b541399eef6fc1
3,dqn,4003,balanced,balanced,7.683139534883721,65.0,4.405,10,168,-30.527154589935527,172,4,0,2,0,0,300.0,-16.518750418908894,-0.2971541669241559,-6.1112500041024775,-7.600000000000004,38,2,172,0,3b57fa9e203c30f8252bd8f3f341c56718de35e302347585af20dabad50821ea
4,dqn,4004,balanced,balanced,8.688524590163935,63.5,5.3,14,182,-33.67942548715438,183,1,0,1,0,0,300.0,-19.875000498257577,-0.362341666523571,-6.042083322373222,-7.400000000000004,37,3,183,0,8b16f95aa57df271d3c2f7e1c3e206d2dd26ecf7ee0011b1a7847490c80d69a4
5,dqn,4005,balanced,balanced,7.118589743589744,62.0,3.7016666666666667,14,153,-25.916179439765973,156,3,0,1,0,0,300.0,-13.88125027064234,-0.239512499855482,-4.59541666926816,-7.200000000000004,36,3,156,0,9a0d10699959e91d5d6303823f463117309f9d3d1b844a80541e964ad330c5e3
6,dqn,4006,balanced,balanced,7.302469135802469,96.0,3.9433333333333334,11,161,-29.457775372008477,162,1,0,1,0,0,300.0,-14.787500370293856,-0.3100666675694811,-7.160208334145135,-7.200000000000004,36,4,162,0,b44c8944d5c45d05d2d3ce547fd74e06d81f9a1e83b0a81001cc68b32e3e5882
7,dqn,4007,balanced,balanced,7.559659090909091,62.5,4.435,11,173,-29.619200362678402,176,3,0,1,0,0,300.0,-16.631250376347452,-0.28815833315602507,-5.499791653174909,-7.200000000000004,36,4,176,0,6805323b3f3c3ec9793c58e9f80c708c466b21be71315a156073027779864964
8,dqn,4008,balanced,balanced,7.348684210526316,56.0,3.723333333333333,8,148,-26.808471131099957,152,4,0,1,0,0,300.0,-13.962500303518027,-0.2572208335004689,-5.388749994081448,-7.200000000000004,36,5,152,0,26b29045f35906102ad7e8824e0952085ac30b54a2fc53c2316918e48be699b0
9,dqn,4009,balanced,balanced,7.32051282051282,49.0,3.8066666666666666,9,153,-27.03625033926948,156,3,0,1,0,0,300.0,-14.275000334717333,-0.24104166706820251,-4.7202083374839265,-7.800000000000004,39,4,156,0,9a08381ecd11c776405252003ffaff50b81f144631b04524098945c5c6e503be
10,dqn,4010,balanced,balanced,6.59,55.5,3.295,8,146,-24.902654495651213,150,4,0,2,0,0,300.0,-12.356250328943133,-0.22098749985671018,-5.325416666851382,-7.0000000000000036,35,4,150,0,c086e5fd584bf47a828efbce5adc36a0b11d08b092f69131e6ea6546d2ecdf8b
