episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,fixed,4001,balanced,balanced,12.430722891566266,79.0,6.878333333333333,19,162,-40.28808794929574,166,4,0,2,0,0,300.0,-25.793750446289778,-0.5657958328949464,-7.32854167011101,-6.600000000000003,33,0,166,0,95ec035b0e993a6950aedeb61eebd9f6ea36175c234d0010a678bf03f31b609b
2,fixed,4002,balanced,balanced,12.466049382716049,49.0,6.7316666666666665,15,154,-38.11082154779215,162,8,0,1,0,0,300.0,-25.24375071376562,-0.4512375002166664,-5.81583333380986,-6.600000000000003,33,0,162,0,0f7508729155c84a8c98610cdc856cd19376da808cc5b392d2b541399eef6fc1
3,fixed,4003,balanced,balanced,14.703488372093023,94.5,8.43,17,162,-48.66912556726237,172,10,0,2,0,0,300.0,-31.612500539515167,-0.8839166671525169,-9.572708360594701,-6.600000000000003,33,0,172,0,3b57fa9e203c30f8252bd8f3f341c56718de35e302347585af20dabad50821ea
4,fixed,4004,balanced,balanced,10.811475409836065,46.5,6.595,19,179,-37.13184645781586,183,4,0,1,0,0,300.0,-24.73125063115731,-0.4199708332802402,-5.380624993378298,-6.600000000000003,33,0,183,0,8b16f95aa57df271d3c2f7e1c3e206d2dd26ecf7ee0011b1a7847490c80d69a4
5,fixed,4005,balanced,balanced,11.176282051282051,44.0,5.8116666666666665,16,153,-34.033183664688124,156,3,0,1,0,0,300.0,-21.79375033918768,-0.3683916672358464,-5.2710416582645845,-6.600000000000003,33,0,156,0,9a0d10699959e91d5d6303823f463117309f9d3d1b844a80541e964ad330c5e3
6,fixed,4006,balanced,balanced,10.49074074074074,50.5,5.665,16,159,-32.763296399841046,162,3,0,1,0,0,300.0,-21.24375056894496,-0.3276708333687566,-4.591874997527341,-6.600000000000003,33,0,162,0,b44c8944d5c45d05d2d3ce547fd74e06d81f9a1e83b0a81001cc68b32e3e5882
7,fixed,4007,balanced,balanced,11.755681818181818,52.5,6.8966666666666665,15,168,-39.7425131142881,176,8,0,1,0,0,300.0,-25.86250061634928,-0.5279291668484802,-6.752083331090399,-6.600000000000003,33,0,176,0,6805323b3f3c3ec9793c58e9f80c708c466b21be71315a156073027779864964
8,fixed,4008,balanced,balanced,9.546052631578947,39.0,4.836666666666667,14,148,-29.208296298411028,152,4,0,1,0,0,300.0,-18.137500465847552,-0.26725416752815356,-4.2035416650353,-6.600000000000003,33,0,152,0,26b29045f35906102ad7e8824e0952085ac30b54a2fc53c2316918e48be699b0
9,fixed,4009,balanced,balanced,13.23076923076923,59.5,6.88,16,152,-40.060292240417056,156,4,0,1,0,0,300.0,-25.800000580959022,-0.5427916656699379,-7.11749999378808,-6.600000000000003,33,0,156,0,9a08381ecd11c776405252003ffaff50b81f144631b04524098945c5c6e503be
10,fixed,4010,balanced,balanced,9.596666666666666,50.5,4.798333333333333,13,148,-29.490067065927004,150,2,0,2,0,0,300.0,-17.993750399909914,-0.283816666785424,-4.61249999923166,-6.600000000000003,33,0,150,0,c086e5fd584bf47a828efbce5adc36a0b11d08b092f69131e6ea6546d2ecdf8b
11,fixed,4011,balanced,balanced,12.86144578313253,58.0,7.116666666666666,17,159,-40.966258839368685,166,7,0,1,0,0,300.0,-26.687500525731593,-0.5706333333764629,-7.10812498026062,-6.600000000000003,33,0,166,0,edf60eb3c42454204085762906d8be51f07c0b4e4525179fec3466e835abed70
12,fixed,4012,balanced,balanced,11.96078431372549,44.5,6.1,16,148,-34.81505048774197,153,5,0,1,0,0,300.0,-22.875000492669642,-0.3698416661798547,-4.970208328892481,-6.600000000000003,33,0,153,0,17167382fc6c9fb4d3154367d71c185cd21f571128acaf9eea328561909d65dc
13,fixed,4013,balanced,balanced,9.177083333333334,32.5,4.405,13,141,-27.570537910979294,144,3,0,1,0,0,300.0,-16.51875041751191,-0.24387083367546464,-4.207916659791955,-6.600000000000003,33,0,144,0,9dc82fb650529fbd2a1c4137265c58d255745ee2d42748fc03b22570f42a11b8
14,fixed,4014,balanced,balanced,14.462162162162162,79.0,8.918333333333333,23,176,-49.98670066124978,185,9,0,2,0,0,300.0,-33.443750685080886,-0.8710749993355422,-9.071874976833364,-6.600000000000003,33,0,185,0,5e72b29ce6aef295b7278c524527ff84e6a39c2056b74ddd3c0795df9c10da20
15,fixed,4015,balanced,balanced,7.9854651162790695,29.5,4.578333333333333,13,170,-27.401575362592872,172,2,0,1,0,0,300.0,-17.168750365730375,-0.22511666675927708,-3.407708330103197,-6.600000000000003,33,0,172,0,7d67b47bf06dda1afa53016c7f78892d0fc04c7ecfc1783ce90e292256d4b835
16,fixed,4016,balanced,balanced,14.405555555555555,75.5,8.643333333333333,20,171,-48.67633815240844,180,9,0,1,0,0,300.0,-32.41250065760687,-0.8207124996770291,-8.843124995124533,-6.600000000000003,33,0,180,0,25e2144043f2597634e45bb84450fd518198dda3e1dcb004c56d89fc606a2b1c
17,fixed,4017,balanced,balanced,13.916107382550335,59.0,6.911666666666667,17,143,-39.673254737251405,149,6,0,1,0,0,300.0,-25.918750568758696,-0.569087501771719,-6.585416666720997,-6.600000000000003,33,0,149,0,cab230d66fd23445ced67fe8e7cbef201d1f8ec8ac08f4fee96f629c29180df5
18,fixed,4018,balanced,balanced,10.893292682926829,48.0,5.955,15,159,-34.58735049138995,164,5,0,1,0,0,300.0,-22.33125049294904,-0.3573500001126377,-5.298749998328278,-6.600000000000003,33,0,164,0,ebd9740e3c5f2bd3843ab36d1054a937487036e5a6e147cedb0e0eebc79b11a0
19,fixed,4019,balanced,balanced,15.003048780487806,78.0,8.201666666666666,19,154,-46.48872965675472,164,10,0,1,0,0,300.0,-30.75625050254166,-0.8068541664273653,-8.325624987785714,-6.600000000000003,33,0,164,0,59e0ab425a71114984104e57337109d00700dfb77f52889b6462b68b2034078b
20,fixed,4020,balanced,balanced,12.081168831168831,75.5,6.201666666666667,16,149,-36.7561339401749,154,5,0,1,0,0,300.0,-23.256250612437725,-0.46571666671588924,-6.434166661021303,-6.600000000000003,33,0,154,0,0810985b1a432cfe294cccbaf8f0d47af1759c91bf460ee46329529af65b120b
21,fixed,4021,balanced,balanced,10.0,33.0,4.8,14,136,-28.69002540313013,144,8,0,1,0,0,300.0,-18.000000403262675,-0.2602333334398282,-3.8297916664276284,-6.600000000000003,33,0,144,0,9aee2cdd3e9e28bf7f56afde994da08873d861ad0e7a9f390229d9f2ca0ded19
22,fixed,4022,balanced,balanced,10.441935483870967,54.5,5.395,15,155,-32.393421313336155,155,0,0,1,0,0,300.0,-20.231250488664955,-0.34196250024906466,-5.220208324422129,-6.600000000000003,33,0,155,0,300cae4c6306bb6a14766f4fc251ad0c98a92bce48c90a2d12bc9e5a491efb64
23,fixed,4023,balanced,balanced,9.155172413793103,48.5,5.31,16,173,-30.75685460559473,174,1,0,1,0,0,300.0,-19.912500435952097,-0.29414583348116113,-3.95020833616145,-6.600000000000003,33,0,174,0,90571d2225793ce35aa73126b31ae71caecae43fba0892b178fbac96acbf1128
24,fixed,4024,balanced,balanced,14.318452380952381,95.0,8.018333333333333,17,162,-48.24980489744777,168,6,0,1,0,0,300.0,-30.0687507269904,-0.8979291665411439,-10.68312500391621,-6.600000000000003,33,0,168,0,48c8c2abdd5392aaf268ebd371e6f1915c9f280133b311ae4f1603c7ed0dbba9
25,fixed,4025,balanced,balanced,11.40566037735849,55.0,6.045,16,157,-35.151767246505926,159,2,0,1,0,0,300.0,-22.668750579468906,-0.3913499995709573,-5.491666667466051,-6.600000000000003,33,0,159,0,1015a7bf4e660c08472e40c5437da2e6debd5ac13570cb5edb92682a0fa04abe
26,fixed,4026,balanced,balanced,12.31791907514451,53.5,7.1033333333333335,17,168,-39.57446301564781,173,5,0,1,0,0,300.0,-26.637500518001616,-0.4800875001747044,-5.856874997471466,-6.600000000000003,33,0,173,0,108fa032d0fb4193250c4212c18d29ae21ab4aed5e75d035afad7a58ee4deacc
27,fixed,4027,balanced,balanced,9.352739726027398,42.5,4.551666666666667,13,144,-27.834991997067846,146,2,0,1,0,0,300.0,-17.068750329315662,-0.24436666679757763,-3.9218750009546044,-6.600000000000003,33,0,146,0,5f31afb6b76642b195dc4c904238cd393f79afcc6d984f047127a533cc8da3c1
28,fixed,4028,balanced,balanced,10.120915032679738,50.0,5.163333333333333,14,148,-31.684208823886742,153,5,0,1,0,0,300.0,-19.36250048968941,-0.34587500070410887,-5.375833333493212,-6.600000000000003,33,0,153,0,01ebae7ffde9abac11d92f1256a41ae5523a1d150cedf7ea46812f70ce6f5ada
29,fixed,4029,balanced,balanced,12.105882352941176,61.0,6.86,17,161,-39.25878379838689,170,9,0,2,0,0,300.0,-25.725000468548387,-0.5069083338152266,-6.426874996023254,-6.600000000000003,33,0,170,0,3ff03a6dc4687135b563530b7313d1d293b78218c9fe848badcca8d0de510fd6
30,fixed,4030,balanced,balanced,8.847826086956522,40.0,4.748333333333333,12,157,-28.585004653104974,161,4,0,2,0,0,300.0,-17.80625048605725,-0.2489625002475803,-3.9297916668001585,-6.600000000000003,33,0,161,0,d8cf3e62a69aac5f10a17f5a9ce1ef5f8489dc0161e5e1f59d2522eb006093d7
31,fixed,4001,ns_heavy,ns_heavy,24.66350710900474,140.5,17.348333333333333,48,171,-84.1595545637181,211,40,0,2,0,0,300.0,-58.28125040791929,-3.175387496267651,-16.10291665953118,-6.600000000000003,33,0,211,0,49661176c787b94a3f7c7d6ec581e971443314fe1aa7d6d5c7576cf41bd083a7
32,fixed,4002,ns_heavy,ns_heavy,21.75799086757991,122.5,15.883333333333333,36,193,-78.79366255857242,219,26,0,1,0,0,300.0,-55.75625007413328,-2.6572041656421796,-13.780208318796946,-6.600000000000003,33,0,219,0,359b53678ec225481dcd48743e73462f7f928d9eab339420a3e07b0b22462dae
33,fixed,4003,ns_heavy,ns_heavy,24.077405857740587,142.0,19.18166666666667,45,208,-89.27068342053757,239,31,0,2,0,0,300.0,-63.468750060070306,-3.598600001139129,-15.603333359328099,-6.600000000000003,33,0,239,0,ec52978b783cd054b40e8a8e0b13f8108983635dd8e0a5872c5e5387d541b988
34,fixed,4004,ns_heavy,ns_heavy,22.955128205128204,108.5,17.905,49,196,-82.036851019202,234,38,0,3,0,0,300.0,-61.462501001078635,-2.5351833331857048,-11.439166684937666,-6.600000000000003,33,0,234,0,aaa1b8656750d941b65e59a17e3be92e327285d61629e214c2e59f77ffcd0999
35,fixed,4005,ns_heavy,ns_heavy,21.43095238095238,102.0,15.001666666666667,41,180,-76.06580467513633,210,30,0,1,0,0,300.0,-55.45000050961971,-2.1833041699450413,-11.83249999557156,-6.600000000000003,33,0,210,0,ce98c8d35e0adfed311e50171e1b2fc62732ea3578f217c26a4fa0efcbf9c199
