episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,8.24113475177305,64.5,3.8733333333333335,13,139,-27.826146070159297,141,2,0,1,0,0,300.0,-14.525000241585076,-0.248229166505189,-5.252916662069039,-7.800000000000004,39,3,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,11.528301886792454,68.5,6.11,16,155,-38.57068378005205,159,4,0,2,0,0,300.0,-22.912500460166484,-0.506933334605128,-6.95124998528045,-8.200000000000003,41,3,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,7.852941176470588,85.5,4.45,12,167,-32.72793787182748,170,3,0,1,0,0,300.0,-16.68750037252903,-0.36522916756075574,-7.875208331737665,-7.800000000000004,39,6,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,6.154135338345864,51.0,2.7283333333333335,11,129,-21.716721044108986,133,4,0,1,0,0,300.0,-10.231250214856118,-0.15026249981092402,-3.735208329441958,-7.600000000000004,38,7,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,8.067039106145252,61.0,4.8133333333333335,14,174,-32.25558362383235,179,5,0,2,0,0,300.0,-18.05000028386712,-0.3199583327987056,-5.685625007166527,-8.200000000000003,41,4,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,9.126373626373626,71.5,5.536666666666667,15,180,-35.70532538693952,182,2,0,1,0,0,300.0,-20.762500391341746,-0.4363666664678021,-6.7064583291299655,-7.800000000000004,39,4,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,11.441704035874439,59.5,8.506666666666666,16,207,-47.67588815090788,223,16,0,2,0,0,300.0,-31.90000065229833,-0.6852624997969544,-7.690624998812571,-7.400000000000004,37,3,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,9.881578947368421,55.5,7.51,18,219,-43.21500058948732,228,9,0,1,0,0,300.0,-28.162500597070903,-0.5410416669838014,-6.511458325432621,-8.000000000000004,40,4,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,8.874371859296483,55.5,5.886666666666667,14,193,-36.470050429787804,199,6,0,1,0,0,300.0,-22.075000437442213,-0.4479666669176364,-6.347083325427956,-7.600000000000004,38,6,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,9.775,58.5,7.82,19,226,-44.2883337969841,240,14,0,2,0,0,300.0,-29.325000465847552,-0.6437500012754757,-7.119583329861055,-7.200000000000004,36,5,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,7.873595505617978,158.5,4.673333333333333,12,172,-38.438962945145576,178,6,0,3,0,0,300.0,-17.525000437162817,-0.5283375001410606,-12.18562500784172,-8.200000000000003,41,6,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,17.592760180995477,133.5,12.96,31,196,-73.49450886970955,221,25,0,1,0,0,300.0,-48.58125053951517,-1.9799250013391427,-14.53333332885522,-8.400000000000002,42,6,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
13,dqn,3003,ew_heavy,ew_heavy,13.8359375,114.0,11.806666666666667,28,226,-64.97598833131052,256,30,0,1,0,0,300.0,-44.26250082999468,-1.3157791679856021,-10.597708333330234,-8.8,44,5,256,0,20ceed00528fae57b3c9c307b887275db427260184a3e63d03fc5e1183a98905
14,dqn,3004,ew_heavy,ew_heavy,9.605527638190955,90.0,6.371666666666667,20,196,-40.77012562448576,199,3,0,1,0,0,300.0,-23.89375063031912,-0.6678333317577198,-9.00854166240896,-7.200000000000004,36,5,199,0,a396fb4b2065601dd9cac5209374ffea3c5ff0123851af0165f49a627636d935
15,dqn,3005,ew_heavy,ew_heavy,16.095982142857142,137.5,12.018333333333333,25,212,-70.37966742835921,224,12,0,2,0,0,300.0,-44.91250073956326,-1.8632083365831928,-15.803958352212787,-7.800000000000004,39,3,224,0,70ae49afa832c057379e76616399200cddfcb89528bd7c4dbdb1c95c5eef0abf
16,dqn,3001,left_heavy,left_heavy,16.737704918032787,66.5,10.21,21,165,-53.632371400490946,183,18,0,3,0,0,300.0,-36.79375056922436,-1.0750791667807795,-8.563541664485815,-7.200000000000004,36,3,183,0,1cf82ffb966a586f06df6b17fe1c14943cf19bbc00e4d0be1b179bcf66cce8e6
17,dqn,3002,left_heavy,left_heavy,31.122549019607842,160.5,21.163333333333334,42,168,-84.5686256028865,204,36,12,13,0,0,300.0,-55.987500604242086,-5.343625001880718,-15.437499996763634,-7.800000000000004,39,4,216,12,84ea70c2a31d25ed012050691e3b4dea349598680443377414e6db3344541e93
18,dqn,3003,left_heavy,left_heavy,16.608294930875577,64.0,12.013333333333334,25,191,-58.33193375697951,217,26,0,2,0,0,300.0,-41.856250441167504,-1.5052666658921228,-7.970416649919939,-7.0000000000000036,35,5,217,0,cfc06d724c0e15a1dc8f8e55a6bf9862f026619493244c328ba61184d50f8b70
19,dqn,3004,left_heavy,left_heavy,20.730978260869566,97.5,12.715,30,155,-56.47786773862169,184,29,0,1,0,0,300.0,-37.35000106599182,-2.012866668750939,-9.715000003878954,-7.400000000000004,37,6,184,0,9c737ff351f8aa9fbaf3bf7d1ba4db0aa502f11584f8afd6626ebd8bcbb0015f
20,dqn,3005,left_heavy,left_heavy,21.229357798165136,71.5,15.426666666666666,41,177,-67.05346741428578,218,41,9,13,0,0,300.0,-47.518750748597085,-2.369091668552574,-9.165624997136202,-8.000000000000004,40,5,227,9,48c2dfa194a8178ad606ea80635deb78ac5a229782e451fb70216b8437a4ef28
21,dqn,3001,heavy,heavy,41.22207792207792,144.5,52.901666666666664,130,260,-160.0429457941899,385,125,0,2,0,0,300.0,-124.87499994784594,-12.247320841496538,-16.120625004847525,-6.800000000000003,34,6,385,0,35e39fa41f6d5cbb2c472eef4ab4d1d4e3589b60ecc40f28445a39ae5bcfbbba
22,dqn,3002,heavy,heavy,52.360178970917225,194.0,78.01666666666667,178,269,-204.6892255950981,447,178,0,3,0,0,300.0,-160.48125059250742,-17.29026666684438,-19.717708335747037,-7.200000000000004,36,10,447,0,964e389756d50f20c35f5d53a365f3ed70222f6b9e7099ea164edf1b9d6da672
23,dqn,3003,heavy,heavy,48.12689804772234,176.0,73.95666666666666,157,274,-192.80588303049672,461,187,0,2,0,0,300.0,-150.37499973224476,-15.637549979935255,-18.79333331831733,-8.000000000000004,40,9,461,0,2e8bf5d6334d32e2f211ff2138f6d1d2fa790c9393e24f25e7058c1aafa1fc64
24,dqn,3004,heavy,heavy,43.47578692493947,148.0,59.85166666666667,137,276,-174.85286326504763,413,137,0,4,0,0,300.0,-136.47500074328855,-13.32973752022734,-17.448125001532045,-7.600000000000004,38,7,413,0,52e5ead81c222369d1a2e31a0f82b5437989b5853e2a6fb64e52e0078a20ef3c
