episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,8.308510638297872,49.5,3.905,13,140,-26.843450343714352,141,1,0,1,0,0,300.0,-14.643750347662717,-0.2478250003077845,-4.551874995743855,-7.400000000000004,37,2,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,8.257861635220126,78.5,4.376666666666667,12,158,-29.03927533014723,159,1,0,2,0,0,300.0,-16.4125003432855,-0.2955249995975462,-5.5312499872641645,-6.800000000000003,34,4,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,6.635294117647059,38.0,3.76,9,168,-25.02407953876975,170,2,0,1,0,0,300.0,-14.100000376813114,-0.1917874999620835,-3.7322916619945334,-7.0000000000000036,35,3,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,7.030075187969925,49.5,3.1166666666666667,9,129,-23.344312738946613,133,4,0,1,0,0,300.0,-11.687500237487257,-0.18077083322496035,-4.276041668234393,-7.200000000000004,36,5,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,8.094972067039107,61.0,4.83,11,176,-31.682042098348756,179,3,0,2,0,0,300.0,-18.112500430084765,-0.3218333333737974,-6.047708334890194,-7.200000000000004,36,3,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,8.711538461538462,75.5,5.285,15,179,-34.2860713382157,182,3,0,1,0,0,300.0,-19.818750509992242,-0.42586250022504796,-7.041458327998412,-7.0000000000000036,35,4,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,10.964125560538116,68.0,8.15,16,213,-47.92441298358387,223,10,0,2,0,0,300.0,-30.56250048521906,-0.8371208333155667,-9.72479166504927,-6.800000000000003,34,4,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,9.263157894736842,70.0,7.04,15,218,-41.741392180712154,228,10,0,1,0,0,300.0,-26.400000524241477,-0.6078499999523047,-7.733541656518359,-7.0000000000000036,35,4,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,8.547738693467336,63.0,5.67,14,194,-35.433533755505756,199,5,0,1,0,0,300.0,-21.262500429991633,-0.4872833331835865,-7.083749992330561,-6.600000000000003,33,8,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,10.8375,96.0,8.67,22,226,-50.35664658182433,240,14,0,2,0,0,300.0,-32.512500734534115,-0.8362291678939073,-9.807916679396296,-7.200000000000004,36,8,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,6.070224719101123,103.5,3.6016666666666666,11,175,-27.767975362542316,178,3,0,3,0,0,300.0,-13.50625036843121,-0.2696416671744372,-6.7920833269367025,-7.200000000000004,36,3,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,11.536199095022624,104.5,8.498333333333333,20,206,-48.82094663821844,221,15,0,1,0,0,300.0,-31.86875080689788,-0.762195833774604,-8.789999997545964,-7.400000000000004,37,3,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
