episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,20.095744680851062,130.0,9.445,27,126,-94.82109602105051,141,15,0,1,0,0,300.0,-8.854687660350464,-4.448700002740951,-69.71770835795905,-11.79999999999999,59,0,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,26.367924528301888,167.0,13.975,31,134,-108.5523669448543,159,25,0,2,0,0,300.0,-13.101562773110345,-7.427887499388455,-76.2229166723555,-11.79999999999999,59,0,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,22.41470588235294,144.0,12.701666666666666,28,147,-115.20506704060395,170,23,0,1,0,0,300.0,-11.907812684425153,-6.55871249888587,-84.93854185729288,-11.79999999999999,59,0,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,12.146616541353383,64.0,5.385,14,122,-46.384458444058666,133,11,0,1,0,0,300.0,-5.0484375902451575,-1.0933125025134363,-28.442708351300098,-11.79999999999999,59,0,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,21.88268156424581,141.5,13.056666666666667,32,151,-107.8605461071784,179,28,0,2,0,0,300.0,-12.240625179139897,-5.745962493175467,-78.07395843486302,-11.79999999999999,59,0,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,21.021978021978022,106.0,12.753333333333334,30,140,-94.45025018608575,182,42,0,1,0,0,300.0,-11.95625025825575,-5.725249999891091,-64.96874992793892,-11.79999999999999,59,0,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,27.221973094170405,146.5,20.235,47,156,-117.39552935327008,223,67,0,2,0,0,300.0,-18.970312739140354,-11.558549959515952,-75.2666666546138,-11.59999999999999,58,0,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,27.67982456140351,126.5,21.036666666666665,47,143,-125.5396002874601,228,85,0,1,0,0,300.0,-19.721875273273326,-13.033349991252914,-80.98437502293382,-11.79999999999999,59,1,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,21.35175879396985,89.0,14.163333333333334,36,145,-83.84329604211743,199,54,0,1,0,0,300.0,-13.278125253040344,-5.575587503528367,-53.389583285548724,-11.59999999999999,58,0,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,21.0375,96.5,16.83,48,139,-88.92090430718814,240,101,0,2,0,0,300.0,-15.778125218814239,-8.007362521211322,-53.33541656716261,-11.79999999999999,59,0,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,30.025280898876403,159.5,17.815,45,134,-119.02690830315039,178,44,0,3,0,0,300.0,-16.701562527567148,-14.248262475505904,-76.67708330007736,-11.399999999999991,57,1,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,29.34162895927602,149.5,21.616666666666667,53,156,-124.75706262098973,221,65,0,1,0,0,300.0,-20.265625161933713,-15.497687509580283,-77.59374994947575,-11.399999999999991,57,1,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
13,dqn,3003,ew_heavy,ew_heavy,26.578125,178.0,22.68,55,196,-130.40280007708935,256,60,0,1,0,0,300.0,-21.262500095297582,-16.327799968334144,-82.01250001345761,-10.799999999999994,54,2,256,0,20ceed00528fae57b3c9c307b887275db427260184a3e63d03fc5e1183a98905
14,dqn,3004,ew_heavy,ew_heavy,27.718592964824122,149.0,18.386666666666667,45,137,-121.41540033936836,199,62,0,1,0,0,300.0,-17.237500200397335,-12.30290002853944,-80.07500011043157,-11.79999999999999,59,0,199,0,a396fb4b2065601dd9cac5209374ffea3c5ff0123851af0165f49a627636d935
15,dqn,3005,ew_heavy,ew_heavy,30.535714285714285,151.5,22.801666666666666,49,153,-136.81444606904196,224,71,0,2,0,0,300.0,-21.376562751247548,-15.085799987728395,-88.75208333006594,-11.59999999999999,58,0,224,0,70ae49afa832c057379e76616399200cddfcb89528bd7c4dbdb1c95c5eef0abf
16,dqn,3001,left_heavy,left_heavy,29.099431818181817,131.5,17.073333333333334,37,126,-122.5883293251049,176,50,7,9,0,0,300.0,-16.006250204751268,-10.934162509232559,-83.84791661112104,-11.79999999999999,59,0,183,7,1cf82ffb966a586f06df6b17fe1c14943cf19bbc00e4d0be1b179bcf66cce8e6
17,dqn,3002,left_heavy,left_heavy,36.45384615384615,159.5,23.7,49,134,-137.3940877456442,195,61,21,24,0,0,300.0,-22.218750357045792,-20.903462471090467,-82.4718749175081,-11.79999999999999,59,0,216,21,84ea70c2a31d25ed012050691e3b4dea349598680443377414e6db3344541e93
18,dqn,3003,left_heavy,left_heavy,27.92401960784314,137.0,18.993333333333332,39,149,-119.05416692173233,204,55,13,17,0,0,300.0,-17.80625026160851,-12.378124983065208,-77.06979167705867,-11.79999999999999,59,0,217,13,cfc06d724c0e15a1dc8f8e55a6bf9862f026619493244c328ba61184d50f8b70
19,dqn,3004,left_heavy,left_heavy,24.93820224719101,110.0,14.798333333333334,36,132,-97.90994598520479,178,46,6,9,0,0,300.0,-13.873437739210203,-8.856299993763965,-63.38020825223066,-11.79999999999999,59,0,184,6,9c737ff351f8aa9fbaf3bf7d1ba4db0aa502f11584f8afd6626ebd8bcbb0015f
20,dqn,3005,left_heavy,left_heavy,22.80710659898477,116.0,14.985,35,147,-109.0333085081547,197,50,30,33,0,0,300.0,-14.048437736462802,-10.139037511754573,-73.04583325993735,-11.79999999999999,59,0,227,30,48c2dfa194a8178ad606ea80635deb78ac5a229782e451fb70216b8437a4ef28
21,dqn,3001,heavy,heavy,43.911458333333336,216.5,56.208333333333336,115,182,-206.42642084781164,384,202,1,3,0,0,300.0,-52.69531261106022,-43.657149928105284,-98.67395830864552,-11.399999999999991,57,2,385,1,35e39fa41f6d5cbb2c472eef4ab4d1d4e3589b60ecc40f28445a39ae5bcfbbba
22,dqn,3002,heavy,heavy,44.22930648769575,213.5,65.90166666666667,135,198,-219.872246049792,447,249,0,3,0,0,300.0,-61.782812671153806,-48.624850020072934,-98.66458335856441,-10.799999999999994,54,2,447,0,964e389756d50f20c35f5d53a365f3ed70222f6b9e7099ea164edf1b9d6da672
23,dqn,3003,heavy,heavy,38.080786026200876,204.0,58.14333333333333,118,181,-200.64084612193602,458,277,3,13,0,0,300.0,-54.509375290363096,-44.44188745705896,-90.28958337451331,-11.399999999999991,57,1,461,3,2e8bf5d6334d32e2f211ff2138f6d1d2fa790c9393e24f25e7058c1aafa1fc64
24,dqn,3004,heavy,heavy,36.78813559322034,201.0,50.64666666666667,94,174,-194.04753349032154,413,239,0,6,0,0,300.0,-47.481250268407166,-40.59857496225589,-94.16770825965796,-11.79999999999999,59,2,413,0,52e5ead81c222369d1a2e31a0f82b5437989b5853e2a6fb64e52e0078a20ef3c
25,dqn,3005,heavy,heavy,35.13824884792627,209.5,50.843333333333334,99,173,-198.51184624075512,434,261,0,8,0,0,300.0,-47.66562539059669,-40.41601252866014,-98.63020832149778,-11.79999999999999,59,4,434,0,72a9e65b29d431b475b47482dad2f92405164fad6275910045c75afe96f08027
26,dqn,3001,low,low,9.258620689655173,41.5,0.895,4,29,-22.202637527250037,29,0,0,0,0,0,300.0,-0.8390625173924491,-0.1666999997993117,-10.596875010058284,-10.599999999999994,53,2,29,0,01e3ea711ee1d89a908b4dbe2b0da8470449f67e8493276613e6c3242f72bcec
27,dqn,3002,low,low,6.776595744680851,23.5,1.0616666666666668,5,46,-19.10412090284443,47,1,0,0,0,0,300.0,-0.9953125165775418,-0.12234999994907411,-7.386458386317827,-10.599999999999994,53,2,47,0,24155043323033ebd3d0fcdd8bbbd6d9996f80594bb75d47bb6bf4ca55d51cd1
28,dqn,3003,low,low,8.09375,54.5,1.295,6,48,-25.493562550114437,48,0,0,1,0,0,300.0,-1.2140625233296305,-0.23575000049822853,-13.44375002628658,-10.599999999999994,53,2,48,0,c384694784ef221efdbc6733ac04f427466b3080ddb9b58de9edfa454d3d42a5
29,dqn,3004,low,low,5.162790697674419,27.0,0.74,4,43,-17.431841717907805,43,0,0,0,0,0,300.0,-0.6937500119674951,-0.0839250001270557,-6.054166705813259,-10.599999999999994,53,2,43,0,48bcce3f9624f017aa53b7e039a4c93f162e0a2a4f5761fdd0f565ec09b57170
30,dqn,3005,low,low,6.5978260869565215,27.5,1.0116666666666667,5,46,-18.80670422908877,46,0,0,1,0,0,300.0,-0.9484375179745257,-0.12597500017873242,-7.132291710935533,-10.599999999999994,53,2,46,0,82747ce03537a5a03ff11defbb7f5e70b091841d929690a8b81a7c93a13cc4b4
