episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,20.19858156028369,79.5,9.493333333333334,25,127,-72.442891911797,141,14,0,1,0,0,300.0,-8.900000161142088,-3.373099999090481,-49.56979175156448,-10.599999999999994,53,2,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,26.01572327044025,149.5,13.788333333333334,31,132,-97.16511676879168,159,27,0,2,0,0,300.0,-12.9265626774868,-6.509387496598362,-67.12916659470648,-10.599999999999994,53,3,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,21.21470588235294,87.0,12.021666666666667,25,151,-83.55142102185567,170,19,0,1,0,0,300.0,-11.270312698208727,-4.432150001776609,-57.248958321870305,-10.599999999999994,53,2,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,13.537593984962406,76.0,6.001666666666667,16,122,-54.66538761513729,133,11,0,1,0,0,300.0,-5.626562625635415,-1.4044500012132624,-38.03437498828862,-9.599999999999998,48,4,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,21.206703910614525,116.5,12.653333333333334,28,154,-89.99540008555124,179,25,0,2,0,0,300.0,-11.862500172574073,-4.773524995841581,-62.759374917135574,-10.599999999999994,53,3,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,22.115384615384617,116.0,13.416666666666666,33,145,-96.85743772325367,182,37,0,1,0,0,300.0,-12.578125279396772,-5.057437501016828,-68.42187494284008,-10.799999999999994,54,5,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,27.484304932735427,165.5,20.43,49,158,-118.79456275528138,223,65,0,2,0,0,300.0,-19.153125189593993,-10.419562503638003,-78.42187506204937,-10.799999999999994,54,4,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,25.50657894736842,127.0,19.385,43,154,-102.76162104830806,228,74,0,1,0,0,300.0,-18.17343777685892,-9.532975012070532,-64.05520825937856,-10.999999999999993,55,6,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,17.37939698492462,73.0,11.528333333333334,39,150,-68.6512626305754,199,49,0,1,0,0,300.0,-10.807812726940028,-3.618449993950342,-44.02499990968499,-10.199999999999996,51,6,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,19.8625,80.0,15.89,38,174,-82.79260437802657,240,66,0,2,0,0,300.0,-14.89687521837186,-5.83843750718297,-51.85729165247176,-10.199999999999996,51,6,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,22.707865168539325,121.5,13.473333333333333,34,135,-93.42624584835643,178,43,0,3,0,0,300.0,-12.63125016237609,-6.111662496730421,-64.08333318924997,-10.599999999999994,53,2,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,28.04524886877828,139.5,20.66,47,158,-108.3634293012721,221,63,0,1,0,0,300.0,-19.368750198045745,-11.759262485958613,-66.63541661726777,-10.599999999999994,53,2,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
13,dqn,3003,ew_heavy,ew_heavy,24.93359375,118.0,21.276666666666667,58,173,-118.10116679877468,256,83,0,1,0,0,300.0,-19.94687519117724,-12.634500027768805,-74.9197915798286,-10.599999999999994,53,3,256,0,20ceed00528fae57b3c9c307b887275db427260184a3e63d03fc5e1183a98905
14,dqn,3004,ew_heavy,ew_heavy,21.71105527638191,96.5,14.401666666666667,28,157,-95.56480435269691,199,42,0,1,0,0,300.0,-13.501562738209032,-6.740325003366888,-64.72291661112104,-10.599999999999994,53,3,199,0,a396fb4b2065601dd9cac5209374ffea3c5ff0123851af0165f49a627636d935
15,dqn,3005,ew_heavy,ew_heavy,27.890625,135.0,20.825,49,155,-122.58787113277725,224,69,0,2,0,0,300.0,-19.52343782328535,-11.665475048716328,-80.39895826077554,-10.999999999999993,55,1,224,0,70ae49afa832c057379e76616399200cddfcb89528bd7c4dbdb1c95c5eef0abf
16,dqn,3001,left_heavy,left_heavy,26.060773480662984,121.5,15.725,30,133,-110.16183366825645,181,48,2,5,0,0,300.0,-14.74218781501986,-8.858187497838657,-75.56145835539792,-10.999999999999993,55,1,183,2,1cf82ffb966a586f06df6b17fe1c14943cf19bbc00e4d0be1b179bcf66cce8e6
17,dqn,3002,left_heavy,left_heavy,33.38861386138614,133.0,22.483333333333334,47,142,-127.2918378042865,202,60,14,17,0,0,300.0,-21.078125324565917,-15.519962496740483,-79.69374998298008,-10.999999999999993,55,2,216,14,84ea70c2a31d25ed012050691e3b4dea349598680443377414e6db3344541e93
18,dqn,3003,left_heavy,left_heavy,27.608695652173914,147.0,19.051666666666666,41,151,-121.91375433673892,207,56,10,14,0,0,300.0,-17.860937747638673,-11.976774973415736,-81.07604161568452,-10.999999999999993,55,2,217,10,cfc06d724c0e15a1dc8f8e55a6bf9862f026619493244c328ba61184d50f8b70
19,dqn,3004,left_heavy,left_heavy,25.586111111111112,119.5,15.355,34,130,-98.77583779927295,180,50,4,7,0,0,300.0,-14.395312786684372,-8.089900003065845,-65.49062500952277,-10.799999999999994,54,4,184,4,9c737ff351f8aa9fbaf3bf7d1ba4db0aa502f11584f8afd6626ebd8bcbb0015f
20,dqn,3005,left_heavy,left_heavy,23.14851485148515,188.5,15.595,36,144,-121.45411684048375,202,58,25,32,0,0,300.0,-14.62031267117709,-8.951512481817192,-87.08229168748949,-10.799999999999994,54,4,227,25,48c2dfa194a8178ad606ea80635deb78ac5a229782e451fb70216b8437a4ef28
21,dqn,3001,heavy,heavy,45.484415584415586,158.5,58.37166666666667,119,176,-195.90926676799035,385,209,0,2,0,0,300.0,-54.7234376326669,-43.29103745975437,-87.09479167556856,-10.799999999999994,54,1,385,0,35e39fa41f6d5cbb2c472eef4ab4d1d4e3589b60ecc40f28445a39ae5bcfbbba
22,dqn,3002,heavy,heavy,47.131991051454136,179.5,70.23,134,184,-224.38292102003035,447,263,0,4,0,0,300.0,-65.84062515629921,-50.624587514292784,-97.31770834943745,-10.599999999999994,53,2,447,0,964e389756d50f20c35f5d53a365f3ed70222f6b9e7099ea164edf1b9d6da672
23,dqn,3003,heavy,heavy,41.418655097613886,185.0,63.651666666666664,135,180,-204.47292134038275,461,281,0,9,0,0,300.0,-59.67343795322813,-45.90365003995166,-88.49583334720228,-10.399999999999995,52,2,461,0,2e8bf5d6334d32e2f211ff2138f6d1d2fa790c9393e24f25e7058c1aafa1fc64
24,dqn,3004,heavy,heavy,39.898305084745765,194.0,54.92666666666667,104,181,-201.73908785717708,413,232,0,4,0,0,300.0,-51.49375035054982,-42.104712489280715,-97.14062501734588,-10.999999999999993,55,2,413,0,52e5ead81c222369d1a2e31a0f82b5437989b5853e2a6fb64e52e0078a20ef3c
25,dqn,3005,heavy,heavy,39.14434180138568,194.5,56.498333333333335,111,183,-208.31963359791547,433,250,1,8,0,0,300.0,-52.967187829781324,-42.98161247308518,-101.37083329504821,-10.999999999999993,55,3,434,1,72a9e65b29d431b475b47482dad2f92405164fad6275910045c75afe96f08027
26,dqn,3001,low,low,15.862068965517242,57.0,1.5333333333333334,5,28,-30.57305004181398,29,1,0,0,0,0,300.0,-1.4375000313157216,-0.3699250002071494,-21.565625010291114,-7.200000000000004,36,7,29,0,01e3ea711ee1d89a908b4dbe2b0da8470449f67e8493276613e6c3242f72bcec
27,dqn,3002,low,low,15.47872340425532,64.5,2.4266666666666667,8,44,-40.32893752445016,47,3,0,0,0,0,300.0,-2.2750000543892384,-0.6289374991880322,-30.224999970872886,-7.200000000000004,36,7,47,0,24155043323033ebd3d0fcdd8bbbd6d9996f80594bb75d47bb6bf4ca55d51cd1
