episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,fixed,3001,balanced,balanced,11.329787234042554,63.5,5.325,16,138,-45.45938759454801,141,3,0,1,0,0,300.0,-4.992187608382665,-1.2640750009268231,-32.60312498523854,-6.600000000000003,33,0,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,fixed,3002,balanced,balanced,13.531446540880504,62.0,7.171666666666667,17,155,-53.4696460539519,159,4,0,2,0,0,300.0,-6.723437660373747,-1.9003750021380246,-38.2458333914401,-6.600000000000003,33,0,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,fixed,3003,balanced,balanced,10.670588235294117,45.0,6.046666666666667,17,164,-40.241075106099764,170,6,0,1,0,0,300.0,-5.668750117067248,-1.1317000003713475,-26.840624988661148,-6.600000000000003,33,0,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,fixed,3004,balanced,balanced,8.31203007518797,47.0,3.685,12,128,-30.25462091197698,133,5,0,1,0,0,300.0,-3.4546875887317583,-0.616600000001199,-19.583333323244005,-6.600000000000003,33,0,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,fixed,3005,balanced,balanced,9.078212290502794,36.5,5.416666666666667,15,177,-35.0763792817692,179,2,0,2,0,0,300.0,-5.078125115134753,-0.859712502614275,-22.53854166402016,-6.600000000000003,33,0,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,fixed,3001,ns_heavy,ns_heavy,18.164835164835164,106.0,11.02,27,165,-86.99482523413103,182,17,0,1,0,0,300.0,-10.33125020400621,-5.079199994152443,-64.98437503597233,-6.600000000000003,33,0,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,fixed,3002,ns_heavy,ns_heavy,21.300448430493272,121.5,15.833333333333334,36,196,-103.70411263123319,223,27,0,2,0,0,300.0,-14.843750110128894,-7.222862517169418,-75.03750000393484,-6.600000000000003,33,0,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,fixed,3003,ns_heavy,ns_heavy,20.486842105263158,122.0,15.57,36,206,-109.05136262133531,228,22,0,1,0,0,300.0,-14.596875137416646,-8.485737499727843,-79.3687499841908,-6.600000000000003,33,0,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,fixed,3004,ns_heavy,ns_heavy,15.555276381909549,101.0,10.318333333333333,31,180,-69.0566084588878,199,19,0,1,0,0,300.0,-9.673437632387504,-3.8279625051654884,-48.955208321334794,-6.600000000000003,33,0,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,fixed,3005,ns_heavy,ns_heavy,22.96875,111.5,18.375,55,200,-88.59920851715219,240,40,0,2,0,0,300.0,-17.226562659372576,-7.314312496234926,-57.458333361544646,-6.600000000000003,33,0,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
