model,training_seed,steps,episodes_path,cases,avg_waiting_time_fixed,avg_waiting_time_dqn,avg_waiting_time_delta,avg_queue_fixed,avg_queue_dqn,avg_queue_delta,throughput_fixed,throughput_dqn,throughput_delta,max_waiting_time_fixed,max_waiting_time_dqn,max_waiting_time_delta,phase_changes_fixed,phase_changes_dqn,phase_changes_delta,forced_changes_fixed,forced_changes_dqn,forced_changes_delta,not_inserted_fixed,not_inserted_dqn,not_inserted_delta,waiting_improvement_pct,queue_improvement_pct,throughput_change_pct,waiting_case_win_rate,all_primary_better
default_s11/models/dqn_100000.zip,11,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s11__models__dqn_100000\episodes.csv,30,19.540478536657037,23.261509965204613,3.721031428547576,16.32166666666667,19.012055555555552,2.690388888888883,173.26666666666668,141.7,-31.56666666666669,94.05,104.76666666666667,10.716666666666669,33.0,42.666666666666664,9.666666666666664,0.0,4.4,4.4,2.433333333333333,1.9666666666666666,-0.46666666666666656,-19.042683225833454,-16.48354266653048,-18.21854559445942,0.23333333333333334,False
default_s11/models/dqn_50000.zip,11,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s11__models__dqn_50000\episodes.csv,30,19.540478536657037,23.665708804796903,4.125230268139866,16.32166666666667,19.643444444444444,3.3217777777777755,173.26666666666668,129.5,-43.76666666666668,94.05,112.9,18.85000000000001,33.0,55.9,22.9,0.0,0.0,0.0,2.433333333333333,2.8666666666666667,0.43333333333333357,-21.111203906296993,-20.351952074611102,-25.259715275105815,0.16666666666666666,False
default_s22/models/dqn_50000.zip,22,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s22__models__dqn_50000\episodes.csv,30,19.540478536657037,24.6893391570236,5.148860620366563,16.32166666666667,20.639277777777775,4.3176111111111055,173.26666666666668,132.9,-40.366666666666674,94.05,129.03333333333333,34.983333333333334,33.0,57.3,24.299999999999997,0.0,0.8666666666666667,0.8666666666666667,2.433333333333333,2.7,0.26666666666666705,-26.34971610704179,-26.45324891929606,-23.29742208541747,0.23333333333333334,False
default_s33/models/dqn_50000.zip,33,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s33__models__dqn_50000\episodes.csv,30,19.540478536657037,24.699039741676547,5.1585612050195095,16.32166666666667,20.51883333333333,4.197166666666661,173.26666666666668,133.2,-40.06666666666669,94.05,112.16666666666667,18.116666666666674,33.0,58.53333333333333,25.53333333333333,0.0,0.2,0.2,2.433333333333333,2.7666666666666666,0.3333333333333335,-26.39935964384028,-25.715306851832903,-23.124278568680275,0.16666666666666666,False
default_s22/models/dqn_200000.zip,22,200000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s22__models__dqn_200000\episodes.csv,30,19.540478536657037,24.733184985392043,5.192706448735006,16.32166666666667,20.624333333333333,4.3026666666666635,173.26666666666668,135.73333333333332,-37.53333333333336,94.05,131.53333333333333,37.483333333333334,33.0,50.56666666666667,17.56666666666667,0.0,4.1,4.1,2.433333333333333,2.7333333333333334,0.30000000000000027,-26.574100726313986,-26.361686919228,-21.662177760677196,0.13333333333333333,False
default_s33/models/dqn_200000.zip,33,200000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s33__models__dqn_200000\episodes.csv,30,19.540478536657037,25.616741331509424,6.076262794852386,16.32166666666667,20.949055555555553,4.627388888888884,173.26666666666668,135.13333333333333,-38.133333333333354,94.05,120.58333333333333,26.53333333333333,33.0,50.6,17.6,0.0,3.7,3.7,2.433333333333333,1.8666666666666667,-0.5666666666666664,-31.095772723547164,-28.351203240409784,-22.008464794151607,0.06666666666666667,False
default_s22/models/dqn_100000.zip,22,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s22__models__dqn_100000\episodes.csv,30,19.540478536657037,29.11638052621639,9.575901989559352,16.32166666666667,23.247277777777775,6.925611111111106,173.26666666666668,128.6,-44.666666666666686,94.05,112.68333333333334,18.63333333333334,33.0,49.53333333333333,16.53333333333333,0.0,2.1,2.1,2.433333333333333,3.3,0.8666666666666667,-49.00546305248053,-42.43200925831372,-25.77914582531744,0.03333333333333333,False
default_s11/models/dqn_200000.zip,11,200000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s11__models__dqn_200000\episodes.csv,30,19.540478536657037,30.27642621214378,10.735947675486742,16.32166666666667,23.18805555555555,6.866388888888881,173.26666666666668,124.23333333333333,-49.033333333333346,94.05,107.7,13.650000000000006,33.0,50.233333333333334,17.233333333333334,0.0,4.2,4.2,2.433333333333333,1.7,-0.7333333333333332,-54.942091900905076,-42.0691650498655,-28.29934590227011,0.03333333333333333,False
default_s33/models/dqn_100000.zip,33,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s33__models__dqn_100000\episodes.csv,30,19.540478536657037,30.478162647278666,10.937684110621628,16.32166666666667,25.065444444444445,8.743777777777776,173.26666666666668,123.4,-49.866666666666674,94.05,117.03333333333333,22.983333333333334,33.0,49.1,16.1,0.0,2.533333333333333,2.533333333333333,2.433333333333333,1.8666666666666667,-0.5666666666666664,-55.974494637390976,-53.57159876101976,-28.780300115429014,0.03333333333333333,False
default_s22/models/dqn_20000.zip,22,20000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_default\default_s22__models__dqn_20000\episodes.csv,30,19.540478536657037,32.35970035451122,12.819221817854181,16.32166666666667,25.397444444444446,9.075777777777777,173.26666666666668,126.7,-46.56666666666668,94.05,182.73333333333332,88.68333333333332,33.0,59.733333333333334,26.733333333333334,0.0,6.333333333333333,6.333333333333333,2.433333333333333,3.8666666666666667,1.4333333333333336,-65.60341802175373,-55.605704755097165,-26.875721431319743,0.06666666666666667,False
