episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,20.319148936170212,86.0,9.55,24,127,-91.42412514311289,141,14,0,1,0,0,300.0,-8.953125187428668,-3.09287499719794,-49.378124958486296,-30.0,30,10,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,20.757861635220127,97.5,11.001666666666667,26,143,-101.68901269656055,159,16,0,2,0,0,300.0,-10.314062697114423,-3.618699999236561,-50.75625000020955,-37.0,37,6,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,19.444117647058825,73.5,11.02,25,152,-97.17652929371616,170,18,0,1,0,0,300.0,-10.331250178278424,-3.6286124936996194,-45.21666662173811,-38.0,38,7,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,15.323308270676693,68.5,6.793333333333333,16,121,-71.2226751360177,133,12,0,1,0,0,300.0,-6.3687501441454515,-1.8633000028385143,-36.99062498903368,-26.0,26,11,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,20.946927374301676,88.0,12.498333333333333,28,154,-109.63355857299388,179,25,0,2,0,0,300.0,-11.717187705566175,-4.139287503461674,-50.777083363966085,-43.0,43,6,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,15.67032967032967,103.5,9.506666666666666,22,175,-92.32890012134521,182,7,0,1,0,0,300.0,-8.912500172154978,-2.6945249972231986,-50.72187495196704,-30.0,30,9,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,21.847533632286996,89.0,16.24,37,176,-119.90449596938197,223,47,0,2,0,0,300.0,-15.225000265869312,-5.411787496381296,-54.26770820713136,-45.0,45,5,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,14.587719298245615,64.0,11.086666666666666,32,203,-86.30238765780156,228,25,0,1,0,0,300.0,-10.393750222283415,-2.786762503667704,-36.12187493185047,-37.0,37,5,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,13.228643216080402,56.5,8.775,25,180,-76.9240959109804,199,19,0,1,0,0,300.0,-8.226562626310624,-2.0110749963270784,-34.68645828834269,-32.0,32,8,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,14.510416666666666,66.5,11.608333333333333,39,205,-86.77709185674975,240,35,0,2,0,0,300.0,-10.882812710711733,-2.7557375047421373,-34.13854164129589,-39.0,39,7,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,15.688202247191011,96.5,9.308333333333334,20,161,-105.1877876431587,178,17,0,3,0,0,300.0,-8.72656270279549,-3.042474998268154,-55.41874994209502,-38.0,38,9,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,25.868778280542987,124.0,19.05666666666667,42,165,-146.42218355843443,221,56,0,1,0,0,300.0,-17.865625276812352,-8.313850011533214,-74.24270827008877,-46.0,46,6,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
13,dqn,3003,ew_heavy,ew_heavy,24.615234375,115.5,21.005,48,192,-137.71820848423016,256,64,0,1,0,0,300.0,-19.692187673295848,-8.69268749129915,-65.33333331963513,-44.0,44,7,256,0,20ceed00528fae57b3c9c307b887275db427260184a3e63d03fc5e1183a98905
14,dqn,3004,ew_heavy,ew_heavy,14.962311557788945,106.5,9.925,27,186,-107.1649376343404,199,13,0,1,0,0,300.0,-9.304687701980583,-3.4227499951077323,-57.43749993725214,-37.0,37,6,199,0,a396fb4b2065601dd9cac5209374ffea3c5ff0123851af0165f49a627636d935
15,dqn,3005,ew_heavy,ew_heavy,25.645089285714285,153.0,19.148333333333333,42,175,-158.60430031519,224,49,0,2,0,0,300.0,-17.951562814530917,-9.493362501194504,-84.15937499946449,-47.0,47,5,224,0,70ae49afa832c057379e76616399200cddfcb89528bd7c4dbdb1c95c5eef0abf
16,dqn,3001,left_heavy,left_heavy,25.953551912568305,93.0,15.831666666666667,31,143,-130.61419598119173,183,40,0,3,0,0,300.0,-14.842187726404518,-6.860549995688052,-64.91145825909916,-44.0,44,6,183,0,1cf82ffb966a586f06df6b17fe1c14943cf19bbc00e4d0be1b179bcf66cce8e6
17,dqn,3002,left_heavy,left_heavy,35.87740384615385,110.0,24.881666666666668,54,142,-161.28209185207882,208,66,8,12,0,0,300.0,-23.326562809292227,-15.407612486427384,-74.54791655635927,-48.0,48,4,216,8,84ea70c2a31d25ed012050691e3b4dea349598680443377414e6db3344541e93
18,dqn,3003,left_heavy,left_heavy,29.444700460829495,110.5,21.301666666666666,45,153,-143.11961274497946,217,64,0,6,0,0,300.0,-19.970312735415064,-10.38367499594387,-67.76562501362059,-45.0,45,5,217,0,cfc06d724c0e15a1dc8f8e55a6bf9862f026619493244c328ba61184d50f8b70
19,dqn,3004,left_heavy,left_heavy,21.53804347826087,82.5,13.21,32,147,-101.99055015293499,184,37,0,1,0,0,300.0,-12.384375098510645,-4.743674991629816,-47.862500062794425,-37.0,37,8,184,0,9c737ff351f8aa9fbaf3bf7d1ba4db0aa502f11584f8afd6626ebd8bcbb0015f
20,dqn,3005,left_heavy,left_heavy,20.495433789954337,114.5,14.963333333333333,35,160,-118.30315434531512,219,59,8,17,0,0,300.0,-14.028125206939876,-5.314612506020055,-55.96041663235519,-43.0,43,7,227,8,48c2dfa194a8178ad606ea80635deb78ac5a229782e451fb70216b8437a4ef28
21,dqn,3001,heavy,heavy,43.37792207792208,153.0,55.66833333333334,105,204,-226.88514198133666,385,181,0,2,0,0,300.0,-52.189062773948535,-40.23878755715117,-89.45729165023658,-45.0,45,3,385,0,35e39fa41f6d5cbb2c472eef4ab4d1d4e3589b60ecc40f28445a39ae5bcfbbba
22,dqn,3002,heavy,heavy,44.206935123042506,159.0,65.86833333333334,114,205,-245.52262103248154,447,242,0,3,0,0,300.0,-61.751562664983794,-48.05960000241308,-88.71145836508367,-47.0,47,3,447,0,964e389756d50f20c35f5d53a365f3ed70222f6b9e7099ea164edf1b9d6da672
23,dqn,3003,heavy,heavy,39.168112798264644,153.5,60.18833333333333,103,223,-232.8684001656787,461,238,0,4,0,0,300.0,-56.42656269064173,-44.663712480787105,-84.77812499424908,-47.0,47,3,461,0,2e8bf5d6334d32e2f211ff2138f6d1d2fa790c9393e24f25e7058c1aafa1fc64
