episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,32.90070921985816,108.0,15.463333333333333,37,112,-123.38532525138365,141,29,0,1,0,0,300.0,-14.496875243959948,-7.550950011125678,-59.33749999629799,-42.0,42,5,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,42.5062893081761,133.0,22.528333333333332,57,109,-149.27057526485154,159,50,0,2,0,0,300.0,-21.120312738465145,-14.353387510437463,-72.7968750159489,-41.0,41,4,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,38.008823529411764,124.0,21.538333333333334,51,119,-151.0490501178494,170,51,0,1,0,0,300.0,-20.19218767946586,-12.022487464716688,-74.83437497366685,-44.0,44,3,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,30.25563909774436,128.5,13.413333333333334,35,104,-134.74728335839535,133,29,0,1,0,0,300.0,-12.575000122422352,-6.157699992799464,-75.01458324317355,-41.0,41,8,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,38.89385474860335,118.0,23.206666666666667,58,121,-146.05978364034388,179,58,0,2,0,0,300.0,-21.756250284728594,-12.767075004431536,-66.53645835118368,-45.0,45,3,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,39.89010989010989,93.5,24.2,71,117,-141.79442501301313,182,65,0,1,0,0,300.0,-22.68750012165401,-15.272549977529707,-62.83437491382938,-41.0,41,7,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,37.912556053811656,103.0,28.18166666666667,70,143,-156.73505853700556,223,80,0,2,0,0,300.0,-26.420312742353417,-17.750162512083623,-67.56458328256849,-45.0,45,4,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,35.32236842105263,81.0,26.845,78,147,-139.71121271195517,228,81,0,1,0,0,300.0,-25.167187763028778,-16.194025005527504,-55.34999994339887,-43.0,43,4,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,42.39698492462311,125.0,28.123333333333335,79,120,-153.50442935057285,199,79,0,1,0,0,300.0,-26.365625220583752,-17.359637499869134,-69.77916663012002,-40.0,40,6,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,44.59375,113.5,35.675,99,135,-161.31250020346712,240,105,0,2,0,0,300.0,-33.44531276728958,-21.979687496876437,-66.88749993930105,-39.0,39,7,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,20.839887640449437,66.0,12.365,35,140,-101.88720846561992,178,38,0,3,0,0,300.0,-11.592187617672607,-3.7585624966472095,-38.5364583513001,-48.0,48,3,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,26.975113122171944,115.5,19.871666666666666,44,168,-133.026125260075,221,53,0,1,0,0,300.0,-18.629687738022767,-9.08706250382165,-58.30937501823064,-47.0,47,2,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
13,dqn,3003,ew_heavy,ew_heavy,27.12109375,119.0,23.143333333333334,45,183,-144.123362563354,256,73,0,1,0,0,300.0,-21.696875152061693,-10.720237512294261,-64.70624989899807,-47.0,47,2,256,0,20ceed00528fae57b3c9c307b887275db427260184a3e63d03fc5e1183a98905
14,dqn,3004,ew_heavy,ew_heavy,23.565326633165828,145.0,15.631666666666666,35,156,-141.40930022932588,199,43,0,1,0,0,300.0,-14.65468772710301,-6.607737493515016,-72.14687500870787,-48.0,48,2,199,0,a396fb4b2065601dd9cac5209374ffea3c5ff0123851af0165f49a627636d935
15,dqn,3005,ew_heavy,ew_heavy,25.3125,122.0,18.9,44,171,-140.29485436476895,224,53,0,2,0,0,300.0,-17.718750236206688,-8.431312495089513,-68.14479163347278,-46.0,46,2,224,0,70ae49afa832c057379e76616399200cddfcb89528bd7c4dbdb1c95c5eef0abf
16,dqn,3001,left_heavy,left_heavy,36.24438202247191,137.5,21.506666666666668,40,124,-150.7667211832435,178,54,5,10,0,0,300.0,-20.16250033082906,-14.274012487307484,-72.33020836510696,-44.0,44,1,183,5,1cf82ffb966a586f06df6b17fe1c14943cf19bbc00e4d0be1b179bcf66cce8e6
17,dqn,3002,left_heavy,left_heavy,42.039408866995075,143.0,28.446666666666665,62,135,-174.87437520373413,203,68,13,16,0,0,300.0,-26.668750224867836,-21.17750000324377,-81.02812497562263,-46.0,46,2,216,13,84ea70c2a31d25ed012050691e3b4dea349598680443377414e6db3344541e93
18,dqn,3003,left_heavy,left_heavy,43.99285714285714,128.5,30.798333333333332,68,128,-183.57311657269452,210,82,7,11,0,0,300.0,-28.873437541536987,-23.97051250620716,-85.72916652495041,-45.0,45,3,217,7,cfc06d724c0e15a1dc8f8e55a6bf9862f026619493244c328ba61184d50f8b70
19,dqn,3004,left_heavy,left_heavy,44.74309392265194,144.0,26.995,59,110,-169.88518351112353,181,71,3,6,0,0,300.0,-25.307812719605863,-20.250287492697673,-80.32708329882007,-44.0,44,1,184,3,9c737ff351f8aa9fbaf3bf7d1ba4db0aa502f11584f8afd6626ebd8bcbb0015f
20,dqn,3005,left_heavy,left_heavy,47.69230769230769,139.5,31.0,68,114,-188.30387100376385,195,81,32,35,0,0,300.0,-29.062500026309863,-25.32053750191553,-88.92083347553853,-45.0,45,2,227,32,48c2dfa194a8178ad606ea80635deb78ac5a229782e451fb70216b8437a4ef28
21,dqn,3001,heavy,heavy,40.749350649350646,137.0,52.295,101,194,-214.5640919639865,385,191,0,2,0,0,300.0,-49.02656284160912,-37.6739874702776,-79.86354165209923,-48.0,48,2,385,0,35e39fa41f6d5cbb2c472eef4ab4d1d4e3589b60ecc40f28445a39ae5bcfbbba
22,dqn,3002,heavy,heavy,41.14317673378076,152.5,61.31166666666667,119,203,-243.92677951606677,447,244,0,7,0,0,300.0,-57.47968786419369,-48.839799988224534,-89.60729166364763,-48.0,48,2,447,0,964e389756d50f20c35f5d53a365f3ed70222f6b9e7099ea164edf1b9d6da672
