episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,24.26950354609929,164.5,11.406666666666666,30,120,-69.11367132250886,141,21,0,1,0,0,300.0,-42.7750004902482,-2.439712504895579,-17.098958327365104,-6.800000000000003,34,10,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,27.41194968553459,168.5,14.528333333333334,33,139,-82.21400085970164,159,20,0,2,0,0,300.0,-54.400000852998346,-3.550666667715268,-18.263333338988012,-6.000000000000003,30,10,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,21.823529411764707,164.0,12.366666666666667,28,145,-73.54302963208241,170,25,0,1,0,0,300.0,-46.37500046938658,-2.8367791615550244,-17.73125000114087,-6.600000000000003,33,9,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,18.605263157894736,120.0,8.248333333333333,22,115,-50.93785074864502,133,18,0,1,0,0,300.0,-30.9312507417053,-1.250350000117759,-12.756250006821933,-6.000000000000003,30,12,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,20.37150837988827,128.5,12.155,28,161,-70.7446258890377,179,18,0,2,0,0,300.0,-45.58125088689849,-2.3360833340026153,-16.227291668136598,-6.600000000000003,33,10,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,22.35989010989011,111.0,13.565,33,158,-72.82677566071946,182,24,0,1,0,0,300.0,-47.71875067707151,-2.8346916661175765,-15.673333317530338,-6.600000000000003,33,10,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,24.316143497757846,153.5,18.075,47,183,-94.95969250686105,223,40,0,2,0,0,300.0,-65.68125083250925,-3.954066666561267,-17.72437500779052,-7.600000000000004,38,7,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,22.42105263157895,124.5,17.041666666666668,40,193,-89.0983925340428,228,35,0,1,0,0,300.0,-61.43750084890053,-3.7315166694541406,-17.329375015688136,-6.600000000000003,33,10,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,18.015075376884422,106.5,11.951666666666666,28,170,-68.9408842278084,199,29,0,1,0,0,300.0,-44.4312508800067,-2.2917166738909147,-15.217916673910802,-7.0000000000000036,35,9,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,19.19375,119.5,15.355,37,208,-80.16332910067798,240,32,0,2,0,0,300.0,-54.537499939091504,-3.1249958337743013,-16.100833327812133,-6.400000000000003,32,11,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,24.370786516853933,179.5,14.46,33,145,-78.35225467789357,178,33,0,3,0,0,300.0,-50.98125052219257,-3.575587494605133,-17.395416661095805,-6.400000000000003,32,9,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,33.87782805429864,150.5,24.956666666666667,57,168,-114.00152120243945,221,53,0,1,0,0,300.0,-82.95000036479905,-6.497354172223276,-17.954166665417155,-6.600000000000003,33,9,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
13,dqn,3003,ew_heavy,ew_heavy,23.73828125,123.5,20.256666666666668,44,199,-102.39855450776159,256,57,0,1,0,0,300.0,-72.25625035492703,-4.26855417499537,-17.47374997783918,-8.400000000000002,42,7,256,0,20ceed00528fae57b3c9c307b887275db427260184a3e63d03fc5e1183a98905
14,dqn,3004,ew_heavy,ew_heavy,25.002512562814072,151.5,16.585,34,178,-88.68843794596395,199,21,0,1,0,0,300.0,-59.46250044135377,-4.755520837367661,-18.470416667242546,-6.000000000000003,30,10,199,0,a396fb4b2065601dd9cac5209374ffea3c5ff0123851af0165f49a627636d935
15,dqn,3005,ew_heavy,ew_heavy,22.741071428571427,152.0,16.98,34,197,-93.24890077098901,224,27,0,2,0,0,300.0,-63.675000755582005,-3.8886916689683857,-18.88520834643862,-6.800000000000003,34,8,224,0,70ae49afa832c057379e76616399200cddfcb89528bd7c4dbdb1c95c5eef0abf
16,dqn,3001,left_heavy,left_heavy,40.195402298850574,166.5,23.315,43,120,-108.01847613812062,174,54,9,14,0,0,300.0,-74.46875112596899,-7.1888916685442386,-19.960833343607398,-6.400000000000003,32,10,183,9,1cf82ffb966a586f06df6b17fe1c14943cf19bbc00e4d0be1b179bcf66cce8e6
17,dqn,3002,left_heavy,left_heavy,55.15608465608466,216.0,34.751666666666665,64,122,-137.08961779229918,189,67,27,29,0,0,300.0,-96.66875115036964,-12.96232496950906,-20.85854167242073,-6.600000000000003,33,11,216,27,84ea70c2a31d25ed012050691e3b4dea349598680443377414e6db3344541e93
