episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,14.925531914893616,76.0,7.015,19,137,-43.475921321821836,141,4,0,1,0,0,300.0,-26.306250497698784,-0.6444624998126524,-9.32520832431037,-7.200000000000004,36,7,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,25.30503144654088,90.0,13.411666666666667,30,135,-72.64360505927691,159,24,0,2,0,0,300.0,-49.88125090114772,-1.8031874992266235,-11.159166658902555,-9.799999999999997,49,3,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,16.24411764705882,79.5,9.205,23,152,-53.194942431382486,170,18,0,1,0,0,300.0,-34.51875077839941,-0.8353583321186312,-8.24083332086448,-9.599999999999998,48,4,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,12.864661654135338,54.0,5.703333333333333,14,123,-33.994438019001244,133,10,0,1,0,0,300.0,-21.387500524520874,-0.37735416614668754,-5.629583328333684,-6.600000000000003,33,6,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,16.279329608938546,64.0,9.713333333333333,26,157,-53.736384096474644,179,22,0,2,0,0,300.0,-36.38125076657161,-0.8980499987381333,-7.657083331164903,-8.8,44,4,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,18.024725274725274,86.5,10.936666666666667,28,161,-62.89458416890341,182,21,0,1,0,0,300.0,-41.01250084117055,-1.284999998765852,-10.597083328966992,-9.999999999999996,50,7,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,27.609865470852018,110.5,20.523333333333333,47,166,-101.4953092347896,223,57,0,2,0,0,300.0,-74.38750090217218,-3.028016663512243,-13.879791669105172,-10.199999999999996,51,4,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,23.890350877192983,113.0,18.156666666666666,46,172,-92.94290111103766,228,56,0,1,0,0,300.0,-67.66250110650435,-2.545608335609723,-12.134791668923583,-10.599999999999994,53,7,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,20.030150753768844,124.5,13.286666666666667,36,152,-74.36569668953526,199,47,0,1,0,0,300.0,-49.69375086808577,-1.7046541707844887,-13.167291650664998,-9.799999999999997,49,6,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,17.797916666666666,99.0,14.238333333333333,40,167,-74.55682161005899,240,73,0,2,0,0,300.0,-52.8187507847324,-1.7353624978124582,-10.002708327514123,-9.999999999999996,50,8,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
