episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,26.4468085106383,194.5,12.43,30,119,-169.27797530264513,141,22,0,1,0,0,300.0,-11.653125265962444,-9.68110000667075,-88.94375003001187,-59.0,59,8,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,31.349056603773583,188.5,16.615,36,127,-176.1676419621835,159,32,0,2,0,0,300.0,-15.576562711619772,-13.08691249415642,-87.50416675640736,-60.0,60,6,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,26.102941176470587,193.0,14.791666666666666,31,143,-173.25482517737905,170,27,0,1,0,0,300.0,-13.867187705123797,-10.956387520078716,-88.43124995217659,-60.0,60,7,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,19.018796992481203,110.5,8.431666666666667,23,112,-143.59910431079993,133,21,0,1,0,0,300.0,-7.9046877135988325,-3.9902500035888795,-71.70416659361217,-60.0,60,6,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,22.96927374301676,183.5,13.705,29,149,-166.372112703447,179,30,0,2,0,0,300.0,-12.848437724052928,-8.673675005145192,-84.84999997424893,-60.0,60,6,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,33.107142857142854,204.5,20.085,47,134,-193.1364294915446,182,48,0,1,0,0,300.0,-18.82968777627684,-17.53382500840671,-97.772916706861,-59.0,59,7,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,31.161434977578477,164.5,23.163333333333334,54,147,-198.1551335066033,223,76,0,2,0,0,300.0,-21.715625199722126,-18.468675005104153,-97.97083330177702,-60.0,60,5,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,34.171052631578945,206.0,25.97,54,164,-205.48706297182443,228,64,0,1,0,0,300.0,-24.346875312156044,-21.893312527583475,-102.24687513208482,-57.0,57,6,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,23.324120603015075,123.5,15.471666666666666,52,139,-164.9024627415295,199,60,0,1,0,0,300.0,-14.504687718581408,-9.082149986230796,-81.31562503671739,-60.0,60,5,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,22.58125,129.0,18.065,53,143,-170.61981694741846,240,97,0,2,0,0,300.0,-16.935937686124817,-11.207837488308723,-83.4760417729849,-59.0,59,5,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,41.81460674157304,187.0,24.81,63,111,-201.6615958768751,178,67,0,3,0,0,300.0,-23.259375070570968,-22.67826251274601,-95.7239582935581,-60.0,60,8,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,41.69457013574661,202.5,30.715,65,129,-211.640116631001,221,92,0,1,0,0,300.0,-28.795312526868656,-27.893762428726784,-94.95104167540558,-60.0,60,8,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
13,dqn,3003,ew_heavy,ew_heavy,34.79296875,209.5,29.69,63,142,-213.37734995370482,256,114,0,1,0,0,300.0,-27.83437488123309,-27.346100022506292,-98.19687504996546,-60.0,60,8,256,0,20ceed00528fae57b3c9c307b887275db427260184a3e63d03fc5e1183a98905
14,dqn,3004,ew_heavy,ew_heavy,34.914572864321606,208.5,23.16,55,124,-196.13194581281937,199,75,0,1,0,0,300.0,-21.712500043329783,-20.557987466897607,-93.86145830259193,-60.0,60,8,199,0,a396fb4b2065601dd9cac5209374ffea3c5ff0123851af0165f49a627636d935
15,dqn,3005,ew_heavy,ew_heavy,36.848214285714285,219.5,27.513333333333332,57,140,-209.6859918724608,224,84,0,2,0,0,300.0,-25.793750248267315,-25.90994996427107,-97.98229165992234,-60.0,60,8,224,0,70ae49afa832c057379e76616399200cddfcb89528bd7c4dbdb1c95c5eef0abf
16,dqn,3001,left_heavy,left_heavy,40.64244186046512,207.5,23.303333333333335,50,121,-201.86443768492117,172,51,11,13,0,0,300.0,-21.846875223331153,-22.83006248894746,-98.1874999726424,-59.0,59,5,183,11,1cf82ffb966a586f06df6b17fe1c14943cf19bbc00e4d0be1b179bcf66cce8e6
17,dqn,3002,left_heavy,left_heavy,51.16842105263158,208.5,32.41166666666667,64,128,-223.82138340919278,190,62,26,27,0,0,300.0,-30.38593762659002,-35.23336244373565,-98.20208333886694,-60.0,60,4,216,26,84ea70c2a31d25ed012050691e3b4dea349598680443377414e6db3344541e93
18,dqn,3003,left_heavy,left_heavy,43.52284263959391,200.0,28.583333333333332,55,136,-216.305816785762,197,61,20,22,0,0,300.0,-26.796875132247806,-29.851649992846788,-99.6572916606674,-60.0,60,5,217,20,cfc06d724c0e15a1dc8f8e55a6bf9862f026619493244c328ba61184d50f8b70
19,dqn,3004,left_heavy,left_heavy,34.85755813953488,173.5,19.988333333333333,41,121,-194.00000448266073,172,51,12,13,0,0,300.0,-18.73906268249266,-17.728649984784717,-97.53229181538336,-60.0,60,5,184,12,9c737ff351f8aa9fbaf3bf7d1ba4db0aa502f11584f8afd6626ebd8bcbb0015f
20,dqn,3005,left_heavy,left_heavy,34.42631578947368,200.0,21.81,39,147,-202.70356262386275,190,43,37,38,0,0,300.0,-20.446875151479617,-25.41293747738891,-97.84374999499414,-59.0,59,5,227,37,48c2dfa194a8178ad606ea80635deb78ac5a229782e451fb70216b8437a4ef28
21,dqn,3001,heavy,heavy,47.861979166666664,221.0,61.265,120,174,-266.22625448254655,384,210,1,3,0,0,300.0,-57.43593777460046,-46.47990003684671,-102.31041667109821,-60.0,60,6,385,1,35e39fa41f6d5cbb2c472eef4ab4d1d4e3589b60ecc40f28445a39ae5bcfbbba
