episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,21.109929078014183,76.0,9.921666666666667,28,131,-92.36347937579335,141,10,0,1,0,0,300.0,-9.301562723470852,-3.1671249955667005,-39.89479165675584,-40.0,40,6,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,25.849056603773583,76.0,13.7,28,133,-113.30755010151331,159,26,0,2,0,0,300.0,-12.843750209431164,-5.395049998974717,-48.06874989310745,-47.0,47,3,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,26.20294117647059,73.5,14.848333333333333,33,140,-120.46145856118025,170,30,0,1,0,0,300.0,-13.920312734670006,-6.0578125027772325,-51.48333332373295,-49.0,49,3,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,18.7406015037594,73.5,8.308333333333334,18,120,-93.95096693097804,133,13,0,1,0,0,300.0,-7.789062726544216,-2.635862494033792,-44.52604171040002,-39.0,39,5,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,25.829608938547487,64.5,15.411666666666667,33,151,-114.70475854333267,179,28,0,2,0,0,300.0,-14.448437756975181,-6.013612505092895,-48.24270828126464,-46.0,46,4,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,24.79945054945055,53.5,15.046666666666667,39,151,-95.183958494239,182,31,0,1,0,0,300.0,-14.106250168988481,-5.6318750048703805,-37.44583332038019,-38.0,38,6,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,29.114349775784753,91.5,21.641666666666666,48,163,-136.02306280803106,223,60,0,2,0,0,300.0,-20.28906283644028,-9.790249986282294,-57.943749985308386,-48.0,48,2,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,27.394736842105264,81.5,20.82,51,171,-136.67416256218493,228,57,0,1,0,0,300.0,-19.51875018212013,-9.452287504279955,-60.70312487578485,-47.0,47,2,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,24.673366834170853,51.5,16.366666666666667,52,152,-101.98635018894055,199,47,0,1,0,0,300.0,-15.343750248313881,-7.0488499847480846,-40.59374995587859,-39.0,39,4,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,22.20625,54.0,17.765,42,146,-111.86231685715109,240,94,0,2,0,0,300.0,-16.65468772908207,-8.219087496458819,-41.98854163161013,-45.0,45,3,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
