episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,10.76595744680851,68.0,5.06,16,139,-31.90406287920634,141,2,0,1,0,0,300.0,-18.975000380538404,-0.35593749974359523,-5.973124998924323,-6.600000000000003,33,7,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,18.39937106918239,94.0,9.751666666666667,21,149,-56.08834250738949,159,10,0,2,0,0,300.0,-36.568750858306885,-1.146675000801769,-10.572916648280808,-7.800000000000004,39,3,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,9.973529411764705,74.0,5.651666666666666,13,162,-35.210775422582095,170,8,0,1,0,0,300.0,-21.193750428035855,-0.4186916671438666,-6.598333327402365,-7.0000000000000036,35,4,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,11.413533834586467,79.0,5.06,15,123,-33.530046271697934,133,10,0,1,0,0,300.0,-18.975000442937016,-0.3815041672925874,-7.573541661468336,-6.600000000000003,33,7,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,11.371508379888269,92.0,6.785,18,170,-42.48399636336763,179,9,0,2,0,0,300.0,-25.443750558886677,-0.6229541662956759,-9.217291638185262,-7.200000000000004,36,4,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,11.384615384615385,60.5,6.906666666666666,20,172,-40.73820881459833,182,10,0,1,0,0,300.0,-25.9000004818663,-0.5696666672403803,-6.868541665491652,-7.400000000000004,37,5,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,14.042600896860986,77.5,10.438333333333333,23,206,-58.02380069286665,223,17,0,2,0,0,300.0,-39.13750070286915,-1.0765083332975336,-10.009791656699965,-7.800000000000004,39,5,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,14.491228070175438,98.5,11.013333333333334,24,208,-61.5711216180898,228,20,0,1,0,0,300.0,-41.300000791903585,-1.1823708337811694,-10.488749992405065,-8.600000000000001,43,5,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,10.464824120603016,73.5,6.941666666666666,18,188,-42.69843385828642,199,11,0,1,0,0,300.0,-26.031250522937626,-0.5611416668769376,-8.306041668471881,-7.800000000000004,39,7,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,13.154166666666667,98.5,10.523333333333333,26,219,-59.77844661858328,240,21,0,2,0,0,300.0,-39.46250076312572,-1.1588624993331906,-10.757083356124348,-8.400000000000002,42,5,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,11.882022471910112,155.0,7.05,18,167,-47.77403811965851,178,11,0,3,0,0,300.0,-26.437500617466867,-0.8992458320433797,-13.637291670148242,-6.800000000000003,34,6,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,20.429864253393664,144.0,15.05,40,186,-81.21055085268668,221,35,0,1,0,0,300.0,-55.756250854581594,-2.0982583349417827,-14.75604166316333,-8.600000000000001,43,5,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
