episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
1,dqn,3001,balanced,balanced,12.159574468085106,67.0,5.715,20,132,-34.64174216436076,141,9,0,1,0,0,300.0,-21.431250504683703,-0.5000749994753281,-6.9104166602017365,-5.8000000000000025,29,9,141,0,5bb6cf93951ad7b72d88a2c3146cf717c9c6a117453c52abec9f61b8c4073810
2,dqn,3002,balanced,balanced,16.71069182389937,116.5,8.856666666666667,20,152,-53.6285506442371,159,7,0,2,0,0,300.0,-33.21250065183267,-1.0670916653885798,-12.148958327015853,-7.200000000000004,36,6,159,0,b3de92838a5d1523f850533601db288cbac40922581549a96d9eb81f5da9345e
3,dqn,3003,balanced,balanced,12.708823529411765,66.5,7.203333333333333,17,160,-42.05348387570485,170,10,0,1,0,0,300.0,-27.01250055199489,-0.6507750000142554,-7.7902083236956985,-6.600000000000003,33,6,170,0,112dca2493666600b8b14af54263e9ef2ca2ec8ea08520e027fe881fb898e397
4,dqn,3004,balanced,balanced,12.778195488721805,69.5,5.665,13,125,-35.808379804973825,133,8,0,1,0,0,300.0,-21.243750642519444,-0.49150416688280507,-7.873124995571568,-6.200000000000003,31,7,133,0,f5b5393bad2cc8430b169024f822f9c0fa31449c715d83944c6e1b823b1eb34c
5,dqn,3005,balanced,balanced,13.424581005586592,105.5,8.01,16,165,-49.93012576958063,179,14,0,2,0,0,300.0,-30.037500793114305,-0.9520000002848977,-11.740624976181424,-7.200000000000004,36,5,179,0,27818293226b9c78846f8fa2792eace928e53efbcf3dab443729cddb8557855c
6,dqn,3001,ns_heavy,ns_heavy,13.054945054945055,118.5,7.92,21,175,-50.71138404209854,182,7,0,1,0,0,300.0,-29.700000709854066,-0.751174999822251,-12.460208332422194,-7.800000000000004,39,6,182,0,5b8a6318a29afd4953cb4b5c2aa3d0c63de3d46c27e9e640417952579022a804
7,dqn,3002,ns_heavy,ns_heavy,24.887892376681613,135.5,18.5,43,180,-92.37887176820738,223,43,0,2,0,0,300.0,-65.9062509262003,-2.508037506632536,-14.564583335374476,-9.399999999999999,47,7,223,0,1b5828db2507de163c1afa49716a4181495a6195b1859ef391f89aebd68140b8
8,dqn,3003,ns_heavy,ns_heavy,20.232456140350877,119.0,15.376666666666667,41,186,-80.96506346901661,228,42,0,1,0,0,300.0,-56.98750096466392,-1.9015208292497838,-12.476041675102914,-9.599999999999998,48,7,228,0,4149a838c5b8a599ddae1f2c808787eed92c7067c0b1c96c4b5fcc94ca412cee
9,dqn,3004,ns_heavy,ns_heavy,10.27638190954774,57.5,6.816666666666666,18,183,-40.828025716111746,199,16,0,1,0,0,300.0,-25.562500732019544,-0.47594166753042355,-6.589583316561773,-8.200000000000003,41,6,199,0,93b2177feab1b4a9649e5199e567fe01d0a7f9b3c2b64a362a190f16432ff00c
10,dqn,3005,ns_heavy,ns_heavy,13.035416666666666,69.5,10.428333333333333,51,203,-56.12450077466709,240,37,0,2,0,0,300.0,-38.450000770390034,-0.9336666676732419,-7.940833336603826,-8.8,44,6,240,0,b0d922bb711917bc3cb7e3cd57907c506fd0cbae4e60ea51243615c048ab565b
11,dqn,3001,ew_heavy,ew_heavy,11.67134831460674,130.5,6.925,18,166,-45.122063099838144,178,12,0,3,0,0,300.0,-25.968750613741577,-0.69872916707609,-11.454583319020458,-7.0000000000000036,35,9,178,0,093c0f4d4bbf0a6d410c4e024de90377eb0f94d1626f65b70c68c2f71797172a
12,dqn,3002,ew_heavy,ew_heavy,21.690045248868778,134.0,15.978333333333333,43,184,-83.34589265957257,221,37,0,1,0,0,300.0,-59.78750101244077,-2.2175583334385007,-13.140833313693292,-8.200000000000003,41,7,221,0,0e4846c06e7b4669112f5b8ccfeaabfcd7b709da0ade33e5e69beca69bee9efb
13,dqn,3003,ew_heavy,ew_heavy,20.830078125,118.5,17.775,45,196,-88.95418413070944,256,60,0,1,0,0,300.0,-65.86875079758465,-2.33751666537937,-11.347916667745453,-9.399999999999999,47,6,256,0,20ceed00528fae57b3c9c307b887275db427260184a3e63d03fc5e1183a98905
14,dqn,3004,ew_heavy,ew_heavy,14.992462311557789,143.5,9.945,25,183,-60.72841309849465,199,16,0,1,0,0,300.0,-37.29375058040023,-1.615704166193609,-13.818958351900788,-8.000000000000004,40,7,199,0,a396fb4b2065601dd9cac5209374ffea3c5ff0123851af0165f49a627636d935
15,dqn,3005,ew_heavy,ew_heavy,24.680803571428573,110.5,18.428333333333335,52,186,-94.68039689747015,224,38,0,2,0,0,300.0,-67.59375106589869,-2.8499791643662324,-15.0366666672053,-9.2,46,5,224,0,70ae49afa832c057379e76616399200cddfcb89528bd7c4dbdb1c95c5eef0abf
16,dqn,3001,left_heavy,left_heavy,19.795081967213115,111.5,12.075,23,156,-66.37287984946381,183,27,0,3,0,0,300.0,-44.93750068359077,-1.5162124985559788,-12.719166667317051,-7.200000000000004,36,7,183,0,1cf82ffb966a586f06df6b17fe1c14943cf19bbc00e4d0be1b179bcf66cce8e6
17,dqn,3002,left_heavy,left_heavy,23.833333333333332,111.5,17.163333333333334,40,168,-81.2473047604704,216,48,0,11,0,0,300.0,-58.48750060983002,-3.388762500198938,-12.571041650441476,-6.800000000000003,34,5,216,0,84ea70c2a31d25ed012050691e3b4dea349598680443377414e6db3344541e93
18,dqn,3003,left_heavy,left_heavy,26.46082949308756,104.5,19.14666666666667,40,176,-88.49379694545426,217,41,0,5,0,0,300.0,-64.02500112680718,-3.1502541654488594,-13.318541653198189,-8.000000000000004,40,5,217,0,cfc06d724c0e15a1dc8f8e55a6bf9862f026619493244c328ba61184d50f8b70
19,dqn,3004,left_heavy,left_heavy,19.918478260869566,118.5,12.216666666666667,29,154,-67.32841730508811,184,30,0,1,0,0,300.0,-44.83125064801425,-1.5713333333362243,-13.525833323737604,-7.400000000000004,37,5,184,0,9c737ff351f8aa9fbaf3bf7d1ba4db0aa502f11584f8afd6626ebd8bcbb0015f
20,dqn,3005,left_heavy,left_heavy,17.066964285714285,179.5,12.746666666666666,26,176,-73.63430065717118,224,48,3,14,0,0,300.0,-47.756250673905015,-1.7093000006585495,-17.568749982607525,-6.600000000000003,33,6,227,3,48c2dfa194a8178ad606ea80635deb78ac5a229782e451fb70216b8437a4ef28
