traffic_scenario,controller,avg_waiting_time_mean,avg_waiting_time_std,avg_waiting_time_count,max_waiting_time_mean,max_waiting_time_std,max_waiting_time_count,avg_queue_mean,avg_queue_std,avg_queue_count,max_queue_mean,max_queue_std,max_queue_count,throughput_mean,throughput_std,throughput_count,phase_changes_mean,phase_changes_std,phase_changes_count,episode_reward_mean,episode_reward_std,episode_reward_count,unfinished_mean,unfinished_std,unfinished_count,not_inserted_mean,not_inserted_std,not_inserted_count
balanced,dqn,7.484939759036145,,1,75.5,,1,4.141666666666667,,1,11.0,,1,160.0,,1,34.0,,1,-28.483512847904795,,1,6.0,,1,0.0,,1
balanced,fixed,12.430722891566266,,1,79.0,,1,6.878333333333333,,1,19.0,,1,162.0,,1,33.0,,1,-40.28808794929574,,1,4.0,,1,0.0,,1
ew_heavy,dqn,12.115023474178404,,1,75.5,,1,8.601666666666667,,1,22.0,,1,189.0,,1,31.0,,1,-47.10100454446729,,1,24.0,,1,0.0,,1
ew_heavy,fixed,24.253521126760564,,1,103.5,,1,17.22,,1,43.0,,1,170.0,,1,33.0,,1,-77.81032952987513,,1,43.0,,1,0.0,,1
heavy,dqn,28.725581395348836,,1,166.0,,1,41.17333333333333,,1,98.0,,1,337.0,,1,28.0,,1,-151.74132155777116,,1,93.0,,1,0.0,,1
heavy,fixed,29.394186046511628,,1,101.0,,1,42.13166666666667,,1,85.0,,1,313.0,,1,33.0,,1,-157.40826341863874,,1,117.0,,1,0.0,,1
left_heavy,dqn,16.612903225806452,,1,174.0,,1,12.016666666666667,,1,27.0,,1,181.0,,1,32.0,,1,-68.60774246736179,,1,36.0,,1,0.0,,1
left_heavy,fixed,29.17801047120419,,1,150.5,,1,18.576666666666668,,1,35.0,,1,156.0,,1,33.0,,1,-85.62816738135218,,1,35.0,,1,26.0,,1
low,dqn,9.82857142857143,,1,60.5,,1,1.1466666666666667,,1,4.0,,1,33.0,,1,26.0,,1,-12.967745932129763,,1,2.0,,1,0.0,,1
low,fixed,9.485714285714286,,1,28.5,,1,1.1066666666666667,,1,5.0,,1,34.0,,1,33.0,,1,-13.306679242920652,,1,1.0,,1,0.0,,1
ns_heavy,dqn,8.997630331753555,,1,82.5,,1,6.328333333333333,,1,13.0,,1,201.0,,1,34.0,,1,-40.597921267869246,,1,10.0,,1,0.0,,1
ns_heavy,fixed,24.66350710900474,,1,140.5,,1,17.348333333333333,,1,48.0,,1,171.0,,1,33.0,,1,-84.1595545637181,,1,40.0,,1,0.0,,1
