#{"t_start": 1789707054.2815192, "env_id": "None"}
r,l,t
-132.104712,300,7.101985
-139.5797,300,10.05282
-134.730529,300,12.651022
-143.523442,300,15.39426
-120.626721,300,17.885601
-165.635763,300,21.318696
-96.218975,300,23.967669
-195.501487,300,27.28432
-133.734384,300,30.102573
-109.592963,300,32.351599
-131.898379,300,35.20121
-114.082884,300,37.800132
-165.586667,300,40.58489
-114.56493,300,43.214817
-128.291196,300,45.992272
-97.687838,300,49.048752
-97.5344,300,51.651745
-164.126171,300,55.18073
-114.506687,300,57.948709
-149.983025,300,60.982994
