episode,controller,seed,traffic_scenario,realized_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,episode_reward,departed,unfinished,pending,max_pending,collisions,teleports,duration,reward_queue,reward_waiting,reward_max_waiting,reward_switching,phase_changes,forced_changes,scheduled,not_inserted,route_sha256
4,dqn,90,random,left_heavy,37.7609561752988,129.5,31.596666666666668,69,151,-132.1047124601326,251,100,3,8,0,0,300.0,-29.28281252947636,-21.25315001836352,-70.1687499122927,-11.399999999999991,57,0,254,3,a7357987d92ad33e724353d910c64a0ced030052beb1af5e01c2cdc43e4e0cb2
5,dqn,774,random,left_heavy,40.207661290322584,127.5,33.24,71,148,-139.57970034601811,248,100,23,25,0,0,300.0,-31.162500234670006,-23.979699978518326,-73.43750013282988,-10.999999999999993,55,0,271,23,4d932ddd0d7daa70f32d8a716fd9ad7d1cb03317207a0baa0f1685482b64ad0e
6,dqn,655,random,ns_heavy,34.86422413793103,161.5,26.961666666666666,58,158,-134.7305293429694,232,74,0,2,0,0,300.0,-25.2765626196051,-17.643549999366954,-81.61041672399733,-10.199999999999996,51,2,232,0,cd734f17b097eb958f9715f9f9714b8827887a8266ab5f7346a55d9ba6ed2e72
7,dqn,439,random,ew_heavy,41.747232472324725,143.5,37.711666666666666,111,161,-143.52344157077107,271,110,0,2,0,0,300.0,-34.50624991278164,-23.13490001809042,-75.4822916398989,-10.399999999999995,52,3,271,0,e32d6b50a70e0ba21a956f60082ae869ee6761b578bf1cdfa0a617256e64296a
8,dqn,434,random,low,34.875,149.0,18.6,43,117,-120.6267213087522,160,43,0,2,0,0,300.0,-17.43750036181882,-13.755887504829303,-80.83333344210405,-8.600000000000001,43,3,160,0,749cea870948ceffd6db5c51f7ffbf9358175a24e46e35b242c284b4cdc43d11
9,dqn,859,random,balanced,41.15438596491228,180.0,39.098333333333336,93,197,-165.63576271081175,285,88,0,2,0,0,300.0,-35.86250021192245,-30.707637464407174,-91.66562503448222,-7.400000000000004,37,6,285,0,ab3d7081a66f6ae15cff187b09fbe3eee3e1e018cc659850bfa2f8d0301b3fcd
10,dqn,86,random,low,22.316216216216215,112.5,13.761666666666667,31,172,-96.21897518952245,185,13,0,2,0,0,300.0,-12.901562720537186,-6.189287500068167,-71.32812496891711,-5.8000000000000025,29,12,185,0,2e3a4046180862829637378301c190ecb66e7ee409b769088229a01c92de39e8
11,dqn,698,random,heavy,59.12348178137652,200.5,48.678333333333335,112,134,-195.50148694217032,247,113,0,2,0,0,300.0,-45.635936913313344,-41.83117500704021,-102.03437502181623,-6.000000000000003,30,12,247,0,a4f585fc8b143a4a892a344bfae299896492848eeb76e9ac75eb0096e0f3012c
12,dqn,202,random,ns_heavy,36.54338842975206,125.5,29.47833333333333,69,173,-133.7343836533619,242,69,0,2,0,0,300.0,-27.635937908198684,-17.50261247432936,-82.99583327083383,-5.600000000000002,28,10,242,0,b1b92b0e169ef1042273d871ab06fb3dcd7d23a90e2b9fb1dc88e969babbfae4
13,dqn,95,random,ew_heavy,30.045,115.0,20.03,37,163,-109.59296283891963,200,37,0,2,0,0,300.0,-18.77812529169023,-9.864837501105653,-75.15000004612375,-5.8000000000000025,29,11,200,0,fc5e38405c51ef5b4f85014a06ac6f5d91f03b988f2a765578e7ea98c5a8100b
14,dqn,527,random,low,30.945,154.5,20.63,53,176,-131.89837933969326,200,24,0,2,0,0,300.0,-19.34062526584603,-12.828587487685581,-93.32916658616159,-6.400000000000003,32,11,200,0,849462797b3d041d53d03b5ddbc4d547f5c763347a26e013cb25a2cc94a015a4
15,dqn,976,random,ns_heavy,36.1625,95.5,24.108333333333334,53,151,-114.08288352952154,200,49,0,2,0,0,300.0,-22.601562739466317,-12.66048749649708,-74.0208332935581,-4.800000000000002,24,10,200,0,3ab555dd0a6952a67b71d0247cc7301af9df3bb6ddbc1a4cf2a170a4d759aabc
16,dqn,736,random,ns_heavy,47.70502092050209,166.5,38.005,88,152,-165.58666679130548,239,87,0,2,0,0,300.0,-35.44531267741695,-30.199687529217037,-93.54166658467147,-6.400000000000003,32,8,239,0,7cbe8021828c5803b674e0f650964777d6315455bd0fb02950b8a3f557fbbf92
17,dqn,762,random,ew_heavy,31.251381215469614,161.0,18.856666666666666,47,134,-114.56492950976757,181,47,0,2,0,0,300.0,-17.678125339676626,-11.507637484091543,-79.77916668599937,-5.600000000000002,28,12,181,0,d2c486090fb6139f92af8623c33f36410ba043d3a3eb9b0f0f3e876e3b6d60d4
18,dqn,718,random,heavy,39.666666666666664,145.0,31.733333333333334,75,169,-128.29119641853686,240,71,0,2,0,0,300.0,-29.750000528641976,-19.17348752332109,-73.96770836657379,-5.400000000000002,27,11,240,0,ed5ad31308ecb6367826ed794a2da0e59bd62f273071ae85fb9c8c6a533811ae
19,dqn,787,random,heavy,29.695473251028808,86.0,24.053333333333335,59,206,-97.68783756840936,243,37,0,2,0,0,300.0,-22.550000151852146,-10.45346250128423,-59.88437491527293,-4.800000000000002,24,12,243,0,9f9fa368eff6808cd434e9a744e0f28ceb0716deda49b6c1ae9bc78d43ae8c25
20,dqn,514,random,low,25.8130081300813,98.5,21.166666666666668,52,200,-97.5344001038248,246,46,0,2,0,0,300.0,-19.84375019883737,-9.934399983753979,-61.95624992123339,-5.8000000000000025,29,8,246,0,56d85f0c99e06724eb0f5e9ed76be1b08103135292fceb8102044b7cd2b46cc7
21,dqn,129,random,left_heavy,42.609375,130.0,49.995,114,261,-164.1261707845559,352,91,7,16,0,0,300.0,-46.5796876110835,-31.10377503190611,-82.24270814156625,-4.200000000000001,21,15,359,7,4073a805572b0b716bbf6c1b4450a7fa0f76d1fbf10053b5b89a7708e052f884
22,dqn,840,random,ns_heavy,34.854651162790695,115.0,29.975,59,200,-114.5066873450552,258,58,0,2,0,0,300.0,-28.10156237287447,-14.29887497644158,-67.7062499957392,-4.400000000000001,22,13,258,0,6b5270acb9debb55a651c9b7322a7719bee806ec6113f98c4d5d2be473117da1
23,dqn,451,random,heavy,39.480842911877396,146.0,34.348333333333336,75,196,-149.98302528126726,261,65,0,2,0,0,300.0,-32.128125291201286,-22.01115001369835,-89.84374997636769,-6.000000000000003,30,10,261,0,27ca77e3e90cc2c533c09df0a26e05e8742ffc4190504310f752b3c73cf28e55
