episode,controller,seed,traffic_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,phase_changes,episode_reward
0,Fixed-Time,2001,random,2.680741428823745,50.0,2.191666666666667,6.0,12,13,-44.649166666666666
1,Fixed-Time,2002,random,3.1802928824371994,31.0,3.091666666666667,4.0,12,13,-54.34416666666666
2,Fixed-Time,2003,random,2.915545927800636,43.0,2.1666666666666665,5.0,15,13,-43.29583333333334
3,Fixed-Time,2004,random,2.555047450100145,42.0,2.5,4.0,5,13,-40.283333333333346
4,Fixed-Time,2005,random,2.644650626524439,28.0,1.7583333333333333,2.0,9,13,-36.12583333333332
5,Fixed-Time,2006,random,2.406163855332688,29.0,3.408333333333333,6.0,8,13,-47.96583333333334
6,Fixed-Time,2007,random,3.0987835144708638,36.0,4.391666666666667,6.0,10,13,-66.74416666666666
7,Fixed-Time,2008,random,1.9384260198891379,36.0,2.1416666666666666,4.0,8,13,-36.254166666666656
8,Fixed-Time,2009,random,2.613002717835002,43.0,4.483333333333333,6.0,12,13,-62.32833333333333
9,Fixed-Time,2010,random,3.108458851412605,33.0,1.175,2.0,1,13,-28.431666666666658
10,Fixed-Time,2011,random,3.0772950976975637,45.0,2.7,4.0,9,13,-51.35916666666666
11,Fixed-Time,2012,random,3.085331005114475,32.0,2.025,3.0,7,13,-38.24999999999999
12,Fixed-Time,2013,random,2.686032076699621,29.0,2.4166666666666665,3.0,8,13,-39.49500000000001
13,Fixed-Time,2014,random,2.6527405007696747,30.0,2.6416666666666666,5.0,8,13,-43.36000000000001
14,Fixed-Time,2015,random,3.194159032513551,55.0,4.166666666666667,5.0,13,13,-66.16916666666667
15,Fixed-Time,2016,random,4.012152932513776,53.0,5.391666666666667,10.0,16,13,-85.83333333333333
16,Fixed-Time,2017,random,3.3167692570707006,42.0,2.5,3.0,4,13,-44.08250000000001
17,Fixed-Time,2018,random,2.7352994981933754,31.0,2.2333333333333334,4.0,9,13,-38.933333333333316
18,Fixed-Time,2019,random,3.60728266438294,42.0,6.158333333333333,11.0,10,13,-88.01749999999997
19,Fixed-Time,2020,random,2.3478187199757743,46.0,2.925,4.0,11,13,-50.5275
20,Fixed-Time,2021,random,2.2629663970248024,29.0,2.5,6.0,12,13,-43.13249999999999
21,Fixed-Time,2022,random,1.4710426003229908,21.0,1.275,3.0,12,13,-23.614166666666662
22,Fixed-Time,2023,random,1.6807916635476439,27.0,1.8333333333333333,4.0,11,13,-33.845
23,Fixed-Time,2024,random,2.2692210093287333,29.0,3.433333333333333,4.0,9,13,-51.435833333333335
24,Fixed-Time,2025,random,2.426089423168985,30.0,2.4166666666666665,4.0,12,13,-41.43749999999999
25,Fixed-Time,2026,random,1.6599021502856715,22.0,1.7583333333333333,3.0,8,13,-30.249999999999993
26,Fixed-Time,2027,random,2.7209300689570077,24.0,1.5416666666666667,3.0,9,13,-32.7075
27,Fixed-Time,2028,random,3.718044683375718,29.0,2.5833333333333335,4.0,9,13,-45.38166666666666
28,Fixed-Time,2029,random,2.8617763879542393,35.0,4.325,4.0,13,13,-65.89333333333333
29,Fixed-Time,2030,random,1.5590738192638465,30.0,1.75,3.0,9,13,-25.29083333333333
0,DQN,2001,random,2.5527823959655547,72.0,2.9166666666666665,6.0,12,23,-49.27500000000001
1,DQN,2002,random,2.6813674741204787,61.0,2.7,4.0,14,24,-53.49916666666665
2,DQN,2003,random,3.6372151864699855,72.0,3.4166666666666665,5.0,14,23,-60.332499999999996
3,DQN,2004,random,1.8526935137661449,41.0,1.9416666666666667,4.0,5,24,-33.85333333333334
4,DQN,2005,random,2.1848470605762715,49.0,1.65,2.0,10,19,-35.1
5,DQN,2006,random,1.4737337145014886,47.0,2.3916666666666666,3.0,9,24,-35.220833333333324
6,DQN,2007,random,3.4706056855250607,67.0,5.533333333333333,6.0,8,21,-81.29583333333332
7,DQN,2008,random,1.8191403334382557,55.0,2.158333333333333,2.0,9,24,-40.39666666666666
8,DQN,2009,random,3.144585634191047,51.0,5.183333333333334,6.0,10,21,-77.65750000000001
9,DQN,2010,random,0.5886563490975256,9.0,0.2916666666666667,2.0,4,24,-10.359166666666665
10,DQN,2011,random,2.706738684264324,51.0,2.475,4.0,12,24,-50.18416666666666
11,DQN,2012,random,2.572913756923578,61.0,1.95,3.0,10,24,-41.439166666666665
