episode,controller,seed,traffic_scenario,avg_waiting_time,max_waiting_time,avg_queue,max_queue,throughput,phase_changes,episode_reward
0,Fixed-Time,2001,north_south_congested,2.903831536975879,42.0,3.925,9.0,5,13,-58.693333333333335
1,Fixed-Time,2002,north_south_congested,2.7720089147175333,34.0,2.158333333333333,3.0,12,13,-41.296666666666674
2,Fixed-Time,2003,north_south_congested,2.4853895040033764,36.0,2.841666666666667,8.0,4,13,-45.66250000000001
3,Fixed-Time,2004,north_south_congested,2.2135447524638807,38.0,3.783333333333333,7.0,9,13,-50.15000000000001
4,Fixed-Time,2005,north_south_congested,3.4634708221916366,55.0,2.3916666666666666,3.0,8,13,-45.75499999999999
5,Fixed-Time,2006,north_south_congested,3.0292135543818617,57.0,3.75,7.0,10,13,-54.38500000000002
6,Fixed-Time,2007,north_south_congested,1.6545751937560031,29.0,2.091666666666667,6.0,10,13,-33.111666666666665
7,Fixed-Time,2008,north_south_congested,2.821465488398511,43.0,3.8583333333333334,9.0,6,13,-55.81333333333332
8,Fixed-Time,2009,north_south_congested,3.5713035677449994,47.0,3.825,7.0,8,13,-61.70416666666666
9,Fixed-Time,2010,north_south_congested,1.7531597817292806,27.0,1.6583333333333334,5.0,4,13,-26.71583333333333
10,Fixed-Time,2011,north_south_congested,2.4083863902996976,38.0,2.191666666666667,4.0,7,13,-38.915000000000006
11,Fixed-Time,2012,north_south_congested,3.140375980426644,44.0,3.3333333333333335,6.0,12,13,-57.18416666666667
12,Fixed-Time,2013,north_south_congested,2.4123213373392485,36.0,2.925,6.0,11,13,-42.17666666666666
13,Fixed-Time,2014,north_south_congested,1.5820938882237456,32.0,1.8583333333333334,5.0,6,13,-28.316666666666663
14,Fixed-Time,2015,north_south_congested,2.8678957260501265,35.0,3.675,5.0,10,13,-55.59583333333331
15,Fixed-Time,2016,north_south_congested,2.8282866802296973,39.0,3.316666666666667,6.0,11,13,-53.45416666666665
16,Fixed-Time,2017,north_south_congested,1.710133803054029,31.0,1.775,4.0,5,13,-28.1025
17,Fixed-Time,2018,north_south_congested,1.8928372864549416,24.0,2.466666666666667,9.0,10,13,-33.89750000000001
18,Fixed-Time,2019,north_south_congested,3.3172393183480797,44.0,3.725,6.0,9,13,-56.603333333333325
19,Fixed-Time,2020,north_south_congested,2.733983937032761,28.0,2.7666666666666666,6.0,9,13,-45.179166666666674
20,Fixed-Time,2021,north_south_congested,2.6451343702993015,26.0,2.55,7.0,7,13,-40.01999999999998
21,Fixed-Time,2022,north_south_congested,3.7684660243527457,51.0,3.433333333333333,9.0,12,13,-60.714999999999996
22,Fixed-Time,2023,north_south_congested,3.623386651085733,39.0,4.466666666666667,7.0,10,13,-72.04
23,Fixed-Time,2024,north_south_congested,1.6369986048660812,24.0,1.9666666666666666,6.0,11,13,-30.516666666666662
24,Fixed-Time,2025,north_south_congested,1.545215148738205,26.0,2.0166666666666666,5.0,13,13,-32.55083333333334
25,Fixed-Time,2026,north_south_congested,2.5919365781886774,40.0,3.158333333333333,7.0,6,13,-44.809166666666655
26,Fixed-Time,2027,north_south_congested,3.173593555047781,35.0,2.3583333333333334,5.0,5,13,-40.91583333333333
27,Fixed-Time,2028,north_south_congested,3.271923929358972,35.0,3.475,7.0,13,13,-57.705
28,Fixed-Time,2029,north_south_congested,2.726793082918654,30.0,2.8916666666666666,5.0,9,13,-47.17166666666667
29,Fixed-Time,2030,north_south_congested,2.216566666954635,41.0,3.525,7.0,11,13,-48.767500000000005
0,DQN,2001,north_south_congested,1.7241017259551314,68.0,1.875,2.0,12,12,-39.88833333333334
1,DQN,2002,north_south_congested,4.090185561069505,69.0,3.3666666666666667,5.0,10,14,-64.2425
2,DQN,2003,north_south_congested,1.3234389873372188,38.0,1.6166666666666667,4.0,9,15,-27.32916666666667
3,DQN,2004,north_south_congested,2.112470351008997,57.0,3.2,6.0,10,12,-49.91749999999999
4,DQN,2005,north_south_congested,2.7263481544713186,61.0,2.275,3.0,9,14,-40.12916666666666
5,DQN,2006,north_south_congested,4.1313411372685,60.0,4.375,8.0,12,12,-70.8891666666667
6,DQN,2007,north_south_congested,2.999998753370254,63.0,3.625,3.0,8,12,-61.11249999999998
7,DQN,2008,north_south_congested,2.609943802449153,64.0,3.308333333333333,4.0,11,14,-53.716666666666654
8,DQN,2009,north_south_congested,3.106124055555595,56.0,3.175,4.0,11,12,-56.285000000000004
9,DQN,2010,north_south_congested,1.6092538564435324,46.0,1.0,3.0,4,14,-24.239999999999995
10,DQN,2011,north_south_congested,1.7852101959890452,65.0,1.625,3.0,8,13,-32.98166666666665
11,DQN,2012,north_south_congested,4.115751723076501,67.0,4.366666666666666,5.0,11,12,-77.64916666666667
12,DQN,2013,north_south_congested,3.1567070095266,64.0,2.9916666666666667,5.0,10,14,-54.46999999999999
13,DQN,2014,north_south_congested,1.7742631415611545,69.0,1.6083333333333334,3.0,5,13,-33.40499999999999
14,DQN,2015,north_south_congested,2.6303054990036534,62.0,3.2583333333333333,4.0,11,12,-56.08833333333334
15,DQN,2016,north_south_congested,3.4363355115152516,72.0,3.8583333333333334,4.0,10,14,-67.80833333333337
16,DQN,2017,north_south_congested,1.3470898628294614,38.0,1.35,3.0,6,12,-22.993333333333336
17,DQN,2018,north_south_congested,2.463766609711587,63.0,2.15,3.0,8,12,-44.585
